[1606, 1056]
[folio, [439.0, 99.0, 159.0, 36.0], shoonya_1sYVDA23JPDPXT, 5683476]
[paragraph, [106.0, 152.0, 845.0, 36.0], n5UhL_AzJt, 5683476]
[paragraph, [106.0, 188.0, 845.0, 36.0], n5UhL_AzJt, 5683476]
[paragraph, [106.0, 224.0, 845.0, 36.0], n5UhL_AzJt, 5683476]
[paragraph, [106.0, 260.0, 845.0, 36.0], n5UhL_AzJt, 5683476]
[paragraph, [106.0, 296.0, 845.0, 36.0], n5UhL_AzJt, 5683476]
[paragraph, [106.0, 332.0, 845.0, 36.0], n5UhL_AzJt, 5683476]
[paragraph, [106.0, 368.0, 845.0, 36.0], n5UhL_AzJt, 5683476]
[paragraph, [258.0, 425.0, 417.0, 36.0], vsauU6d-BL, 5683476]
[paragraph, [258.0, 461.0, 417.0, 36.0], vsauU6d-BL, 5683476]
[paragraph, [102.0, 521.0, 846.0, 36.0], f-SWI99M6i, 5683476]
[paragraph, [102.0, 557.0, 846.0, 36.0], f-SWI99M6i, 5683476]
[paragraph, [102.0, 593.0, 846.0, 36.0], f-SWI99M6i, 5683476]
[paragraph, [102.0, 629.0, 846.0, 36.0], f-SWI99M6i, 5683476]
[paragraph, [102.0, 665.0, 846.0, 36.0], f-SWI99M6i, 5683476]
[paragraph, [102.0, 701.0, 846.0, 36.0], f-SWI99M6i, 5683476]
[paragraph, [102.0, 737.0, 846.0, 36.0], f-SWI99M6i, 5683476]
[paragraph, [102.0, 773.0, 846.0, 36.0], f-SWI99M6i, 5683476]
[paragraph, [102.0, 809.0, 846.0, 36.0], f-SWI99M6i, 5683476]
[paragraph, [102.0, 845.0, 846.0, 36.0], f-SWI99M6i, 5683476]
[paragraph, [102.0, 881.0, 846.0, 36.0], f-SWI99M6i, 5683476]
[paragraph, [102.0, 917.0, 846.0, 36.0], f-SWI99M6i, 5683476]
[paragraph, [102.0, 953.0, 846.0, 36.0], f-SWI99M6i, 5683476]
[paragraph, [102.0, 989.0, 846.0, 36.0], f-SWI99M6i, 5683476]
[paragraph, [102.0, 1025.0, 846.0, 36.0], f-SWI99M6i, 5683476]
[paragraph, [102.0, 1061.0, 846.0, 36.0], f-SWI99M6i, 5683476]
[paragraph, [102.0, 1097.0, 846.0, 36.0], f-SWI99M6i, 5683476]
[paragraph, [102.0, 1133.0, 846.0, 36.0], f-SWI99M6i, 5683476]
[paragraph, [102.0, 1169.0, 846.0, 36.0], f-SWI99M6i, 5683476]
[paragraph, [102.0, 1205.0, 846.0, 36.0], f-SWI99M6i, 5683476]
[paragraph, [102.0, 1241.0, 846.0, 36.0], f-SWI99M6i, 5683476]
[paragraph, [102.0, 1287.0, 846.0, 36.0], e1n75S1I_i, 5683476]
[paragraph, [102.0, 1323.0, 846.0, 36.0], e1n75S1I_i, 5683476]
[paragraph, [258.0, 1378.0, 477.0, 36.0], 8gRZSndl1M, 5683476]
[paragraph, [258.0, 1414.0, 477.0, 36.0], 8gRZSndl1M, 5683476]
[paragraph, [258.0, 1450.0, 477.0, 36.0], 8gRZSndl1M, 5683476]
