[1050, 693]
[folio, [115.0, 78.0, 61.0, 18.0], 3zydC6obNg, 5702294]
[paragraph, [71.0, 121.0, 529.0, 18.0], 6AP-7qItQK, 5702294]
[paragraph, [75.0, 153.0, 525.0, 18.0], VzJxhwCI2_, 5702294]
[paragraph, [75.0, 171.0, 525.0, 18.0], VzJxhwCI2_, 5702294]
[paragraph, [75.0, 189.0, 525.0, 18.0], VzJxhwCI2_, 5702294]
[paragraph, [75.0, 207.0, 525.0, 18.0], VzJxhwCI2_, 5702294]
[paragraph, [75.0, 225.0, 525.0, 18.0], VzJxhwCI2_, 5702294]
[paragraph, [75.0, 243.0, 525.0, 18.0], VzJxhwCI2_, 5702294]
[paragraph, [80.0, 281.0, 521.0, 18.0], WcMLMbVriv, 5702294]
[paragraph, [80.0, 299.0, 521.0, 18.0], WcMLMbVriv, 5702294]
[paragraph, [80.0, 317.0, 521.0, 18.0], WcMLMbVriv, 5702294]
[paragraph, [80.0, 335.0, 521.0, 18.0], WcMLMbVriv, 5702294]
[paragraph, [80.0, 353.0, 521.0, 18.0], WcMLMbVriv, 5702294]
[paragraph, [82.0, 382.0, 524.0, 18.0], shoonya_1s8BKZCUTG0G12, 5702294]
[paragraph, [82.0, 400.0, 524.0, 18.0], shoonya_1s8BKZCUTG0G12, 5702294]
[paragraph, [82.0, 418.0, 524.0, 18.0], shoonya_1s8BKZCUTG0G12, 5702294]
[paragraph, [82.0, 436.0, 524.0, 18.0], shoonya_1s8BKZCUTG0G12, 5702294]
[paragraph, [82.0, 454.0, 524.0, 18.0], shoonya_1s8BKZCUTG0G12, 5702294]
[paragraph, [82.0, 472.0, 524.0, 18.0], shoonya_1s8BKZCUTG0G12, 5702294]
[paragraph, [82.0, 490.0, 524.0, 18.0], shoonya_1s8BKZCUTG0G12, 5702294]
[paragraph, [84.0, 522.0, 527.0, 18.0], -_naH6ysAU, 5702294]
[paragraph, [84.0, 540.0, 527.0, 18.0], -_naH6ysAU, 5702294]
[paragraph, [84.0, 558.0, 527.0, 18.0], -_naH6ysAU, 5702294]
[paragraph, [84.0, 576.0, 527.0, 18.0], -_naH6ysAU, 5702294]
[paragraph, [84.0, 594.0, 527.0, 18.0], -_naH6ysAU, 5702294]
[paragraph, [84.0, 612.0, 527.0, 18.0], -_naH6ysAU, 5702294]
[paragraph, [84.0, 630.0, 527.0, 18.0], -_naH6ysAU, 5702294]
[paragraph, [84.0, 648.0, 527.0, 18.0], -_naH6ysAU, 5702294]
[paragraph, [84.0, 666.0, 527.0, 18.0], -_naH6ysAU, 5702294]
[paragraph, [84.0, 684.0, 527.0, 18.0], -_naH6ysAU, 5702294]
[paragraph, [84.0, 702.0, 527.0, 18.0], -_naH6ysAU, 5702294]
[paragraph, [84.0, 720.0, 527.0, 18.0], -_naH6ysAU, 5702294]
[paragraph, [84.0, 738.0, 527.0, 18.0], -_naH6ysAU, 5702294]
[paragraph, [84.0, 756.0, 527.0, 18.0], -_naH6ysAU, 5702294]
[paragraph, [84.0, 774.0, 527.0, 18.0], -_naH6ysAU, 5702294]
[paragraph, [84.0, 792.0, 527.0, 18.0], -_naH6ysAU, 5702294]
[paragraph, [84.0, 810.0, 527.0, 18.0], -_naH6ysAU, 5702294]
[paragraph, [84.0, 828.0, 527.0, 18.0], -_naH6ysAU, 5702294]
[paragraph, [90.0, 853.0, 530.0, 18.0], shoonya_0sBKG0DI2TZMAX, 5702294]
[paragraph, [90.0, 871.0, 530.0, 18.0], shoonya_0sBKG0DI2TZMAX, 5702294]
[paragraph, [90.0, 889.0, 530.0, 18.0], shoonya_0sBKG0DI2TZMAX, 5702294]
[paragraph, [90.0, 907.0, 530.0, 18.0], shoonya_0sBKG0DI2TZMAX, 5702294]
[paragraph, [90.0, 925.0, 530.0, 18.0], shoonya_0sBKG0DI2TZMAX, 5702294]
[paragraph, [90.0, 943.0, 530.0, 18.0], shoonya_0sBKG0DI2TZMAX, 5702294]
