[2200, 1700]
[section-title, [178.0, 143.0, 667.0, 52.5], shoonya_0sSGM248NMW615, 5749574]
[ordered-list, [398.0, 222.0, 895.0, 36.0], shoonya_4s8S7HDWMZZL6F, 5749574]
[ordered-list, [398.0, 258.0, 895.0, 36.0], shoonya_4s8S7HDWMZZL6F, 5749574]
[ordered-list, [398.0, 294.0, 895.0, 36.0], shoonya_4s8S7HDWMZZL6F, 5749574]
[ordered-list, [398.0, 330.0, 895.0, 36.0], shoonya_4s8S7HDWMZZL6F, 5749574]
[ordered-list, [398.0, 366.0, 895.0, 36.0], shoonya_4s8S7HDWMZZL6F, 5749574]
[ordered-list, [398.0, 402.0, 895.0, 36.0], shoonya_4s8S7HDWMZZL6F, 5749574]
[ordered-list, [398.0, 438.0, 895.0, 36.0], shoonya_4s8S7HDWMZZL6F, 5749574]
[ordered-list, [398.0, 474.0, 895.0, 36.0], shoonya_4s8S7HDWMZZL6F, 5749574]
[ordered-list, [398.0, 510.0, 895.0, 36.0], shoonya_4s8S7HDWMZZL6F, 5749574]
[ordered-list, [398.0, 546.0, 895.0, 36.0], shoonya_4s8S7HDWMZZL6F, 5749574]
[ordered-list, [398.0, 582.0, 895.0, 36.0], shoonya_4s8S7HDWMZZL6F, 5749574]
[ordered-list, [398.0, 618.0, 895.0, 36.0], shoonya_4s8S7HDWMZZL6F, 5749574]
[ordered-list, [398.0, 654.0, 895.0, 36.0], shoonya_4s8S7HDWMZZL6F, 5749574]
[ordered-list, [398.0, 690.0, 895.0, 36.0], shoonya_4s8S7HDWMZZL6F, 5749574]
[ordered-list, [398.0, 726.0, 895.0, 36.0], shoonya_4s8S7HDWMZZL6F, 5749574]
[ordered-list, [398.0, 762.0, 895.0, 36.0], shoonya_4s8S7HDWMZZL6F, 5749574]
[ordered-list, [398.0, 798.0, 895.0, 36.0], shoonya_4s8S7HDWMZZL6F, 5749574]
[ordered-list, [398.0, 834.0, 895.0, 36.0], shoonya_4s8S7HDWMZZL6F, 5749574]
[ordered-list, [398.0, 870.0, 895.0, 36.0], shoonya_4s8S7HDWMZZL6F, 5749574]
[ordered-list, [398.0, 906.0, 895.0, 36.0], shoonya_4s8S7HDWMZZL6F, 5749574]
[ordered-list, [398.0, 942.0, 895.0, 36.0], shoonya_4s8S7HDWMZZL6F, 5749574]
[ordered-list, [398.0, 978.0, 895.0, 36.0], shoonya_4s8S7HDWMZZL6F, 5749574]
[section-title, [153.0, 1026.0, 406.0, 52.5], OYdlMzJsSV, 5749574]
[index, [870.0, 1031.0, 570.0, 36.0], JRMkI7Hrk_, 5749574]
[index, [870.0, 1067.0, 570.0, 36.0], JRMkI7Hrk_, 5749574]
[index, [870.0, 1103.0, 570.0, 36.0], JRMkI7Hrk_, 5749574]
[index, [870.0, 1139.0, 570.0, 36.0], JRMkI7Hrk_, 5749574]
[index, [870.0, 1175.0, 570.0, 36.0], JRMkI7Hrk_, 5749574]
[index, [870.0, 1211.0, 570.0, 36.0], JRMkI7Hrk_, 5749574]
[index, [870.0, 1247.0, 570.0, 36.0], JRMkI7Hrk_, 5749574]
[index, [870.0, 1283.0, 570.0, 36.0], JRMkI7Hrk_, 5749574]
[index, [870.0, 1319.0, 570.0, 36.0], JRMkI7Hrk_, 5749574]
