[1387, 987]
[paragraph, [61.0, 72.0, 828.0, 18.0], nq_-nQodGo, 5651536]
[paragraph, [61.0, 90.0, 828.0, 18.0], nq_-nQodGo, 5651536]
[paragraph, [61.0, 108.0, 828.0, 18.0], nq_-nQodGo, 5651536]
[paragraph, [61.0, 126.0, 828.0, 18.0], nq_-nQodGo, 5651536]
[paragraph, [61.0, 144.0, 828.0, 18.0], nq_-nQodGo, 5651536]
[paragraph, [61.0, 162.0, 828.0, 18.0], nq_-nQodGo, 5651536]
[paragraph, [61.0, 180.0, 828.0, 18.0], nq_-nQodGo, 5651536]
[paragraph, [76.0, 217.0, 814.0, 18.0], shoonya_0sM90V28X1Z63K, 5651536]
[paragraph, [76.0, 235.0, 814.0, 18.0], shoonya_0sM90V28X1Z63K, 5651536]
[paragraph, [76.0, 253.0, 814.0, 18.0], shoonya_0sM90V28X1Z63K, 5651536]
[paragraph, [76.0, 271.0, 814.0, 18.0], shoonya_0sM90V28X1Z63K, 5651536]
[paragraph, [76.0, 289.0, 814.0, 18.0], shoonya_0sM90V28X1Z63K, 5651536]
[paragraph, [76.0, 307.0, 814.0, 18.0], shoonya_0sM90V28X1Z63K, 5651536]
[paragraph, [76.0, 325.0, 814.0, 18.0], shoonya_0sM90V28X1Z63K, 5651536]
[paragraph, [76.0, 343.0, 814.0, 18.0], shoonya_0sM90V28X1Z63K, 5651536]
[paragraph, [76.0, 361.0, 814.0, 18.0], shoonya_0sM90V28X1Z63K, 5651536]
[paragraph, [76.0, 379.0, 814.0, 18.0], shoonya_0sM90V28X1Z63K, 5651536]
[paragraph, [76.0, 397.0, 814.0, 18.0], shoonya_0sM90V28X1Z63K, 5651536]
[paragraph, [76.0, 415.0, 814.0, 18.0], shoonya_0sM90V28X1Z63K, 5651536]
[paragraph, [76.0, 433.0, 814.0, 18.0], shoonya_0sM90V28X1Z63K, 5651536]
[paragraph, [76.0, 451.0, 814.0, 18.0], shoonya_0sM90V28X1Z63K, 5651536]
[paragraph, [76.0, 469.0, 814.0, 18.0], shoonya_0sM90V28X1Z63K, 5651536]
[paragraph, [76.0, 487.0, 814.0, 18.0], shoonya_0sM90V28X1Z63K, 5651536]
[paragraph, [44.0, 515.0, 851.0, 18.0], Mz7Ga0NMqy, 5651536]
[paragraph, [44.0, 533.0, 851.0, 18.0], Mz7Ga0NMqy, 5651536]
[paragraph, [44.0, 551.0, 851.0, 18.0], Mz7Ga0NMqy, 5651536]
[paragraph, [44.0, 569.0, 851.0, 18.0], Mz7Ga0NMqy, 5651536]
[paragraph, [44.0, 587.0, 851.0, 18.0], Mz7Ga0NMqy, 5651536]
[paragraph, [44.0, 605.0, 851.0, 18.0], Mz7Ga0NMqy, 5651536]
[paragraph, [44.0, 623.0, 851.0, 18.0], Mz7Ga0NMqy, 5651536]
[paragraph, [44.0, 641.0, 851.0, 18.0], Mz7Ga0NMqy, 5651536]
[paragraph, [44.0, 659.0, 851.0, 18.0], Mz7Ga0NMqy, 5651536]
[paragraph, [44.0, 677.0, 851.0, 18.0], Mz7Ga0NMqy, 5651536]
[paragraph, [44.0, 695.0, 851.0, 18.0], Mz7Ga0NMqy, 5651536]
[paragraph, [44.0, 713.0, 851.0, 18.0], Mz7Ga0NMqy, 5651536]
[paragraph, [44.0, 731.0, 851.0, 18.0], Mz7Ga0NMqy, 5651536]
[paragraph, [44.0, 749.0, 851.0, 18.0], Mz7Ga0NMqy, 5651536]
[paragraph, [44.0, 767.0, 851.0, 18.0], Mz7Ga0NMqy, 5651536]
[paragraph, [44.0, 785.0, 851.0, 18.0], Mz7Ga0NMqy, 5651536]
[paragraph, [44.0, 803.0, 851.0, 18.0], Mz7Ga0NMqy, 5651536]
[paragraph, [44.0, 821.0, 851.0, 18.0], Mz7Ga0NMqy, 5651536]
[paragraph, [44.0, 839.0, 851.0, 18.0], Mz7Ga0NMqy, 5651536]
[paragraph, [44.0, 857.0, 851.0, 18.0], Mz7Ga0NMqy, 5651536]
[paragraph, [44.0, 875.0, 851.0, 18.0], Mz7Ga0NMqy, 5651536]
[paragraph, [44.0, 893.0, 851.0, 18.0], Mz7Ga0NMqy, 5651536]
[paragraph, [44.0, 911.0, 851.0, 18.0], Mz7Ga0NMqy, 5651536]
[paragraph, [62.0, 933.0, 858.0, 18.0], hT-bhMp_6y, 5651536]
[paragraph, [62.0, 951.0, 858.0, 18.0], hT-bhMp_6y, 5651536]
[paragraph, [62.0, 969.0, 858.0, 18.0], hT-bhMp_6y, 5651536]
[paragraph, [62.0, 987.0, 858.0, 18.0], hT-bhMp_6y, 5651536]
[paragraph, [62.0, 1005.0, 858.0, 18.0], hT-bhMp_6y, 5651536]
[paragraph, [62.0, 1023.0, 858.0, 18.0], hT-bhMp_6y, 5651536]
[paragraph, [62.0, 1041.0, 858.0, 18.0], hT-bhMp_6y, 5651536]
[paragraph, [62.0, 1059.0, 858.0, 18.0], hT-bhMp_6y, 5651536]
[paragraph, [62.0, 1077.0, 858.0, 18.0], hT-bhMp_6y, 5651536]
[paragraph, [71.0, 1110.0, 868.0, 18.0], oBBvKWRYAX, 5651536]
[paragraph, [71.0, 1128.0, 868.0, 18.0], oBBvKWRYAX, 5651536]
[paragraph, [71.0, 1146.0, 868.0, 18.0], oBBvKWRYAX, 5651536]
[paragraph, [71.0, 1164.0, 868.0, 18.0], oBBvKWRYAX, 5651536]
[paragraph, [71.0, 1182.0, 868.0, 18.0], oBBvKWRYAX, 5651536]
[paragraph, [71.0, 1200.0, 868.0, 18.0], oBBvKWRYAX, 5651536]
[paragraph, [71.0, 1218.0, 868.0, 18.0], oBBvKWRYAX, 5651536]
[paragraph, [71.0, 1236.0, 868.0, 18.0], oBBvKWRYAX, 5651536]
[paragraph, [71.0, 1254.0, 868.0, 18.0], oBBvKWRYAX, 5651536]
[paragraph, [71.0, 1272.0, 868.0, 18.0], oBBvKWRYAX, 5651536]
