[2339, 1655]
[folio, [351.0, 277.0, 919.0, 36.0], hvdUUFNEa9, 5737896]
[paragraph, [191.0, 348.0, 1247.0, 36.0], shoonya_0sQTHH5XDFSE2W, 5737896]
[paragraph, [191.0, 384.0, 1247.0, 36.0], shoonya_0sQTHH5XDFSE2W, 5737896]
[paragraph, [191.0, 420.0, 1247.0, 36.0], shoonya_0sQTHH5XDFSE2W, 5737896]
[paragraph, [191.0, 456.0, 1247.0, 36.0], shoonya_0sQTHH5XDFSE2W, 5737896]
[ordered-list, [189.0, 565.0, 1214.0, 36.0], shoonya_4sTYE3OC253QLK, 5737896]
[ordered-list, [189.0, 601.0, 1214.0, 36.0], shoonya_4sTYE3OC253QLK, 5737896]
[ordered-list, [189.0, 637.0, 1214.0, 36.0], shoonya_4sTYE3OC253QLK, 5737896]
[ordered-list, [189.0, 673.0, 1214.0, 36.0], shoonya_4sTYE3OC253QLK, 5737896]
[ordered-list, [189.0, 709.0, 1214.0, 36.0], shoonya_4sTYE3OC253QLK, 5737896]
[ordered-list, [192.0, 851.0, 698.0, 36.0], 6_XioEoJxp, 5737896]
[ordered-list, [192.0, 887.0, 698.0, 36.0], 6_XioEoJxp, 5737896]
[ordered-list, [192.0, 923.0, 698.0, 36.0], 6_XioEoJxp, 5737896]
[ordered-list, [190.0, 1043.0, 818.0, 36.0], PsPnyWMFFF, 5737896]
[ordered-list, [190.0, 1079.0, 818.0, 36.0], PsPnyWMFFF, 5737896]
[ordered-list, [190.0, 1115.0, 818.0, 36.0], PsPnyWMFFF, 5737896]
[ordered-list, [190.0, 1239.0, 789.0, 36.0], jbdfAh6y9C, 5737896]
[ordered-list, [190.0, 1275.0, 789.0, 36.0], jbdfAh6y9C, 5737896]
[ordered-list, [190.0, 1311.0, 789.0, 36.0], jbdfAh6y9C, 5737896]
[ordered-list, [185.0, 1429.0, 1055.0, 36.0], mo5CDriSDE, 5737896]
[ordered-list, [185.0, 1465.0, 1055.0, 36.0], mo5CDriSDE, 5737896]
[ordered-list, [185.0, 1501.0, 1055.0, 36.0], mo5CDriSDE, 5737896]
[reference, [169.0, 1619.0, 1239.0, 36.0], fzXRb27O2U, 5737896]
[reference, [169.0, 1655.0, 1239.0, 36.0], fzXRb27O2U, 5737896]
[reference, [169.0, 1691.0, 1239.0, 36.0], fzXRb27O2U, 5737896]
[reference, [169.0, 1727.0, 1239.0, 36.0], fzXRb27O2U, 5737896]
[reference, [169.0, 1763.0, 1239.0, 36.0], fzXRb27O2U, 5737896]
[reference, [169.0, 1799.0, 1239.0, 36.0], fzXRb27O2U, 5737896]
[reference, [169.0, 1835.0, 1239.0, 36.0], fzXRb27O2U, 5737896]
[reference, [169.0, 1871.0, 1239.0, 36.0], fzXRb27O2U, 5737896]
[reference, [169.0, 1907.0, 1239.0, 36.0], fzXRb27O2U, 5737896]
[reference, [169.0, 1943.0, 1239.0, 36.0], fzXRb27O2U, 5737896]
[reference, [169.0, 1979.0, 1239.0, 36.0], fzXRb27O2U, 5737896]
[reference, [169.0, 2015.0, 1239.0, 36.0], fzXRb27O2U, 5737896]
[reference, [169.0, 2051.0, 1239.0, 36.0], fzXRb27O2U, 5737896]
[reference, [169.0, 2087.0, 1239.0, 36.0], fzXRb27O2U, 5737896]
