[2200, 1700]
[paragraph, [303.0, 64.0, 1118.0, 36.0], shoonya_0sJNSJZ5DHD9RR, 5730876]
[paragraph, [303.0, 100.0, 1118.0, 36.0], shoonya_0sJNSJZ5DHD9RR, 5730876]
[paragraph, [303.0, 136.0, 1118.0, 36.0], shoonya_0sJNSJZ5DHD9RR, 5730876]
[paragraph, [303.0, 172.0, 1118.0, 36.0], shoonya_0sJNSJZ5DHD9RR, 5730876]
[paragraph, [303.0, 208.0, 1118.0, 36.0], shoonya_0sJNSJZ5DHD9RR, 5730876]
[paragraph, [303.0, 244.0, 1118.0, 36.0], shoonya_0sJNSJZ5DHD9RR, 5730876]
[paragraph, [303.0, 280.0, 1118.0, 36.0], shoonya_0sJNSJZ5DHD9RR, 5730876]
[paragraph, [303.0, 316.0, 1118.0, 36.0], shoonya_0sJNSJZ5DHD9RR, 5730876]
[paragraph, [303.0, 352.0, 1118.0, 36.0], shoonya_0sJNSJZ5DHD9RR, 5730876]
[paragraph, [303.0, 388.0, 1118.0, 36.0], shoonya_0sJNSJZ5DHD9RR, 5730876]
[paragraph, [303.0, 424.0, 1118.0, 36.0], shoonya_0sJNSJZ5DHD9RR, 5730876]
[paragraph, [303.0, 460.0, 1118.0, 36.0], shoonya_0sJNSJZ5DHD9RR, 5730876]
[paragraph, [303.0, 496.0, 1118.0, 36.0], shoonya_0sJNSJZ5DHD9RR, 5730876]
[paragraph, [303.0, 532.0, 1118.0, 36.0], shoonya_0sJNSJZ5DHD9RR, 5730876]
[paragraph, [303.0, 568.0, 1118.0, 36.0], shoonya_0sJNSJZ5DHD9RR, 5730876]
[paragraph, [303.0, 604.0, 1118.0, 36.0], shoonya_0sJNSJZ5DHD9RR, 5730876]
[paragraph, [303.0, 640.0, 1118.0, 36.0], shoonya_0sJNSJZ5DHD9RR, 5730876]
[paragraph, [303.0, 676.0, 1118.0, 36.0], shoonya_0sJNSJZ5DHD9RR, 5730876]
[paragraph, [303.0, 712.0, 1118.0, 36.0], shoonya_0sJNSJZ5DHD9RR, 5730876]
[paragraph, [303.0, 748.0, 1118.0, 36.0], shoonya_0sJNSJZ5DHD9RR, 5730876]
[paragraph, [303.0, 784.0, 1118.0, 36.0], shoonya_0sJNSJZ5DHD9RR, 5730876]
[paragraph, [303.0, 820.0, 1118.0, 36.0], shoonya_0sJNSJZ5DHD9RR, 5730876]
[paragraph, [303.0, 856.0, 1118.0, 36.0], shoonya_0sJNSJZ5DHD9RR, 5730876]
[paragraph, [303.0, 892.0, 1118.0, 36.0], shoonya_0sJNSJZ5DHD9RR, 5730876]
[paragraph, [303.0, 928.0, 1118.0, 36.0], shoonya_0sJNSJZ5DHD9RR, 5730876]
[paragraph, [303.0, 964.0, 1118.0, 36.0], shoonya_0sJNSJZ5DHD9RR, 5730876]
[paragraph, [303.0, 1000.0, 1118.0, 36.0], shoonya_0sJNSJZ5DHD9RR, 5730876]
