[1650, 1275]
[folio, [184.0, 36.0, 137.0, 36.0], shoonya_0sUE6JXRVQJ009, 5775616]
[ordered-list, [122.0, 167.0, 1043.0, 36.0], 0VNXHF2CQl, 5775616]
[ordered-list, [122.0, 203.0, 1043.0, 36.0], 0VNXHF2CQl, 5775616]
[ordered-list, [122.0, 239.0, 1043.0, 36.0], 0VNXHF2CQl, 5775616]
[ordered-list, [122.0, 275.0, 1043.0, 36.0], 0VNXHF2CQl, 5775616]
[ordered-list, [122.0, 311.0, 1043.0, 36.0], 0VNXHF2CQl, 5775616]
[ordered-list, [122.0, 347.0, 1043.0, 36.0], 0VNXHF2CQl, 5775616]
[ordered-list, [122.0, 383.0, 1043.0, 36.0], 0VNXHF2CQl, 5775616]
[ordered-list, [122.0, 419.0, 1043.0, 36.0], 0VNXHF2CQl, 5775616]
[ordered-list, [122.0, 455.0, 1043.0, 36.0], 0VNXHF2CQl, 5775616]
[ordered-list, [122.0, 491.0, 1043.0, 36.0], 0VNXHF2CQl, 5775616]
[ordered-list, [122.0, 527.0, 1043.0, 36.0], 0VNXHF2CQl, 5775616]
[ordered-list, [122.0, 563.0, 1043.0, 36.0], 0VNXHF2CQl, 5775616]
[ordered-list, [122.0, 599.0, 1043.0, 36.0], 0VNXHF2CQl, 5775616]
[ordered-list, [122.0, 635.0, 1043.0, 36.0], 0VNXHF2CQl, 5775616]
[ordered-list, [122.0, 671.0, 1043.0, 36.0], 0VNXHF2CQl, 5775616]
[ordered-list, [122.0, 707.0, 1043.0, 36.0], 0VNXHF2CQl, 5775616]
[ordered-list, [122.0, 743.0, 1043.0, 36.0], 0VNXHF2CQl, 5775616]
[ordered-list, [122.0, 779.0, 1043.0, 36.0], 0VNXHF2CQl, 5775616]
[ordered-list, [122.0, 815.0, 1043.0, 36.0], 0VNXHF2CQl, 5775616]
[ordered-list, [122.0, 851.0, 1043.0, 36.0], 0VNXHF2CQl, 5775616]
[ordered-list, [122.0, 887.0, 1043.0, 36.0], 0VNXHF2CQl, 5775616]
[ordered-list, [122.0, 923.0, 1043.0, 36.0], 0VNXHF2CQl, 5775616]
[ordered-list, [122.0, 959.0, 1043.0, 36.0], 0VNXHF2CQl, 5775616]
[section-title, [132.0, 1033.0, 240.0, 49.5], 7XvUMPN_6-, 5775616]
[unordered-list, [122.0, 1092.0, 1058.0, 36.0], JFjRvDW4sP, 5775616]
[unordered-list, [122.0, 1128.0, 1058.0, 36.0], JFjRvDW4sP, 5775616]
[unordered-list, [122.0, 1164.0, 1058.0, 36.0], JFjRvDW4sP, 5775616]
[unordered-list, [122.0, 1200.0, 1058.0, 36.0], JFjRvDW4sP, 5775616]
[unordered-list, [122.0, 1236.0, 1058.0, 36.0], JFjRvDW4sP, 5775616]
[unordered-list, [122.0, 1272.0, 1058.0, 36.0], JFjRvDW4sP, 5775616]
[unordered-list, [122.0, 1308.0, 1058.0, 36.0], JFjRvDW4sP, 5775616]
[unordered-list, [122.0, 1344.0, 1058.0, 36.0], JFjRvDW4sP, 5775616]
[unordered-list, [122.0, 1380.0, 1058.0, 36.0], JFjRvDW4sP, 5775616]
[unordered-list, [122.0, 1416.0, 1058.0, 36.0], JFjRvDW4sP, 5775616]
[unordered-list, [122.0, 1452.0, 1058.0, 36.0], JFjRvDW4sP, 5775616]
[unordered-list, [122.0, 1488.0, 1058.0, 36.0], JFjRvDW4sP, 5775616]
[paragraph, [126.0, 1560.0, 287.0, 36.0], gILUzblWtM, 5775616]
[website-link, [283.0, 1568.0, 123.0, 18.0], PxkIAIP1Ka, 5775616]
[website-link, [283.0, 1586.0, 123.0, 18.0], PxkIAIP1Ka, 5775616]
