[2338, 1654]
[paragraph, [157.0, 184.0, 1323.0, 36.0], shoonya_3sXMS0Q6MXWDBC, 5753523]
[paragraph, [157.0, 220.0, 1323.0, 36.0], shoonya_3sXMS0Q6MXWDBC, 5753523]
[paragraph, [157.0, 256.0, 1323.0, 36.0], shoonya_3sXMS0Q6MXWDBC, 5753523]
[paragraph, [157.0, 292.0, 1323.0, 36.0], shoonya_3sXMS0Q6MXWDBC, 5753523]
[paragraph, [157.0, 328.0, 1323.0, 36.0], shoonya_3sXMS0Q6MXWDBC, 5753523]
[paragraph, [157.0, 364.0, 1323.0, 36.0], shoonya_3sXMS0Q6MXWDBC, 5753523]
[paragraph, [157.0, 400.0, 1323.0, 36.0], shoonya_3sXMS0Q6MXWDBC, 5753523]
[paragraph, [164.0, 448.0, 1313.0, 36.0], shoonya_1sQ7SCGTQC8OBK, 5753523]
[paragraph, [164.0, 484.0, 1313.0, 36.0], shoonya_1sQ7SCGTQC8OBK, 5753523]
[paragraph, [164.0, 520.0, 1313.0, 36.0], shoonya_1sQ7SCGTQC8OBK, 5753523]
[paragraph, [164.0, 556.0, 1313.0, 36.0], shoonya_1sQ7SCGTQC8OBK, 5753523]
[paragraph, [164.0, 592.0, 1313.0, 36.0], shoonya_1sQ7SCGTQC8OBK, 5753523]
[paragraph, [164.0, 628.0, 1313.0, 36.0], shoonya_1sQ7SCGTQC8OBK, 5753523]
[paragraph, [164.0, 664.0, 1313.0, 36.0], shoonya_1sQ7SCGTQC8OBK, 5753523]
[paragraph, [164.0, 700.0, 1313.0, 36.0], shoonya_1sQ7SCGTQC8OBK, 5753523]
[paragraph, [164.0, 736.0, 1313.0, 36.0], shoonya_1sQ7SCGTQC8OBK, 5753523]
[paragraph, [164.0, 772.0, 1313.0, 36.0], shoonya_1sQ7SCGTQC8OBK, 5753523]
[paragraph, [164.0, 808.0, 1313.0, 36.0], shoonya_1sQ7SCGTQC8OBK, 5753523]
[paragraph, [164.0, 844.0, 1313.0, 36.0], shoonya_1sQ7SCGTQC8OBK, 5753523]
[paragraph, [164.0, 880.0, 1313.0, 36.0], shoonya_1sQ7SCGTQC8OBK, 5753523]
[paragraph, [164.0, 916.0, 1313.0, 36.0], shoonya_1sQ7SCGTQC8OBK, 5753523]
[paragraph, [164.0, 952.0, 1313.0, 36.0], shoonya_1sQ7SCGTQC8OBK, 5753523]
[paragraph, [164.0, 988.0, 1313.0, 36.0], shoonya_1sQ7SCGTQC8OBK, 5753523]
[paragraph, [164.0, 1024.0, 1313.0, 36.0], shoonya_1sQ7SCGTQC8OBK, 5753523]
[paragraph, [164.0, 1060.0, 1313.0, 36.0], shoonya_1sQ7SCGTQC8OBK, 5753523]
[paragraph, [164.0, 1096.0, 1313.0, 36.0], shoonya_1sQ7SCGTQC8OBK, 5753523]
[paragraph, [164.0, 1132.0, 1313.0, 36.0], shoonya_1sQ7SCGTQC8OBK, 5753523]
[paragraph, [164.0, 1168.0, 1313.0, 36.0], shoonya_1sQ7SCGTQC8OBK, 5753523]
[paragraph, [164.0, 1204.0, 1313.0, 36.0], shoonya_1sQ7SCGTQC8OBK, 5753523]
[paragraph, [164.0, 1240.0, 1313.0, 36.0], shoonya_1sQ7SCGTQC8OBK, 5753523]
[paragraph, [169.0, 1286.0, 1315.0, 36.0], shoonya_0sXHA8MD72AI15, 5753523]
[paragraph, [169.0, 1322.0, 1315.0, 36.0], shoonya_0sXHA8MD72AI15, 5753523]
[paragraph, [169.0, 1358.0, 1315.0, 36.0], shoonya_0sXHA8MD72AI15, 5753523]
[paragraph, [169.0, 1394.0, 1315.0, 36.0], shoonya_0sXHA8MD72AI15, 5753523]
[paragraph, [169.0, 1430.0, 1315.0, 36.0], shoonya_0sXHA8MD72AI15, 5753523]
[paragraph, [169.0, 1466.0, 1315.0, 36.0], shoonya_0sXHA8MD72AI15, 5753523]
[paragraph, [169.0, 1502.0, 1315.0, 36.0], shoonya_0sXHA8MD72AI15, 5753523]
[paragraph, [169.0, 1538.0, 1315.0, 36.0], shoonya_0sXHA8MD72AI15, 5753523]
[paragraph, [169.0, 1574.0, 1315.0, 36.0], shoonya_0sXHA8MD72AI15, 5753523]
[paragraph, [169.0, 1610.0, 1315.0, 36.0], shoonya_0sXHA8MD72AI15, 5753523]
[paragraph, [169.0, 1646.0, 1315.0, 36.0], shoonya_0sXHA8MD72AI15, 5753523]
[paragraph, [169.0, 1682.0, 1315.0, 36.0], shoonya_0sXHA8MD72AI15, 5753523]
[paragraph, [169.0, 1718.0, 1315.0, 36.0], shoonya_0sXHA8MD72AI15, 5753523]
[paragraph, [169.0, 1754.0, 1315.0, 36.0], shoonya_0sXHA8MD72AI15, 5753523]
[paragraph, [169.0, 1790.0, 1315.0, 36.0], shoonya_0sXHA8MD72AI15, 5753523]
[paragraph, [169.0, 1826.0, 1315.0, 36.0], shoonya_0sXHA8MD72AI15, 5753523]
[paragraph, [169.0, 1862.0, 1315.0, 36.0], shoonya_0sXHA8MD72AI15, 5753523]
[paragraph, [169.0, 1898.0, 1315.0, 36.0], shoonya_0sXHA8MD72AI15, 5753523]
[paragraph, [169.0, 1934.0, 1315.0, 36.0], shoonya_0sXHA8MD72AI15, 5753523]
[paragraph, [169.0, 1970.0, 1315.0, 36.0], shoonya_0sXHA8MD72AI15, 5753523]
[paragraph, [169.0, 2006.0, 1315.0, 36.0], shoonya_0sXHA8MD72AI15, 5753523]
[paragraph, [169.0, 2042.0, 1315.0, 36.0], shoonya_0sXHA8MD72AI15, 5753523]
