[1752, 1240]
[second-level-question, [256.0, 144.0, 873.0, 36.0], Z_6idPDL22, 5707942]
[second-level-question, [256.0, 180.0, 873.0, 36.0], Z_6idPDL22, 5707942]
[second-level-question, [256.0, 216.0, 873.0, 36.0], Z_6idPDL22, 5707942]
[second-level-question, [256.0, 252.0, 873.0, 36.0], Z_6idPDL22, 5707942]
[second-level-question, [253.0, 319.0, 647.0, 36.0], cOeDEEWQ8D, 5707942]
[second-level-question, [253.0, 355.0, 647.0, 36.0], cOeDEEWQ8D, 5707942]
[second-level-question, [253.0, 391.0, 647.0, 36.0], cOeDEEWQ8D, 5707942]
[second-level-question, [253.0, 427.0, 647.0, 36.0], cOeDEEWQ8D, 5707942]
[second-level-question, [253.0, 460.0, 704.0, 36.0], zkt3mYMIY0, 5707942]
[second-level-question, [253.0, 496.0, 704.0, 36.0], zkt3mYMIY0, 5707942]
[second-level-question, [253.0, 532.0, 704.0, 36.0], zkt3mYMIY0, 5707942]
[second-level-question, [253.0, 568.0, 704.0, 36.0], zkt3mYMIY0, 5707942]
[second-level-question, [253.0, 604.0, 704.0, 36.0], zkt3mYMIY0, 5707942]
[second-level-question, [253.0, 640.0, 704.0, 36.0], zkt3mYMIY0, 5707942]
[second-level-question, [253.0, 676.0, 704.0, 36.0], zkt3mYMIY0, 5707942]
[second-level-question, [249.0, 745.0, 645.0, 36.0], j38H4rnT-i, 5707942]
[second-level-question, [244.0, 813.0, 874.0, 36.0], BZ9o-cIdWK, 5707942]
[second-level-question, [184.0, 943.0, 826.0, 36.0], J6uhpJrdDZ, 5707942]
[options, [236.0, 974.0, 732.0, 36.0], CmLJZJ-MIt, 5707942]
[options, [236.0, 1010.0, 732.0, 36.0], CmLJZJ-MIt, 5707942]
[options, [235.0, 1065.0, 729.0, 36.0], a9NPpwbHvr, 5707942]
[options, [235.0, 1101.0, 729.0, 36.0], a9NPpwbHvr, 5707942]
[second-level-question, [182.0, 1137.0, 928.0, 36.0], Vh_kIsV4Zk, 5707942]
[options, [238.0, 1192.0, 724.0, 36.0], osgR5YArLF, 5707942]
[second-level-question, [184.0, 1256.0, 936.0, 36.0], ncE9xfpJ1j, 5707942]
[options, [236.0, 1319.0, 521.0, 36.0], WlKGh-qu6q, 5707942]
[options, [236.0, 1355.0, 521.0, 36.0], WlKGh-qu6q, 5707942]
[options, [236.0, 1391.0, 521.0, 36.0], WlKGh-qu6q, 5707942]
[folio, [123.0, 1471.0, 95.0, 36.0], 5-uFvhh6zU, 5707942]
