[1103, 748]
[section-title, [159.0, 81.0, 478.0, 30.0], YIQvjM1qRU, 5781336]
[sub-section-title, [147.0, 131.0, 503.0, 25.5], 6SaoF5t1bh, 5781336]
[subsub-section-title, [260.0, 171.0, 264.0, 15.0], shoonya_7sHMSD1BBCMOHW, 5781336]
[subsub-section-title, [260.0, 186.0, 264.0, 15.0], shoonya_7sHMSD1BBCMOHW, 5781336]
[paragraph, [97.0, 204.0, 581.0, 18.0], wUH-ox9C1a, 5781336]
[paragraph, [97.0, 222.0, 581.0, 18.0], wUH-ox9C1a, 5781336]
[paragraph, [97.0, 240.0, 581.0, 18.0], wUH-ox9C1a, 5781336]
[paragraph, [97.0, 258.0, 581.0, 18.0], wUH-ox9C1a, 5781336]
[paragraph, [97.0, 276.0, 581.0, 18.0], wUH-ox9C1a, 5781336]
[paragraph, [97.0, 299.0, 579.0, 18.0], sZuWjhjQcD, 5781336]
[paragraph, [97.0, 317.0, 579.0, 18.0], sZuWjhjQcD, 5781336]
[paragraph, [97.0, 335.0, 579.0, 18.0], sZuWjhjQcD, 5781336]
[paragraph, [97.0, 353.0, 579.0, 18.0], sZuWjhjQcD, 5781336]
[paragraph, [97.0, 371.0, 579.0, 18.0], sZuWjhjQcD, 5781336]
[paragraph, [101.0, 408.0, 565.0, 18.0], shoonya_6sM85FIECFNEZD, 5781336]
[paragraph, [101.0, 426.0, 565.0, 18.0], shoonya_6sM85FIECFNEZD, 5781336]
[paragraph, [101.0, 444.0, 565.0, 18.0], shoonya_6sM85FIECFNEZD, 5781336]
[paragraph, [101.0, 462.0, 565.0, 18.0], shoonya_6sM85FIECFNEZD, 5781336]
[paragraph, [101.0, 480.0, 565.0, 18.0], shoonya_6sM85FIECFNEZD, 5781336]
[paragraph, [101.0, 498.0, 565.0, 18.0], shoonya_6sM85FIECFNEZD, 5781336]
[paragraph, [101.0, 516.0, 565.0, 18.0], shoonya_6sM85FIECFNEZD, 5781336]
[paragraph, [101.0, 534.0, 565.0, 18.0], shoonya_6sM85FIECFNEZD, 5781336]
[paragraph, [101.0, 552.0, 565.0, 18.0], shoonya_6sM85FIECFNEZD, 5781336]
[paragraph, [101.0, 570.0, 565.0, 18.0], shoonya_6sM85FIECFNEZD, 5781336]
[paragraph, [101.0, 592.0, 577.0, 18.0], 5rxzNvn3Zr, 5781336]
[paragraph, [101.0, 610.0, 577.0, 18.0], 5rxzNvn3Zr, 5781336]
[paragraph, [101.0, 628.0, 577.0, 18.0], 5rxzNvn3Zr, 5781336]
[paragraph, [101.0, 646.0, 577.0, 18.0], 5rxzNvn3Zr, 5781336]
[paragraph, [101.0, 664.0, 577.0, 18.0], 5rxzNvn3Zr, 5781336]
[paragraph, [101.0, 682.0, 577.0, 18.0], 5rxzNvn3Zr, 5781336]
[subsub-section-title, [225.0, 717.0, 328.0, 15.0], EL04IBVXjq, 5781336]
[subsub-section-title, [225.0, 732.0, 328.0, 15.0], EL04IBVXjq, 5781336]
[paragraph, [100.0, 759.0, 564.0, 18.0], shoonya_0sDC2H9BJC2385, 5781336]
[paragraph, [100.0, 777.0, 564.0, 18.0], shoonya_0sDC2H9BJC2385, 5781336]
[paragraph, [100.0, 795.0, 564.0, 18.0], shoonya_0sDC2H9BJC2385, 5781336]
[paragraph, [100.0, 813.0, 564.0, 18.0], shoonya_0sDC2H9BJC2385, 5781336]
[paragraph, [100.0, 831.0, 564.0, 18.0], shoonya_0sDC2H9BJC2385, 5781336]
[paragraph, [100.0, 849.0, 564.0, 18.0], shoonya_0sDC2H9BJC2385, 5781336]
[paragraph, [100.0, 867.0, 564.0, 18.0], shoonya_0sDC2H9BJC2385, 5781336]
[paragraph, [100.0, 885.0, 564.0, 18.0], shoonya_0sDC2H9BJC2385, 5781336]
[quote, [197.0, 932.0, 380.0, 18.0], 3Ehh243JQE, 5781336]
[quote, [197.0, 950.0, 380.0, 18.0], 3Ehh243JQE, 5781336]
[quote, [299.0, 941.0, 268.0, 18.0], mJN6J-wHOn, 5781336]
