[3509, 2480]
[paragraph, [365.0, 375.0, 1768.0, 52.5], shoonya_0sK4KO7PHE2TWU, 5724140]
[paragraph, [365.0, 427.5, 1768.0, 52.5], shoonya_0sK4KO7PHE2TWU, 5724140]
[paragraph, [365.0, 480.0, 1768.0, 52.5], shoonya_0sK4KO7PHE2TWU, 5724140]
[paragraph, [365.0, 532.5, 1768.0, 52.5], shoonya_0sK4KO7PHE2TWU, 5724140]
[paragraph, [365.0, 585.0, 1768.0, 52.5], shoonya_0sK4KO7PHE2TWU, 5724140]
[paragraph, [365.0, 637.5, 1768.0, 52.5], shoonya_0sK4KO7PHE2TWU, 5724140]
[paragraph, [359.0, 774.0, 1763.0, 52.5], F9gDJqMj7Z, 5724140]
[paragraph, [359.0, 826.5, 1763.0, 52.5], F9gDJqMj7Z, 5724140]
[paragraph, [359.0, 879.0, 1763.0, 52.5], F9gDJqMj7Z, 5724140]
[paragraph, [359.0, 931.5, 1763.0, 52.5], F9gDJqMj7Z, 5724140]
[paragraph, [359.0, 984.0, 1763.0, 52.5], F9gDJqMj7Z, 5724140]
[paragraph, [359.0, 1036.5, 1763.0, 52.5], F9gDJqMj7Z, 5724140]
[paragraph, [359.0, 1089.0, 1763.0, 52.5], F9gDJqMj7Z, 5724140]
[paragraph, [359.0, 1141.5, 1763.0, 52.5], F9gDJqMj7Z, 5724140]
[paragraph, [359.0, 1194.0, 1763.0, 52.5], F9gDJqMj7Z, 5724140]
[paragraph, [359.0, 1246.5, 1763.0, 52.5], F9gDJqMj7Z, 5724140]
[paragraph, [359.0, 1299.0, 1763.0, 52.5], F9gDJqMj7Z, 5724140]
[paragraph, [359.0, 1351.5, 1763.0, 52.5], F9gDJqMj7Z, 5724140]
[paragraph, [359.0, 1404.0, 1763.0, 52.5], F9gDJqMj7Z, 5724140]
[paragraph, [359.0, 1456.5, 1763.0, 52.5], F9gDJqMj7Z, 5724140]
[paragraph, [359.0, 1509.0, 1763.0, 52.5], F9gDJqMj7Z, 5724140]
[paragraph, [359.0, 1561.5, 1763.0, 52.5], F9gDJqMj7Z, 5724140]
[paragraph, [359.0, 1614.0, 1763.0, 52.5], F9gDJqMj7Z, 5724140]
[paragraph, [359.0, 1666.5, 1763.0, 52.5], F9gDJqMj7Z, 5724140]
[paragraph, [359.0, 1719.0, 1763.0, 52.5], F9gDJqMj7Z, 5724140]
[paragraph, [359.0, 1771.5, 1763.0, 52.5], F9gDJqMj7Z, 5724140]
[paragraph, [359.0, 1824.0, 1763.0, 52.5], F9gDJqMj7Z, 5724140]
[paragraph, [359.0, 1876.5, 1763.0, 52.5], F9gDJqMj7Z, 5724140]
[paragraph, [359.0, 1929.0, 1763.0, 52.5], F9gDJqMj7Z, 5724140]
[paragraph, [359.0, 1981.5, 1763.0, 52.5], F9gDJqMj7Z, 5724140]
[paragraph, [359.0, 2034.0, 1763.0, 52.5], F9gDJqMj7Z, 5724140]
[paragraph, [359.0, 2086.5, 1763.0, 52.5], F9gDJqMj7Z, 5724140]
[paragraph, [359.0, 2139.0, 1763.0, 52.5], F9gDJqMj7Z, 5724140]
[paragraph, [359.0, 2191.5, 1763.0, 52.5], F9gDJqMj7Z, 5724140]
[paragraph, [365.0, 2331.0, 1754.0, 52.5], 0UNQ6u81Md, 5724140]
[paragraph, [365.0, 2383.5, 1754.0, 52.5], 0UNQ6u81Md, 5724140]
[paragraph, [365.0, 2436.0, 1754.0, 52.5], 0UNQ6u81Md, 5724140]
[paragraph, [365.0, 2488.5, 1754.0, 52.5], 0UNQ6u81Md, 5724140]
[paragraph, [365.0, 2541.0, 1754.0, 52.5], 0UNQ6u81Md, 5724140]
[paragraph, [365.0, 2593.5, 1754.0, 52.5], 0UNQ6u81Md, 5724140]
[paragraph, [365.0, 2646.0, 1754.0, 52.5], 0UNQ6u81Md, 5724140]
[paragraph, [365.0, 2698.5, 1754.0, 52.5], 0UNQ6u81Md, 5724140]
[paragraph, [365.0, 2751.0, 1754.0, 52.5], 0UNQ6u81Md, 5724140]
[paragraph, [365.0, 2803.5, 1754.0, 52.5], 0UNQ6u81Md, 5724140]
[paragraph, [365.0, 2856.0, 1754.0, 52.5], 0UNQ6u81Md, 5724140]
[paragraph, [365.0, 2908.5, 1754.0, 52.5], 0UNQ6u81Md, 5724140]
[paragraph, [365.0, 2961.0, 1754.0, 52.5], 0UNQ6u81Md, 5724140]
[paragraph, [365.0, 3013.5, 1754.0, 52.5], 0UNQ6u81Md, 5724140]
