[700, 484]
[paragraph, [38.0, 95.0, 400.0, 18.0], ttglbDzMAG, 6464655]
[paragraph, [38.0, 113.0, 400.0, 18.0], ttglbDzMAG, 6464655]
[paragraph, [38.0, 131.0, 400.0, 18.0], ttglbDzMAG, 6464655]
[paragraph, [38.0, 149.0, 400.0, 18.0], ttglbDzMAG, 6464655]
[paragraph, [38.0, 167.0, 400.0, 18.0], ttglbDzMAG, 6464655]
[paragraph, [38.0, 185.0, 400.0, 18.0], ttglbDzMAG, 6464655]
[paragraph, [38.0, 203.0, 400.0, 18.0], ttglbDzMAG, 6464655]
[paragraph, [38.0, 221.0, 400.0, 18.0], ttglbDzMAG, 6464655]
[paragraph, [38.0, 239.0, 400.0, 18.0], ttglbDzMAG, 6464655]
[paragraph, [38.0, 257.0, 400.0, 18.0], ttglbDzMAG, 6464655]
[paragraph, [38.0, 275.0, 400.0, 18.0], ttglbDzMAG, 6464655]
[paragraph, [38.0, 293.0, 400.0, 18.0], ttglbDzMAG, 6464655]
[paragraph, [38.0, 311.0, 400.0, 18.0], ttglbDzMAG, 6464655]
[paragraph, [38.0, 329.0, 400.0, 18.0], ttglbDzMAG, 6464655]
[section-title, [163.0, 388.0, 156.0, 30.0], l0VoxotScT, 6464655]
[paragraph, [39.0, 424.0, 405.0, 18.0], A2Wjd1Rtaf, 6464655]
[paragraph, [39.0, 442.0, 405.0, 18.0], A2Wjd1Rtaf, 6464655]
[paragraph, [39.0, 460.0, 405.0, 18.0], A2Wjd1Rtaf, 6464655]
[paragraph, [39.0, 478.0, 405.0, 18.0], A2Wjd1Rtaf, 6464655]
[paragraph, [39.0, 496.0, 405.0, 18.0], A2Wjd1Rtaf, 6464655]
[paragraph, [39.0, 514.0, 405.0, 18.0], A2Wjd1Rtaf, 6464655]
[paragraph, [39.0, 532.0, 405.0, 18.0], A2Wjd1Rtaf, 6464655]
[paragraph, [39.0, 550.0, 405.0, 18.0], A2Wjd1Rtaf, 6464655]
[paragraph, [39.0, 568.0, 405.0, 18.0], A2Wjd1Rtaf, 6464655]
[paragraph, [39.0, 586.0, 405.0, 18.0], A2Wjd1Rtaf, 6464655]
[paragraph, [39.0, 604.0, 405.0, 18.0], A2Wjd1Rtaf, 6464655]
[paragraph, [39.0, 622.0, 405.0, 18.0], A2Wjd1Rtaf, 6464655]
[paragraph, [39.0, 640.0, 405.0, 18.0], A2Wjd1Rtaf, 6464655]
