[3509, 2480]
[paragraph, [349.0, 375.0, 1797.0, 52.5], shoonya_0s36H9OU1N83T3, 5723804]
[paragraph, [349.0, 427.5, 1797.0, 52.5], shoonya_0s36H9OU1N83T3, 5723804]
[paragraph, [349.0, 480.0, 1797.0, 52.5], shoonya_0s36H9OU1N83T3, 5723804]
[paragraph, [349.0, 532.5, 1797.0, 52.5], shoonya_0s36H9OU1N83T3, 5723804]
[paragraph, [349.0, 585.0, 1797.0, 52.5], shoonya_0s36H9OU1N83T3, 5723804]
[paragraph, [349.0, 637.5, 1797.0, 52.5], shoonya_0s36H9OU1N83T3, 5723804]
[paragraph, [349.0, 690.0, 1797.0, 52.5], shoonya_0s36H9OU1N83T3, 5723804]
[paragraph, [349.0, 742.5, 1797.0, 52.5], shoonya_0s36H9OU1N83T3, 5723804]
[paragraph, [349.0, 795.0, 1797.0, 52.5], shoonya_0s36H9OU1N83T3, 5723804]
[paragraph, [349.0, 847.5, 1797.0, 52.5], shoonya_0s36H9OU1N83T3, 5723804]
[paragraph, [349.0, 900.0, 1797.0, 52.5], shoonya_0s36H9OU1N83T3, 5723804]
[paragraph, [349.0, 952.5, 1797.0, 52.5], shoonya_0s36H9OU1N83T3, 5723804]
[paragraph, [349.0, 1005.0, 1797.0, 52.5], shoonya_0s36H9OU1N83T3, 5723804]
[paragraph, [349.0, 1057.5, 1797.0, 52.5], shoonya_0s36H9OU1N83T3, 5723804]
[paragraph, [337.0, 1207.0, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 1259.5, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 1312.0, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 1364.5, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 1417.0, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 1469.5, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 1522.0, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 1574.5, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 1627.0, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 1679.5, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 1732.0, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 1784.5, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 1837.0, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 1889.5, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 1942.0, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 1994.5, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 2047.0, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 2099.5, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 2152.0, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 2204.5, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 2257.0, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 2309.5, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 2362.0, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 2414.5, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 2467.0, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 2519.5, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 2572.0, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 2624.5, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 2677.0, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 2729.5, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 2782.0, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 2834.5, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
[paragraph, [337.0, 2887.0, 1796.0, 52.5], shoonya_2sB3H0S7H6B7QI, 5723804]
