[2200, 1700]
[paragraph, [238.0, 183.0, 1123.0, 36.0], shoonya_2sIYD6U98PI586, 5651591]
[paragraph, [238.0, 219.0, 1123.0, 36.0], shoonya_2sIYD6U98PI586, 5651591]
[paragraph, [238.0, 255.0, 1123.0, 36.0], shoonya_2sIYD6U98PI586, 5651591]
[paragraph, [238.0, 291.0, 1123.0, 36.0], shoonya_2sIYD6U98PI586, 5651591]
[paragraph, [238.0, 327.0, 1123.0, 36.0], shoonya_2sIYD6U98PI586, 5651591]
[paragraph, [238.0, 363.0, 1123.0, 36.0], shoonya_2sIYD6U98PI586, 5651591]
[paragraph, [238.0, 399.0, 1123.0, 36.0], shoonya_2sIYD6U98PI586, 5651591]
[paragraph, [238.0, 435.0, 1123.0, 36.0], shoonya_2sIYD6U98PI586, 5651591]
[paragraph, [238.0, 471.0, 1123.0, 36.0], shoonya_2sIYD6U98PI586, 5651591]
[paragraph, [238.0, 507.0, 1123.0, 36.0], shoonya_2sIYD6U98PI586, 5651591]
[paragraph, [238.0, 543.0, 1123.0, 36.0], shoonya_2sIYD6U98PI586, 5651591]
[paragraph, [202.0, 588.0, 1184.0, 36.0], shoonya_3sVWR8FNBHL7GX, 5651591]
[paragraph, [202.0, 624.0, 1184.0, 36.0], shoonya_3sVWR8FNBHL7GX, 5651591]
[paragraph, [202.0, 660.0, 1184.0, 36.0], shoonya_3sVWR8FNBHL7GX, 5651591]
[paragraph, [202.0, 696.0, 1184.0, 36.0], shoonya_3sVWR8FNBHL7GX, 5651591]
[paragraph, [202.0, 732.0, 1184.0, 36.0], shoonya_3sVWR8FNBHL7GX, 5651591]
[paragraph, [202.0, 768.0, 1184.0, 36.0], shoonya_3sVWR8FNBHL7GX, 5651591]
[paragraph, [202.0, 804.0, 1184.0, 36.0], shoonya_3sVWR8FNBHL7GX, 5651591]
[paragraph, [202.0, 840.0, 1184.0, 36.0], shoonya_3sVWR8FNBHL7GX, 5651591]
[paragraph, [202.0, 876.0, 1184.0, 36.0], shoonya_3sVWR8FNBHL7GX, 5651591]
[paragraph, [202.0, 912.0, 1184.0, 36.0], shoonya_3sVWR8FNBHL7GX, 5651591]
[paragraph, [220.0, 963.0, 1140.0, 36.0], shoonya_0s3U17EWQ3R6AT, 5651591]
[paragraph, [220.0, 999.0, 1140.0, 36.0], shoonya_0s3U17EWQ3R6AT, 5651591]
[paragraph, [220.0, 1035.0, 1140.0, 36.0], shoonya_0s3U17EWQ3R6AT, 5651591]
[paragraph, [220.0, 1071.0, 1140.0, 36.0], shoonya_0s3U17EWQ3R6AT, 5651591]
[paragraph, [220.0, 1107.0, 1140.0, 36.0], shoonya_0s3U17EWQ3R6AT, 5651591]
[paragraph, [220.0, 1143.0, 1140.0, 36.0], shoonya_0s3U17EWQ3R6AT, 5651591]
[paragraph, [220.0, 1179.0, 1140.0, 36.0], shoonya_0s3U17EWQ3R6AT, 5651591]
[paragraph, [220.0, 1215.0, 1140.0, 36.0], shoonya_0s3U17EWQ3R6AT, 5651591]
[paragraph, [220.0, 1251.0, 1140.0, 36.0], shoonya_0s3U17EWQ3R6AT, 5651591]
[paragraph, [220.0, 1287.0, 1140.0, 36.0], shoonya_0s3U17EWQ3R6AT, 5651591]
[paragraph, [220.0, 1323.0, 1140.0, 36.0], shoonya_0s3U17EWQ3R6AT, 5651591]
[paragraph, [220.0, 1359.0, 1140.0, 36.0], shoonya_0s3U17EWQ3R6AT, 5651591]
[paragraph, [220.0, 1395.0, 1140.0, 36.0], shoonya_0s3U17EWQ3R6AT, 5651591]
[paragraph, [228.0, 1460.0, 1156.0, 36.0], shoonya_1sD1TX0SJ5NMI4, 5651591]
[paragraph, [228.0, 1496.0, 1156.0, 36.0], shoonya_1sD1TX0SJ5NMI4, 5651591]
[paragraph, [228.0, 1532.0, 1156.0, 36.0], shoonya_1sD1TX0SJ5NMI4, 5651591]
[paragraph, [228.0, 1568.0, 1156.0, 36.0], shoonya_1sD1TX0SJ5NMI4, 5651591]
[paragraph, [228.0, 1604.0, 1156.0, 36.0], shoonya_1sD1TX0SJ5NMI4, 5651591]
[paragraph, [228.0, 1640.0, 1156.0, 36.0], shoonya_1sD1TX0SJ5NMI4, 5651591]
[paragraph, [228.0, 1676.0, 1156.0, 36.0], shoonya_1sD1TX0SJ5NMI4, 5651591]
[paragraph, [228.0, 1712.0, 1156.0, 36.0], shoonya_1sD1TX0SJ5NMI4, 5651591]
[paragraph, [228.0, 1748.0, 1156.0, 36.0], shoonya_1sD1TX0SJ5NMI4, 5651591]
[paragraph, [228.0, 1784.0, 1156.0, 36.0], shoonya_1sD1TX0SJ5NMI4, 5651591]
[paragraph, [228.0, 1820.0, 1156.0, 36.0], shoonya_1sD1TX0SJ5NMI4, 5651591]
[folio, [1105.0, 1875.0, 135.0, 36.0], -g_c1UIKji, 5651591]
