[1775, 1139]
[paragraph, [114.0, 141.0, 946.0, 36.0], shoonya_2sRKDBWABCP1AA, 5653876]
[paragraph, [114.0, 177.0, 946.0, 36.0], shoonya_2sRKDBWABCP1AA, 5653876]
[paragraph, [114.0, 213.0, 946.0, 36.0], shoonya_2sRKDBWABCP1AA, 5653876]
[paragraph, [114.0, 249.0, 946.0, 36.0], shoonya_2sRKDBWABCP1AA, 5653876]
[paragraph, [104.0, 335.0, 956.0, 36.0], shoonya_0sJIXMF7ALE9TG, 5653876]
[paragraph, [104.0, 371.0, 956.0, 36.0], shoonya_0sJIXMF7ALE9TG, 5653876]
[paragraph, [104.0, 407.0, 956.0, 36.0], shoonya_0sJIXMF7ALE9TG, 5653876]
[paragraph, [104.0, 443.0, 956.0, 36.0], shoonya_0sJIXMF7ALE9TG, 5653876]
[paragraph, [104.0, 479.0, 956.0, 36.0], shoonya_0sJIXMF7ALE9TG, 5653876]
[paragraph, [104.0, 515.0, 956.0, 36.0], shoonya_0sJIXMF7ALE9TG, 5653876]
[paragraph, [104.0, 551.0, 956.0, 36.0], shoonya_0sJIXMF7ALE9TG, 5653876]
[paragraph, [104.0, 587.0, 956.0, 36.0], shoonya_0sJIXMF7ALE9TG, 5653876]
[paragraph, [104.0, 623.0, 956.0, 36.0], shoonya_0sJIXMF7ALE9TG, 5653876]
[paragraph, [104.0, 659.0, 956.0, 36.0], shoonya_0sJIXMF7ALE9TG, 5653876]
[paragraph, [104.0, 695.0, 956.0, 36.0], shoonya_0sJIXMF7ALE9TG, 5653876]
[paragraph, [104.0, 731.0, 956.0, 36.0], shoonya_0sJIXMF7ALE9TG, 5653876]
[paragraph, [104.0, 767.0, 956.0, 36.0], shoonya_0sJIXMF7ALE9TG, 5653876]
[paragraph, [104.0, 803.0, 956.0, 36.0], shoonya_0sJIXMF7ALE9TG, 5653876]
[paragraph, [95.0, 871.0, 960.0, 36.0], shoonya_1sB1J9NNK9NT3Y, 5653876]
[paragraph, [95.0, 907.0, 960.0, 36.0], shoonya_1sB1J9NNK9NT3Y, 5653876]
[paragraph, [95.0, 943.0, 960.0, 36.0], shoonya_1sB1J9NNK9NT3Y, 5653876]
[paragraph, [95.0, 979.0, 960.0, 36.0], shoonya_1sB1J9NNK9NT3Y, 5653876]
[paragraph, [95.0, 1015.0, 960.0, 36.0], shoonya_1sB1J9NNK9NT3Y, 5653876]
[paragraph, [95.0, 1051.0, 960.0, 36.0], shoonya_1sB1J9NNK9NT3Y, 5653876]
[paragraph, [95.0, 1087.0, 960.0, 36.0], shoonya_1sB1J9NNK9NT3Y, 5653876]
[paragraph, [95.0, 1123.0, 960.0, 36.0], shoonya_1sB1J9NNK9NT3Y, 5653876]
[paragraph, [95.0, 1159.0, 960.0, 36.0], shoonya_1sB1J9NNK9NT3Y, 5653876]
[paragraph, [95.0, 1195.0, 960.0, 36.0], shoonya_1sB1J9NNK9NT3Y, 5653876]
[paragraph, [95.0, 1231.0, 960.0, 36.0], shoonya_1sB1J9NNK9NT3Y, 5653876]
[paragraph, [95.0, 1267.0, 960.0, 36.0], shoonya_1sB1J9NNK9NT3Y, 5653876]
[paragraph, [95.0, 1303.0, 960.0, 36.0], shoonya_1sB1J9NNK9NT3Y, 5653876]
[paragraph, [95.0, 1339.0, 960.0, 36.0], shoonya_1sB1J9NNK9NT3Y, 5653876]
[paragraph, [95.0, 1375.0, 960.0, 36.0], shoonya_1sB1J9NNK9NT3Y, 5653876]
[paragraph, [95.0, 1411.0, 960.0, 36.0], shoonya_1sB1J9NNK9NT3Y, 5653876]
[paragraph, [95.0, 1447.0, 960.0, 36.0], shoonya_1sB1J9NNK9NT3Y, 5653876]
[paragraph, [95.0, 1483.0, 960.0, 36.0], shoonya_1sB1J9NNK9NT3Y, 5653876]
[paragraph, [95.0, 1519.0, 960.0, 36.0], shoonya_1sB1J9NNK9NT3Y, 5653876]
[paragraph, [95.0, 1555.0, 960.0, 36.0], shoonya_1sB1J9NNK9NT3Y, 5653876]
[paragraph, [95.0, 1591.0, 960.0, 36.0], shoonya_1sB1J9NNK9NT3Y, 5653876]
[folio, [722.0, 1655.0, 76.0, 36.0], shoonya_3sCXZP6MJIYQI7, 5653876]
