[1823, 1375]
[folio, [995.0, 102.0, 281.0, 36.0], yj_P4152Q0, 5684428]
[folio, [624.0, 104.0, 123.0, 36.0], IF0oe1QDys, 5684428]
[headline, [392.0, 179.0, 589.0, 37.5], shoonya_3sE20M1CL64AG4, 5684428]
[paragraph, [115.0, 313.0, 567.0, 36.0], shoonya_0sVGBKZS11BYWQ, 5684428]
[paragraph, [115.0, 349.0, 567.0, 36.0], shoonya_0sVGBKZS11BYWQ, 5684428]
[paragraph, [115.0, 385.0, 567.0, 36.0], shoonya_0sVGBKZS11BYWQ, 5684428]
[paragraph, [115.0, 421.0, 567.0, 36.0], shoonya_0sVGBKZS11BYWQ, 5684428]
[paragraph, [115.0, 457.0, 567.0, 36.0], shoonya_0sVGBKZS11BYWQ, 5684428]
[paragraph, [115.0, 493.0, 567.0, 36.0], shoonya_0sVGBKZS11BYWQ, 5684428]
[paragraph, [115.0, 529.0, 567.0, 36.0], shoonya_0sVGBKZS11BYWQ, 5684428]
[paragraph, [115.0, 565.0, 567.0, 36.0], shoonya_0sVGBKZS11BYWQ, 5684428]
[paragraph, [115.0, 601.0, 567.0, 36.0], shoonya_0sVGBKZS11BYWQ, 5684428]
[paragraph, [115.0, 637.0, 567.0, 36.0], shoonya_0sVGBKZS11BYWQ, 5684428]
[paragraph, [115.0, 673.0, 567.0, 36.0], shoonya_0sVGBKZS11BYWQ, 5684428]
[paragraph, [115.0, 709.0, 567.0, 36.0], shoonya_0sVGBKZS11BYWQ, 5684428]
[paragraph, [115.0, 745.0, 567.0, 36.0], shoonya_0sVGBKZS11BYWQ, 5684428]
[paragraph, [115.0, 781.0, 567.0, 36.0], shoonya_0sVGBKZS11BYWQ, 5684428]
[paragraph, [115.0, 817.0, 567.0, 36.0], shoonya_0sVGBKZS11BYWQ, 5684428]
[paragraph, [115.0, 853.0, 567.0, 36.0], shoonya_0sVGBKZS11BYWQ, 5684428]
[paragraph, [115.0, 889.0, 567.0, 36.0], shoonya_0sVGBKZS11BYWQ, 5684428]
[paragraph, [115.0, 925.0, 567.0, 36.0], shoonya_0sVGBKZS11BYWQ, 5684428]
[paragraph, [115.0, 961.0, 567.0, 36.0], shoonya_0sVGBKZS11BYWQ, 5684428]
[paragraph, [749.0, 326.0, 517.0, 36.0], shoonya_4sZ4QQBMSHEYCC, 5684428]
[paragraph, [749.0, 362.0, 517.0, 36.0], shoonya_4sZ4QQBMSHEYCC, 5684428]
[paragraph, [757.0, 411.0, 520.0, 36.0], GcTLBNQTlL, 5684428]
[paragraph, [757.0, 447.0, 520.0, 36.0], GcTLBNQTlL, 5684428]
[paragraph, [702.0, 496.0, 75.0, 36.0], nNKSpLzUT_, 5684428]
[paragraph, [700.0, 543.0, 578.0, 36.0], shoonya_2s0CXP7HQTDPLS, 5684428]
[paragraph, [700.0, 579.0, 578.0, 36.0], shoonya_2s0CXP7HQTDPLS, 5684428]
[paragraph, [700.0, 615.0, 578.0, 36.0], shoonya_2s0CXP7HQTDPLS, 5684428]
[paragraph, [700.0, 651.0, 578.0, 36.0], shoonya_2s0CXP7HQTDPLS, 5684428]
[paragraph, [703.0, 724.0, 569.0, 36.0], SeeoP-ztNT, 5684428]
[paragraph, [703.0, 760.0, 569.0, 36.0], SeeoP-ztNT, 5684428]
[paragraph, [703.0, 796.0, 569.0, 36.0], SeeoP-ztNT, 5684428]
[paragraph, [703.0, 832.0, 569.0, 36.0], SeeoP-ztNT, 5684428]
[paragraph, [703.0, 868.0, 569.0, 36.0], SeeoP-ztNT, 5684428]
[paragraph, [703.0, 904.0, 569.0, 36.0], SeeoP-ztNT, 5684428]
[paragraph, [703.0, 940.0, 569.0, 36.0], SeeoP-ztNT, 5684428]
[paragraph, [703.0, 976.0, 569.0, 36.0], SeeoP-ztNT, 5684428]
[paragraph, [703.0, 1012.0, 569.0, 36.0], SeeoP-ztNT, 5684428]
[paragraph, [703.0, 1048.0, 569.0, 36.0], SeeoP-ztNT, 5684428]
[paragraph, [703.0, 1084.0, 569.0, 36.0], SeeoP-ztNT, 5684428]
[paragraph, [703.0, 1120.0, 569.0, 36.0], SeeoP-ztNT, 5684428]
[paragraph, [703.0, 1156.0, 569.0, 36.0], SeeoP-ztNT, 5684428]
[paragraph, [703.0, 1192.0, 569.0, 36.0], SeeoP-ztNT, 5684428]
[paragraph, [703.0, 1228.0, 569.0, 36.0], SeeoP-ztNT, 5684428]
[paragraph, [703.0, 1264.0, 569.0, 36.0], SeeoP-ztNT, 5684428]
[paragraph, [703.0, 1300.0, 569.0, 36.0], SeeoP-ztNT, 5684428]
[paragraph, [703.0, 1336.0, 569.0, 36.0], SeeoP-ztNT, 5684428]
[paragraph, [703.0, 1372.0, 569.0, 36.0], SeeoP-ztNT, 5684428]
[paragraph, [703.0, 1408.0, 569.0, 36.0], SeeoP-ztNT, 5684428]
[paragraph, [703.0, 1444.0, 569.0, 36.0], SeeoP-ztNT, 5684428]
[paragraph, [703.0, 1480.0, 569.0, 36.0], SeeoP-ztNT, 5684428]
[paragraph, [703.0, 1516.0, 569.0, 36.0], SeeoP-ztNT, 5684428]
[paragraph, [703.0, 1552.0, 569.0, 36.0], SeeoP-ztNT, 5684428]
