[2717, 1772]
[folio, [586.0, 221.0, 663.0, 46.5], HuvmYH2cRc, 5721624]
[folio, [586.0, 267.5, 663.0, 46.5], HuvmYH2cRc, 5721624]
[paragraph, [183.0, 347.0, 1438.0, 46.5], shoonya_0s2I702PLB7N6A, 5721624]
[paragraph, [183.0, 393.5, 1438.0, 46.5], shoonya_0s2I702PLB7N6A, 5721624]
[paragraph, [183.0, 440.0, 1438.0, 46.5], shoonya_0s2I702PLB7N6A, 5721624]
[paragraph, [183.0, 486.5, 1438.0, 46.5], shoonya_0s2I702PLB7N6A, 5721624]
[paragraph, [183.0, 533.0, 1438.0, 46.5], shoonya_0s2I702PLB7N6A, 5721624]
[paragraph, [183.0, 579.5, 1438.0, 46.5], shoonya_0s2I702PLB7N6A, 5721624]
[paragraph, [183.0, 626.0, 1438.0, 46.5], shoonya_0s2I702PLB7N6A, 5721624]
[paragraph, [183.0, 672.5, 1438.0, 46.5], shoonya_0s2I702PLB7N6A, 5721624]
[paragraph, [183.0, 719.0, 1438.0, 46.5], shoonya_0s2I702PLB7N6A, 5721624]
[paragraph, [183.0, 765.5, 1438.0, 46.5], shoonya_0s2I702PLB7N6A, 5721624]
[paragraph, [183.0, 812.0, 1438.0, 46.5], shoonya_0s2I702PLB7N6A, 5721624]
[paragraph, [183.0, 858.5, 1438.0, 46.5], shoonya_0s2I702PLB7N6A, 5721624]
[paragraph, [183.0, 905.0, 1438.0, 46.5], shoonya_0s2I702PLB7N6A, 5721624]
[paragraph, [183.0, 951.5, 1438.0, 46.5], shoonya_0s2I702PLB7N6A, 5721624]
[paragraph, [183.0, 998.0, 1438.0, 46.5], shoonya_0s2I702PLB7N6A, 5721624]
[paragraph, [183.0, 1044.5, 1438.0, 46.5], shoonya_0s2I702PLB7N6A, 5721624]
[paragraph, [183.0, 1091.0, 1438.0, 46.5], shoonya_0s2I702PLB7N6A, 5721624]
[paragraph, [183.0, 1137.5, 1438.0, 46.5], shoonya_0s2I702PLB7N6A, 5721624]
[paragraph, [183.0, 1184.0, 1438.0, 46.5], shoonya_0s2I702PLB7N6A, 5721624]
[paragraph, [183.0, 1230.5, 1438.0, 46.5], shoonya_0s2I702PLB7N6A, 5721624]
[paragraph, [183.0, 1277.0, 1438.0, 46.5], shoonya_0s2I702PLB7N6A, 5721624]
[paragraph, [183.0, 1323.5, 1438.0, 46.5], shoonya_0s2I702PLB7N6A, 5721624]
[paragraph, [183.0, 1370.0, 1438.0, 46.5], shoonya_0s2I702PLB7N6A, 5721624]
[paragraph, [183.0, 1416.5, 1438.0, 46.5], shoonya_0s2I702PLB7N6A, 5721624]
[paragraph, [179.0, 1493.0, 1444.0, 46.5], y7BpQu-B0B, 5721624]
[paragraph, [179.0, 1539.5, 1444.0, 46.5], y7BpQu-B0B, 5721624]
[paragraph, [179.0, 1586.0, 1444.0, 46.5], y7BpQu-B0B, 5721624]
[paragraph, [179.0, 1632.5, 1444.0, 46.5], y7BpQu-B0B, 5721624]
[paragraph, [179.0, 1679.0, 1444.0, 46.5], y7BpQu-B0B, 5721624]
[paragraph, [179.0, 1725.5, 1444.0, 46.5], y7BpQu-B0B, 5721624]
[paragraph, [179.0, 1772.0, 1444.0, 46.5], y7BpQu-B0B, 5721624]
[paragraph, [179.0, 1818.5, 1444.0, 46.5], y7BpQu-B0B, 5721624]
[paragraph, [179.0, 1865.0, 1444.0, 46.5], y7BpQu-B0B, 5721624]
[paragraph, [179.0, 1911.5, 1444.0, 46.5], y7BpQu-B0B, 5721624]
[paragraph, [179.0, 1958.0, 1444.0, 46.5], y7BpQu-B0B, 5721624]
[paragraph, [179.0, 2004.5, 1444.0, 46.5], y7BpQu-B0B, 5721624]
[paragraph, [179.0, 2051.0, 1444.0, 46.5], y7BpQu-B0B, 5721624]
[paragraph, [179.0, 2112.0, 1444.0, 46.5], j-9VIb76pH, 5721624]
[paragraph, [179.0, 2158.5, 1444.0, 46.5], j-9VIb76pH, 5721624]
[paragraph, [179.0, 2205.0, 1444.0, 46.5], j-9VIb76pH, 5721624]
[paragraph, [179.0, 2251.5, 1444.0, 46.5], j-9VIb76pH, 5721624]
[paragraph, [179.0, 2298.0, 1444.0, 46.5], j-9VIb76pH, 5721624]
[paragraph, [174.0, 2367.0, 1449.0, 46.5], B2do38StT4, 5721624]
[paragraph, [174.0, 2413.5, 1449.0, 46.5], B2do38StT4, 5721624]
[paragraph, [174.0, 2460.0, 1449.0, 46.5], B2do38StT4, 5721624]
