[2200, 1700]
[paragraph, [82.0, 148.0, 731.0, 36.0], KV9sloRg2W, 5752687]
[paragraph, [82.0, 184.0, 731.0, 36.0], KV9sloRg2W, 5752687]
[paragraph, [82.0, 220.0, 731.0, 36.0], KV9sloRg2W, 5752687]
[paragraph, [82.0, 256.0, 731.0, 36.0], KV9sloRg2W, 5752687]
[paragraph, [891.0, 166.0, 721.0, 36.0], shoonya_1sSGLYB3NL3RXS, 5752687]
[paragraph, [891.0, 202.0, 721.0, 36.0], shoonya_1sSGLYB3NL3RXS, 5752687]
[paragraph, [891.0, 238.0, 721.0, 36.0], shoonya_1sSGLYB3NL3RXS, 5752687]
[paragraph, [891.0, 274.0, 721.0, 36.0], shoonya_1sSGLYB3NL3RXS, 5752687]
[paragraph, [891.0, 310.0, 721.0, 36.0], shoonya_1sSGLYB3NL3RXS, 5752687]
[paragraph, [891.0, 346.0, 721.0, 36.0], shoonya_1sSGLYB3NL3RXS, 5752687]
[paragraph, [891.0, 382.0, 721.0, 36.0], shoonya_1sSGLYB3NL3RXS, 5752687]
[paragraph, [891.0, 418.0, 721.0, 36.0], shoonya_1sSGLYB3NL3RXS, 5752687]
[paragraph, [891.0, 454.0, 721.0, 36.0], shoonya_1sSGLYB3NL3RXS, 5752687]
[paragraph, [891.0, 490.0, 721.0, 36.0], shoonya_1sSGLYB3NL3RXS, 5752687]
[paragraph, [891.0, 526.0, 721.0, 36.0], shoonya_1sSGLYB3NL3RXS, 5752687]
[paragraph, [891.0, 562.0, 721.0, 36.0], shoonya_1sSGLYB3NL3RXS, 5752687]
[paragraph, [891.0, 598.0, 721.0, 36.0], shoonya_1sSGLYB3NL3RXS, 5752687]
[paragraph, [891.0, 634.0, 721.0, 36.0], shoonya_1sSGLYB3NL3RXS, 5752687]
[paragraph, [891.0, 670.0, 721.0, 36.0], shoonya_1sSGLYB3NL3RXS, 5752687]
[paragraph, [891.0, 706.0, 721.0, 36.0], shoonya_1sSGLYB3NL3RXS, 5752687]
[paragraph, [891.0, 742.0, 721.0, 36.0], shoonya_1sSGLYB3NL3RXS, 5752687]
[paragraph, [891.0, 778.0, 721.0, 36.0], shoonya_1sSGLYB3NL3RXS, 5752687]
[paragraph, [82.0, 302.0, 738.0, 36.0], bUmINXhxIs, 5752687]
[paragraph, [82.0, 338.0, 738.0, 36.0], bUmINXhxIs, 5752687]
[paragraph, [82.0, 374.0, 738.0, 36.0], bUmINXhxIs, 5752687]
[paragraph, [82.0, 410.0, 738.0, 36.0], bUmINXhxIs, 5752687]
[paragraph, [82.0, 446.0, 738.0, 36.0], bUmINXhxIs, 5752687]
[paragraph, [82.0, 482.0, 738.0, 36.0], bUmINXhxIs, 5752687]
[paragraph, [82.0, 518.0, 738.0, 36.0], bUmINXhxIs, 5752687]
[paragraph, [82.0, 554.0, 738.0, 36.0], bUmINXhxIs, 5752687]
[paragraph, [82.0, 590.0, 738.0, 36.0], bUmINXhxIs, 5752687]
[paragraph, [82.0, 626.0, 738.0, 36.0], bUmINXhxIs, 5752687]
[paragraph, [82.0, 662.0, 738.0, 36.0], bUmINXhxIs, 5752687]
[paragraph, [82.0, 698.0, 738.0, 36.0], bUmINXhxIs, 5752687]
[paragraph, [74.0, 765.0, 751.0, 36.0], u-2PW9kPTu, 5752687]
[paragraph, [74.0, 801.0, 751.0, 36.0], u-2PW9kPTu, 5752687]
[paragraph, [74.0, 837.0, 751.0, 36.0], u-2PW9kPTu, 5752687]
[paragraph, [87.0, 1768.0, 1510.0, 36.0], QQrNpzZlD9, 5752687]
[paragraph, [87.0, 1804.0, 1510.0, 36.0], QQrNpzZlD9, 5752687]
[paragraph, [87.0, 1840.0, 1510.0, 36.0], QQrNpzZlD9, 5752687]
[paragraph, [85.0, 1894.0, 186.0, 36.0], MX7epo8A_k, 5752687]
[paragraph, [85.0, 1930.0, 186.0, 36.0], MX7epo8A_k, 5752687]
[reference, [270.0, 1907.0, 361.0, 36.0], xScPRJJRSI, 5752687]
[reference, [270.0, 1943.0, 361.0, 36.0], xScPRJJRSI, 5752687]
