[1275, 750]
[folio, [281.0, 88.0, 184.0, 18.0], shoonya_2sTJ7SKJ13EIYJ, 5767671]
[folio, [281.0, 106.0, 184.0, 18.0], shoonya_2sTJ7SKJ13EIYJ, 5767671]
[paragraph, [75.0, 156.0, 600.0, 18.0], shoonya_0sP87XGWE077CI, 5767671]
[paragraph, [75.0, 174.0, 600.0, 18.0], shoonya_0sP87XGWE077CI, 5767671]
[paragraph, [75.0, 192.0, 600.0, 18.0], shoonya_0sP87XGWE077CI, 5767671]
[paragraph, [75.0, 210.0, 600.0, 18.0], shoonya_0sP87XGWE077CI, 5767671]
[paragraph, [75.0, 228.0, 600.0, 18.0], shoonya_0sP87XGWE077CI, 5767671]
[paragraph, [75.0, 246.0, 600.0, 18.0], shoonya_0sP87XGWE077CI, 5767671]
[paragraph, [75.0, 264.0, 600.0, 18.0], shoonya_0sP87XGWE077CI, 5767671]
[paragraph, [75.0, 282.0, 600.0, 18.0], shoonya_0sP87XGWE077CI, 5767671]
[paragraph, [75.0, 300.0, 600.0, 18.0], shoonya_0sP87XGWE077CI, 5767671]
[paragraph, [75.0, 318.0, 600.0, 18.0], shoonya_0sP87XGWE077CI, 5767671]
[paragraph, [75.0, 336.0, 600.0, 18.0], shoonya_0sP87XGWE077CI, 5767671]
[paragraph, [75.0, 354.0, 600.0, 18.0], shoonya_0sP87XGWE077CI, 5767671]
[ordered-list, [65.0, 391.0, 620.0, 18.0], shoonya_1sYL153HZ7KN2K, 5767671]
[ordered-list, [65.0, 409.0, 620.0, 18.0], shoonya_1sYL153HZ7KN2K, 5767671]
[ordered-list, [65.0, 427.0, 620.0, 18.0], shoonya_1sYL153HZ7KN2K, 5767671]
[ordered-list, [65.0, 445.0, 620.0, 18.0], shoonya_1sYL153HZ7KN2K, 5767671]
[ordered-list, [65.0, 463.0, 620.0, 18.0], shoonya_1sYL153HZ7KN2K, 5767671]
[ordered-list, [65.0, 481.0, 620.0, 18.0], shoonya_1sYL153HZ7KN2K, 5767671]
[ordered-list, [65.0, 499.0, 620.0, 18.0], shoonya_1sYL153HZ7KN2K, 5767671]
[ordered-list, [65.0, 517.0, 620.0, 18.0], shoonya_1sYL153HZ7KN2K, 5767671]
[ordered-list, [65.0, 535.0, 620.0, 18.0], shoonya_1sYL153HZ7KN2K, 5767671]
[ordered-list, [65.0, 553.0, 620.0, 18.0], shoonya_1sYL153HZ7KN2K, 5767671]
[ordered-list, [65.0, 571.0, 620.0, 18.0], shoonya_1sYL153HZ7KN2K, 5767671]
[ordered-list, [65.0, 589.0, 620.0, 18.0], shoonya_1sYL153HZ7KN2K, 5767671]
[ordered-list, [65.0, 607.0, 620.0, 18.0], shoonya_1sYL153HZ7KN2K, 5767671]
[ordered-list, [65.0, 625.0, 620.0, 18.0], shoonya_1sYL153HZ7KN2K, 5767671]
[ordered-list, [65.0, 643.0, 620.0, 18.0], shoonya_1sYL153HZ7KN2K, 5767671]
[ordered-list, [65.0, 661.0, 620.0, 18.0], shoonya_1sYL153HZ7KN2K, 5767671]
[ordered-list, [65.0, 679.0, 620.0, 18.0], shoonya_1sYL153HZ7KN2K, 5767671]
[ordered-list, [65.0, 697.0, 620.0, 18.0], shoonya_1sYL153HZ7KN2K, 5767671]
[ordered-list, [65.0, 715.0, 620.0, 18.0], shoonya_1sYL153HZ7KN2K, 5767671]
[ordered-list, [65.0, 733.0, 620.0, 18.0], shoonya_1sYL153HZ7KN2K, 5767671]
[ordered-list, [65.0, 751.0, 620.0, 18.0], shoonya_1sYL153HZ7KN2K, 5767671]
[ordered-list, [65.0, 769.0, 620.0, 18.0], shoonya_1sYL153HZ7KN2K, 5767671]
[ordered-list, [65.0, 787.0, 620.0, 18.0], shoonya_1sYL153HZ7KN2K, 5767671]
[ordered-list, [65.0, 805.0, 620.0, 18.0], shoonya_1sYL153HZ7KN2K, 5767671]
[ordered-list, [65.0, 823.0, 620.0, 18.0], shoonya_1sYL153HZ7KN2K, 5767671]
[ordered-list, [65.0, 841.0, 620.0, 18.0], shoonya_1sYL153HZ7KN2K, 5767671]
[paragraph, [79.0, 862.0, 469.0, 18.0], cfauUQyGCy, 5767671]
[paragraph, [79.0, 880.0, 469.0, 18.0], cfauUQyGCy, 5767671]
[paragraph, [79.0, 898.0, 469.0, 18.0], cfauUQyGCy, 5767671]
[paragraph, [79.0, 916.0, 469.0, 18.0], cfauUQyGCy, 5767671]
[paragraph, [79.0, 934.0, 469.0, 18.0], cfauUQyGCy, 5767671]
[paragraph, [506.0, 953.0, 167.0, 18.0], yKEVs6RuP0, 5767671]
[paragraph, [506.0, 971.0, 167.0, 18.0], yKEVs6RuP0, 5767671]
[paragraph, [68.0, 992.0, 608.0, 18.0], ttfmIuHaT9, 5767671]
[paragraph, [68.0, 1010.0, 608.0, 18.0], ttfmIuHaT9, 5767671]
[paragraph, [68.0, 1028.0, 608.0, 18.0], ttfmIuHaT9, 5767671]
[paragraph, [68.0, 1046.0, 608.0, 18.0], ttfmIuHaT9, 5767671]
[paragraph, [68.0, 1064.0, 608.0, 18.0], ttfmIuHaT9, 5767671]
[paragraph, [68.0, 1082.0, 608.0, 18.0], ttfmIuHaT9, 5767671]
[paragraph, [68.0, 1100.0, 608.0, 18.0], ttfmIuHaT9, 5767671]
[paragraph, [68.0, 1118.0, 608.0, 18.0], ttfmIuHaT9, 5767671]
[paragraph, [68.0, 1136.0, 608.0, 18.0], ttfmIuHaT9, 5767671]
[paragraph, [68.0, 1154.0, 608.0, 18.0], ttfmIuHaT9, 5767671]
