[720, 504]
[paragraph, [258.0, 104.0, 197.0, 18.0], shoonya_1sYPXVVQTIS7ZJ, 5652335]
[paragraph, [258.0, 122.0, 197.0, 18.0], shoonya_1sYPXVVQTIS7ZJ, 5652335]
[paragraph, [258.0, 140.0, 197.0, 18.0], shoonya_1sYPXVVQTIS7ZJ, 5652335]
[paragraph, [258.0, 158.0, 197.0, 18.0], shoonya_1sYPXVVQTIS7ZJ, 5652335]
[paragraph, [258.0, 176.0, 197.0, 18.0], shoonya_1sYPXVVQTIS7ZJ, 5652335]
[paragraph, [258.0, 194.0, 197.0, 18.0], shoonya_1sYPXVVQTIS7ZJ, 5652335]
[paragraph, [258.0, 212.0, 197.0, 18.0], shoonya_1sYPXVVQTIS7ZJ, 5652335]
[paragraph, [258.0, 230.0, 197.0, 18.0], shoonya_1sYPXVVQTIS7ZJ, 5652335]
[paragraph, [258.0, 248.0, 197.0, 18.0], shoonya_1sYPXVVQTIS7ZJ, 5652335]
[paragraph, [258.0, 266.0, 197.0, 18.0], shoonya_1sYPXVVQTIS7ZJ, 5652335]
[paragraph, [258.0, 284.0, 197.0, 18.0], shoonya_1sYPXVVQTIS7ZJ, 5652335]
[paragraph, [258.0, 302.0, 197.0, 18.0], shoonya_1sYPXVVQTIS7ZJ, 5652335]
[paragraph, [258.0, 320.0, 197.0, 18.0], shoonya_1sYPXVVQTIS7ZJ, 5652335]
[paragraph, [258.0, 338.0, 197.0, 18.0], shoonya_1sYPXVVQTIS7ZJ, 5652335]
[paragraph, [258.0, 356.0, 197.0, 18.0], shoonya_1sYPXVVQTIS7ZJ, 5652335]
[paragraph, [258.0, 374.0, 197.0, 18.0], shoonya_1sYPXVVQTIS7ZJ, 5652335]
[paragraph, [258.0, 392.0, 197.0, 18.0], shoonya_1sYPXVVQTIS7ZJ, 5652335]
[paragraph, [258.0, 410.0, 197.0, 18.0], shoonya_1sYPXVVQTIS7ZJ, 5652335]
[paragraph, [258.0, 428.0, 197.0, 18.0], shoonya_1sYPXVVQTIS7ZJ, 5652335]
[paragraph, [258.0, 446.0, 197.0, 18.0], shoonya_1sYPXVVQTIS7ZJ, 5652335]
[paragraph, [258.0, 464.0, 197.0, 18.0], shoonya_1sYPXVVQTIS7ZJ, 5652335]
[paragraph, [258.0, 482.0, 197.0, 18.0], shoonya_1sYPXVVQTIS7ZJ, 5652335]
[paragraph, [48.0, 105.0, 198.0, 18.0], shoonya_3sL70OU32PIVGX, 5652335]
[paragraph, [48.0, 123.0, 198.0, 18.0], shoonya_3sL70OU32PIVGX, 5652335]
[paragraph, [48.0, 141.0, 198.0, 18.0], shoonya_3sL70OU32PIVGX, 5652335]
[paragraph, [48.0, 159.0, 198.0, 18.0], shoonya_3sL70OU32PIVGX, 5652335]
[paragraph, [48.0, 177.0, 198.0, 18.0], shoonya_3sL70OU32PIVGX, 5652335]
[paragraph, [48.0, 195.0, 198.0, 18.0], shoonya_3sL70OU32PIVGX, 5652335]
[paragraph, [48.0, 213.0, 198.0, 18.0], shoonya_3sL70OU32PIVGX, 5652335]
[paragraph, [48.0, 232.0, 197.0, 18.0], shoonya_2s14JPFMBNHUNM, 5652335]
[paragraph, [48.0, 250.0, 197.0, 18.0], shoonya_2s14JPFMBNHUNM, 5652335]
[paragraph, [48.0, 268.0, 197.0, 18.0], shoonya_2s14JPFMBNHUNM, 5652335]
[paragraph, [48.0, 286.0, 197.0, 18.0], shoonya_2s14JPFMBNHUNM, 5652335]
[paragraph, [48.0, 304.0, 197.0, 18.0], shoonya_2s14JPFMBNHUNM, 5652335]
[paragraph, [48.0, 322.0, 197.0, 18.0], shoonya_2s14JPFMBNHUNM, 5652335]
