[1650, 1275]
[folio, [741.0, 41.0, 398.0, 36.0], DHjE1-hCtW, 5775398]
[paragraph, [141.0, 121.0, 947.0, 36.0], shoonya_5sT265F9OXEW6M, 5775398]
[paragraph, [141.0, 157.0, 947.0, 36.0], shoonya_5sT265F9OXEW6M, 5775398]
[paragraph, [136.0, 217.0, 977.0, 36.0], shoonya_0sD2TQ548BCIG3, 5775398]
[paragraph, [136.0, 253.0, 977.0, 36.0], shoonya_0sD2TQ548BCIG3, 5775398]
[paragraph, [136.0, 289.0, 977.0, 36.0], shoonya_0sD2TQ548BCIG3, 5775398]
[paragraph, [136.0, 325.0, 977.0, 36.0], shoonya_0sD2TQ548BCIG3, 5775398]
[paragraph, [136.0, 361.0, 977.0, 36.0], shoonya_0sD2TQ548BCIG3, 5775398]
[paragraph, [135.0, 405.0, 1000.0, 36.0], shoonya_1sZ1N8JGDHNLQW, 5775398]
[paragraph, [135.0, 441.0, 1000.0, 36.0], shoonya_1sZ1N8JGDHNLQW, 5775398]
[paragraph, [135.0, 477.0, 1000.0, 36.0], shoonya_1sZ1N8JGDHNLQW, 5775398]
[paragraph, [135.0, 513.0, 1000.0, 36.0], shoonya_1sZ1N8JGDHNLQW, 5775398]
[paragraph, [135.0, 549.0, 1000.0, 36.0], shoonya_1sZ1N8JGDHNLQW, 5775398]
[paragraph, [135.0, 585.0, 1000.0, 36.0], shoonya_1sZ1N8JGDHNLQW, 5775398]
[paragraph, [135.0, 621.0, 1000.0, 36.0], shoonya_1sZ1N8JGDHNLQW, 5775398]
[paragraph, [138.0, 681.0, 994.0, 36.0], shoonya_2sRT87DSRG1774, 5775398]
[paragraph, [138.0, 717.0, 994.0, 36.0], shoonya_2sRT87DSRG1774, 5775398]
[paragraph, [138.0, 753.0, 994.0, 36.0], shoonya_2sRT87DSRG1774, 5775398]
[paragraph, [138.0, 814.0, 990.0, 36.0], shoonya_4sUQ1AL87GKWPV, 5775398]
[paragraph, [138.0, 850.0, 990.0, 36.0], shoonya_4sUQ1AL87GKWPV, 5775398]
[paragraph, [138.0, 886.0, 990.0, 36.0], shoonya_4sUQ1AL87GKWPV, 5775398]
[paragraph, [138.0, 922.0, 990.0, 36.0], shoonya_4sUQ1AL87GKWPV, 5775398]
[paragraph, [134.0, 972.0, 993.0, 36.0], shoonya_3sOYF81UN2LDJ8, 5775398]
[paragraph, [134.0, 1008.0, 993.0, 36.0], shoonya_3sOYF81UN2LDJ8, 5775398]
[paragraph, [134.0, 1044.0, 993.0, 36.0], shoonya_3sOYF81UN2LDJ8, 5775398]
[paragraph, [134.0, 1080.0, 993.0, 36.0], shoonya_3sOYF81UN2LDJ8, 5775398]
[footnote, [142.0, 1571.0, 527.0, 36.0], ABE2C5JqKn, 5775398]
[website-link, [424.0, 1577.0, 237.0, 18.0], M1cr8XGuQ4, 5775398]
