[2717, 1772]
[folio, [800.0, 236.0, 212.0, 46.5], aUJCBilyW1, 5721121]
[paragraph, [207.0, 348.0, 1366.0, 46.5], shoonya_0s1W1QJL1ZE3IA, 5721121]
[paragraph, [207.0, 394.5, 1366.0, 46.5], shoonya_0s1W1QJL1ZE3IA, 5721121]
[paragraph, [207.0, 441.0, 1366.0, 46.5], shoonya_0s1W1QJL1ZE3IA, 5721121]
[paragraph, [207.0, 487.5, 1366.0, 46.5], shoonya_0s1W1QJL1ZE3IA, 5721121]
[paragraph, [207.0, 534.0, 1366.0, 46.5], shoonya_0s1W1QJL1ZE3IA, 5721121]
[paragraph, [207.0, 580.5, 1366.0, 46.5], shoonya_0s1W1QJL1ZE3IA, 5721121]
[paragraph, [207.0, 627.0, 1366.0, 46.5], shoonya_0s1W1QJL1ZE3IA, 5721121]
[paragraph, [201.0, 734.0, 1376.0, 46.5], -YAtJ0XhV3, 5721121]
[paragraph, [201.0, 780.5, 1376.0, 46.5], -YAtJ0XhV3, 5721121]
[paragraph, [201.0, 827.0, 1376.0, 46.5], -YAtJ0XhV3, 5721121]
[paragraph, [201.0, 873.5, 1376.0, 46.5], -YAtJ0XhV3, 5721121]
[paragraph, [201.0, 920.0, 1376.0, 46.5], -YAtJ0XhV3, 5721121]
[paragraph, [201.0, 966.5, 1376.0, 46.5], -YAtJ0XhV3, 5721121]
[paragraph, [201.0, 1013.0, 1376.0, 46.5], -YAtJ0XhV3, 5721121]
[paragraph, [201.0, 1059.5, 1376.0, 46.5], -YAtJ0XhV3, 5721121]
[paragraph, [201.0, 1106.0, 1376.0, 46.5], -YAtJ0XhV3, 5721121]
[paragraph, [201.0, 1152.5, 1376.0, 46.5], -YAtJ0XhV3, 5721121]
[paragraph, [201.0, 1199.0, 1376.0, 46.5], -YAtJ0XhV3, 5721121]
[paragraph, [201.0, 1245.5, 1376.0, 46.5], -YAtJ0XhV3, 5721121]
[paragraph, [201.0, 1292.0, 1376.0, 46.5], -YAtJ0XhV3, 5721121]
[paragraph, [201.0, 1338.5, 1376.0, 46.5], -YAtJ0XhV3, 5721121]
[paragraph, [201.0, 1385.0, 1376.0, 46.5], -YAtJ0XhV3, 5721121]
[paragraph, [201.0, 1431.5, 1376.0, 46.5], -YAtJ0XhV3, 5721121]
[paragraph, [201.0, 1478.0, 1376.0, 46.5], -YAtJ0XhV3, 5721121]
[paragraph, [201.0, 1524.5, 1376.0, 46.5], -YAtJ0XhV3, 5721121]
[paragraph, [201.0, 1571.0, 1376.0, 46.5], -YAtJ0XhV3, 5721121]
[paragraph, [201.0, 1617.5, 1376.0, 46.5], -YAtJ0XhV3, 5721121]
[paragraph, [201.0, 1664.0, 1376.0, 46.5], -YAtJ0XhV3, 5721121]
[paragraph, [201.0, 1710.5, 1376.0, 46.5], -YAtJ0XhV3, 5721121]
[paragraph, [201.0, 1757.0, 1376.0, 46.5], -YAtJ0XhV3, 5721121]
[paragraph, [192.0, 1865.0, 1382.0, 46.5], 8sHBXlwpGD, 5721121]
[paragraph, [192.0, 1911.5, 1382.0, 46.5], 8sHBXlwpGD, 5721121]
[paragraph, [192.0, 1958.0, 1382.0, 46.5], 8sHBXlwpGD, 5721121]
[paragraph, [192.0, 2004.5, 1382.0, 46.5], 8sHBXlwpGD, 5721121]
[paragraph, [192.0, 2051.0, 1382.0, 46.5], 8sHBXlwpGD, 5721121]
[paragraph, [192.0, 2097.5, 1382.0, 46.5], 8sHBXlwpGD, 5721121]
[paragraph, [192.0, 2144.0, 1382.0, 46.5], 8sHBXlwpGD, 5721121]
[paragraph, [192.0, 2190.5, 1382.0, 46.5], 8sHBXlwpGD, 5721121]
[paragraph, [192.0, 2237.0, 1382.0, 46.5], 8sHBXlwpGD, 5721121]
[paragraph, [192.0, 2283.5, 1382.0, 46.5], 8sHBXlwpGD, 5721121]
[paragraph, [192.0, 2330.0, 1382.0, 46.5], 8sHBXlwpGD, 5721121]
[paragraph, [192.0, 2376.5, 1382.0, 46.5], 8sHBXlwpGD, 5721121]
[paragraph, [192.0, 2423.0, 1382.0, 46.5], 8sHBXlwpGD, 5721121]
