[579, 396]
[paragraph, [109.0, 94.0, 141.0, 18.0], BbJovGK_Ab, 6496514]
[paragraph, [109.0, 112.0, 141.0, 18.0], BbJovGK_Ab, 6496514]
[paragraph, [109.0, 130.0, 141.0, 18.0], BbJovGK_Ab, 6496514]
[paragraph, [109.0, 148.0, 141.0, 18.0], BbJovGK_Ab, 6496514]
[paragraph, [105.0, 183.0, 198.0, 18.0], Fo7WM6gFw4, 6496514]
[paragraph, [105.0, 201.0, 198.0, 18.0], Fo7WM6gFw4, 6496514]
[paragraph, [105.0, 219.0, 198.0, 18.0], Fo7WM6gFw4, 6496514]
[paragraph, [105.0, 237.0, 198.0, 18.0], Fo7WM6gFw4, 6496514]
[paragraph, [105.0, 255.0, 198.0, 18.0], Fo7WM6gFw4, 6496514]
[paragraph, [105.0, 273.0, 198.0, 18.0], Fo7WM6gFw4, 6496514]
[paragraph, [105.0, 291.0, 198.0, 18.0], Fo7WM6gFw4, 6496514]
[paragraph, [107.0, 325.0, 142.0, 18.0], rfOWa6ZYEh, 6496514]
[paragraph, [107.0, 343.0, 142.0, 18.0], rfOWa6ZYEh, 6496514]
[paragraph, [103.0, 364.0, 184.0, 18.0], aq33JYL_7C, 6496514]
[paragraph, [103.0, 382.0, 184.0, 18.0], aq33JYL_7C, 6496514]
[paragraph, [103.0, 400.0, 184.0, 18.0], aq33JYL_7C, 6496514]
[paragraph, [103.0, 418.0, 184.0, 18.0], aq33JYL_7C, 6496514]
[paragraph, [99.0, 454.0, 183.0, 18.0], 03Ve5uWgrl, 6496514]
[paragraph, [99.0, 472.0, 183.0, 18.0], 03Ve5uWgrl, 6496514]
[paragraph, [99.0, 490.0, 183.0, 18.0], 03Ve5uWgrl, 6496514]
[folio, [181.0, 543.0, 111.0, 18.0], s0CQM1z7vC, 6496514]
