[2342, 1656]
[folio, [376.0, 49.0, 217.0, 36.0], qy3TFvm4fH, 5654284]
[section-title, [512.0, 181.0, 618.0, 52.5], odrDsCIGhJ, 5654284]
[sub-section-title, [432.0, 266.0, 260.0, 55.5], GJMzafm-zC, 5654284]
[sidebar, [1213.0, 270.0, 167.0, 36.0], shoonya_6sZ4RWFL28KWLO, 5654284]
[ordered-list, [43.0, 374.0, 1383.0, 36.0], xt6UP554I2, 5654284]
[ordered-list, [43.0, 410.0, 1383.0, 36.0], xt6UP554I2, 5654284]
[ordered-list, [43.0, 446.0, 1383.0, 36.0], xt6UP554I2, 5654284]
[ordered-list, [43.0, 482.0, 1383.0, 36.0], xt6UP554I2, 5654284]
[ordered-list, [43.0, 518.0, 1383.0, 36.0], xt6UP554I2, 5654284]
[ordered-list, [43.0, 554.0, 1383.0, 36.0], xt6UP554I2, 5654284]
[ordered-list, [43.0, 590.0, 1383.0, 36.0], xt6UP554I2, 5654284]
[ordered-list, [43.0, 626.0, 1383.0, 36.0], xt6UP554I2, 5654284]
[ordered-list, [43.0, 662.0, 1383.0, 36.0], xt6UP554I2, 5654284]
[ordered-list, [43.0, 698.0, 1383.0, 36.0], xt6UP554I2, 5654284]
[ordered-list, [43.0, 734.0, 1383.0, 36.0], xt6UP554I2, 5654284]
[ordered-list, [43.0, 770.0, 1383.0, 36.0], xt6UP554I2, 5654284]
[ordered-list, [26.0, 888.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 924.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 960.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 996.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 1032.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 1068.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 1104.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 1140.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 1176.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 1212.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 1248.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 1284.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 1320.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 1356.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 1392.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 1428.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 1464.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 1500.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 1536.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 1572.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 1608.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 1644.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 1680.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 1716.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 1752.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 1788.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 1824.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 1860.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 1896.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 1932.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 1968.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 2004.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 2040.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 2076.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 2112.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 2148.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 2184.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 2220.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
[ordered-list, [26.0, 2256.0, 1503.0, 36.0], QwtQDA0dW0, 5654284]
