[1754, 1241]
[section-title, [414.0, 597.0, 601.0, 49.5], shoonya_3s79LM8LNT4ZB4, 5766307]
[paragraph, [623.0, 706.0, 536.0, 36.0], shoonya_10sATCG2MFFKV0, 5766307]
[paragraph, [624.0, 799.0, 542.0, 36.0], shoonya_0sI0MMOMN9DQNE, 5766307]
[paragraph, [624.0, 835.0, 542.0, 36.0], shoonya_0sI0MMOMN9DQNE, 5766307]
[paragraph, [624.0, 871.0, 542.0, 36.0], shoonya_0sI0MMOMN9DQNE, 5766307]
[paragraph, [624.0, 907.0, 542.0, 36.0], shoonya_0sI0MMOMN9DQNE, 5766307]
[paragraph, [624.0, 943.0, 542.0, 36.0], shoonya_0sI0MMOMN9DQNE, 5766307]
[paragraph, [624.0, 979.0, 542.0, 36.0], shoonya_0sI0MMOMN9DQNE, 5766307]
[paragraph, [624.0, 1015.0, 542.0, 36.0], shoonya_0sI0MMOMN9DQNE, 5766307]
[paragraph, [624.0, 1051.0, 542.0, 36.0], shoonya_0sI0MMOMN9DQNE, 5766307]
[paragraph, [624.0, 1087.0, 542.0, 36.0], shoonya_0sI0MMOMN9DQNE, 5766307]
[paragraph, [624.0, 1123.0, 542.0, 36.0], shoonya_0sI0MMOMN9DQNE, 5766307]
[paragraph, [624.0, 1159.0, 542.0, 36.0], shoonya_0sI0MMOMN9DQNE, 5766307]
[paragraph, [67.0, 916.0, 534.0, 36.0], shoonya_2sSIBJIE91X8OR, 5766307]
[paragraph, [67.0, 952.0, 534.0, 36.0], shoonya_2sSIBJIE91X8OR, 5766307]
[paragraph, [67.0, 988.0, 534.0, 36.0], shoonya_2sSIBJIE91X8OR, 5766307]
[paragraph, [67.0, 1024.0, 534.0, 36.0], shoonya_2sSIBJIE91X8OR, 5766307]
[paragraph, [67.0, 1060.0, 534.0, 36.0], shoonya_2sSIBJIE91X8OR, 5766307]
[paragraph, [67.0, 1096.0, 534.0, 36.0], shoonya_2sSIBJIE91X8OR, 5766307]
[paragraph, [67.0, 1132.0, 534.0, 36.0], shoonya_2sSIBJIE91X8OR, 5766307]
[paragraph, [67.0, 1168.0, 534.0, 36.0], shoonya_2sSIBJIE91X8OR, 5766307]
[paragraph, [67.0, 1204.0, 534.0, 36.0], shoonya_2sSIBJIE91X8OR, 5766307]
[paragraph, [67.0, 1240.0, 534.0, 36.0], shoonya_2sSIBJIE91X8OR, 5766307]
[paragraph, [624.0, 1249.0, 519.0, 36.0], shoonya_6sCZN7SS9BMEW3, 5766307]
[paragraph, [624.0, 1285.0, 519.0, 36.0], shoonya_6sCZN7SS9BMEW3, 5766307]
[paragraph, [624.0, 1321.0, 519.0, 36.0], shoonya_6sCZN7SS9BMEW3, 5766307]
[paragraph, [624.0, 1357.0, 519.0, 36.0], shoonya_6sCZN7SS9BMEW3, 5766307]
[paragraph, [624.0, 1393.0, 519.0, 36.0], shoonya_6sCZN7SS9BMEW3, 5766307]
[paragraph, [624.0, 1429.0, 519.0, 36.0], shoonya_6sCZN7SS9BMEW3, 5766307]
[paragraph, [624.0, 1465.0, 519.0, 36.0], shoonya_6sCZN7SS9BMEW3, 5766307]
[paragraph, [624.0, 1501.0, 519.0, 36.0], shoonya_6sCZN7SS9BMEW3, 5766307]
[paragraph, [624.0, 1537.0, 519.0, 36.0], shoonya_6sCZN7SS9BMEW3, 5766307]
[paragraph, [624.0, 1573.0, 519.0, 36.0], shoonya_6sCZN7SS9BMEW3, 5766307]
[paragraph, [66.0, 1306.0, 524.0, 36.0], shoonya_1sY93848OQHSW6, 5766307]
[paragraph, [66.0, 1342.0, 524.0, 36.0], shoonya_1sY93848OQHSW6, 5766307]
[paragraph, [66.0, 1378.0, 524.0, 36.0], shoonya_1sY93848OQHSW6, 5766307]
[paragraph, [66.0, 1414.0, 524.0, 36.0], shoonya_1sY93848OQHSW6, 5766307]
[paragraph, [66.0, 1450.0, 524.0, 36.0], shoonya_1sY93848OQHSW6, 5766307]
[paragraph, [66.0, 1486.0, 524.0, 36.0], shoonya_1sY93848OQHSW6, 5766307]
[paragraph, [66.0, 1522.0, 524.0, 36.0], shoonya_1sY93848OQHSW6, 5766307]
[paragraph, [66.0, 1558.0, 524.0, 36.0], shoonya_1sY93848OQHSW6, 5766307]
[paragraph, [66.0, 1594.0, 524.0, 36.0], shoonya_1sY93848OQHSW6, 5766307]
