[984, 583]
[section-title, [44.0, 101.0, 121.0, 30.0], aR4EZ-xXqq, 5756528]
[answer, [50.0, 148.0, 463.0, 18.0], 2B7NUobmdx, 5756528]
[answer, [50.0, 166.0, 463.0, 18.0], 2B7NUobmdx, 5756528]
[answer, [46.0, 210.0, 471.0, 18.0], NOrVcSZuUr, 5756528]
[answer, [46.0, 228.0, 471.0, 18.0], NOrVcSZuUr, 5756528]
[answer, [46.0, 246.0, 471.0, 18.0], NOrVcSZuUr, 5756528]
[answer, [45.0, 268.0, 468.0, 18.0], sSArBTXL95, 5756528]
[answer, [45.0, 286.0, 468.0, 18.0], sSArBTXL95, 5756528]
[answer, [51.0, 331.0, 465.0, 18.0], xNc8AlCv9S, 5756528]
[answer, [51.0, 349.0, 465.0, 18.0], xNc8AlCv9S, 5756528]
[answer, [51.0, 367.0, 465.0, 18.0], xNc8AlCv9S, 5756528]
[answer, [50.0, 392.0, 467.0, 18.0], 1rsoaPvjvT, 5756528]
[answer, [50.0, 410.0, 467.0, 18.0], 1rsoaPvjvT, 5756528]
[answer, [50.0, 428.0, 467.0, 18.0], 1rsoaPvjvT, 5756528]
[answer, [49.0, 454.0, 473.0, 18.0], sWEXY_TFUw, 5756528]
[answer, [49.0, 472.0, 473.0, 18.0], sWEXY_TFUw, 5756528]
[answer, [49.0, 490.0, 473.0, 18.0], sWEXY_TFUw, 5756528]
[answer, [49.0, 508.0, 473.0, 18.0], sWEXY_TFUw, 5756528]
[answer, [54.0, 537.0, 467.0, 18.0], YfxUu-vMfn, 5756528]
[answer, [54.0, 555.0, 467.0, 18.0], YfxUu-vMfn, 5756528]
[answer, [56.0, 605.0, 467.0, 18.0], dy8HJQQmLb, 5756528]
[answer, [56.0, 623.0, 467.0, 18.0], dy8HJQQmLb, 5756528]
[answer, [56.0, 641.0, 467.0, 18.0], dy8HJQQmLb, 5756528]
[answer, [56.0, 659.0, 467.0, 18.0], dy8HJQQmLb, 5756528]
[answer, [56.0, 677.0, 467.0, 18.0], dy8HJQQmLb, 5756528]
[answer, [62.0, 702.0, 468.0, 18.0], shoonya_0sA7TVIKAVJ0ND, 5756528]
[answer, [62.0, 720.0, 468.0, 18.0], shoonya_0sA7TVIKAVJ0ND, 5756528]
