[2339, 1653]
[folio, [239.0, 330.0, 301.0, 36.0], qLb9zN7ddH, 5735529]
[folio, [1267.0, 332.0, 144.0, 36.0], pyLmcDi8Yd, 5735529]
[chapter-title, [231.0, 392.0, 1182.0, 70.5], 77UkuZaJVj, 5735529]
[paragraph, [837.0, 665.0, 579.0, 36.0], shoonya_1s9YT1P8CX5K51, 5735529]
[paragraph, [837.0, 701.0, 579.0, 36.0], shoonya_1s9YT1P8CX5K51, 5735529]
[paragraph, [837.0, 737.0, 579.0, 36.0], shoonya_1s9YT1P8CX5K51, 5735529]
[paragraph, [837.0, 773.0, 579.0, 36.0], shoonya_1s9YT1P8CX5K51, 5735529]
[paragraph, [837.0, 809.0, 579.0, 36.0], shoonya_1s9YT1P8CX5K51, 5735529]
[paragraph, [837.0, 845.0, 579.0, 36.0], shoonya_1s9YT1P8CX5K51, 5735529]
[paragraph, [837.0, 881.0, 579.0, 36.0], shoonya_1s9YT1P8CX5K51, 5735529]
[paragraph, [837.0, 917.0, 579.0, 36.0], shoonya_1s9YT1P8CX5K51, 5735529]
[paragraph, [485.0, 802.0, 332.0, 36.0], shoonya_12sLQDMUIJVUVJ, 5735529]
[paragraph, [485.0, 838.0, 332.0, 36.0], shoonya_12sLQDMUIJVUVJ, 5735529]
[paragraph, [485.0, 874.0, 332.0, 36.0], shoonya_12sLQDMUIJVUVJ, 5735529]
[paragraph, [485.0, 910.0, 332.0, 36.0], shoonya_12sLQDMUIJVUVJ, 5735529]
[paragraph, [485.0, 946.0, 332.0, 36.0], shoonya_12sLQDMUIJVUVJ, 5735529]
[paragraph, [485.0, 982.0, 332.0, 36.0], shoonya_12sLQDMUIJVUVJ, 5735529]
[paragraph, [485.0, 1018.0, 332.0, 36.0], shoonya_12sLQDMUIJVUVJ, 5735529]
[paragraph, [485.0, 1054.0, 332.0, 36.0], shoonya_12sLQDMUIJVUVJ, 5735529]
[paragraph, [485.0, 1090.0, 332.0, 36.0], shoonya_12sLQDMUIJVUVJ, 5735529]
[sidebar, [63.0, 829.0, 131.0, 36.0], shoonya_11s6P0BO5R8X9U, 5735529]
[paragraph, [836.0, 975.0, 578.0, 36.0], shoonya_0sEFCPEQER9S9W, 5735529]
[paragraph, [836.0, 1011.0, 578.0, 36.0], shoonya_0sEFCPEQER9S9W, 5735529]
[paragraph, [836.0, 1047.0, 578.0, 36.0], shoonya_0sEFCPEQER9S9W, 5735529]
[paragraph, [836.0, 1083.0, 578.0, 36.0], shoonya_0sEFCPEQER9S9W, 5735529]
[paragraph, [836.0, 1119.0, 578.0, 36.0], shoonya_0sEFCPEQER9S9W, 5735529]
[paragraph, [836.0, 1155.0, 578.0, 36.0], shoonya_0sEFCPEQER9S9W, 5735529]
[paragraph, [836.0, 1191.0, 578.0, 36.0], shoonya_0sEFCPEQER9S9W, 5735529]
[paragraph, [836.0, 1227.0, 578.0, 36.0], shoonya_0sEFCPEQER9S9W, 5735529]
[paragraph, [836.0, 1263.0, 578.0, 36.0], shoonya_0sEFCPEQER9S9W, 5735529]
[paragraph, [836.0, 1299.0, 578.0, 36.0], shoonya_0sEFCPEQER9S9W, 5735529]
[paragraph, [836.0, 1335.0, 578.0, 36.0], shoonya_0sEFCPEQER9S9W, 5735529]
[paragraph, [836.0, 1371.0, 578.0, 36.0], shoonya_0sEFCPEQER9S9W, 5735529]
[paragraph, [240.0, 1156.0, 576.0, 36.0], shoonya_6sLLDNL9FMZ80X, 5735529]
[paragraph, [240.0, 1192.0, 576.0, 36.0], shoonya_6sLLDNL9FMZ80X, 5735529]
[paragraph, [240.0, 1228.0, 576.0, 36.0], shoonya_6sLLDNL9FMZ80X, 5735529]
[paragraph, [240.0, 1264.0, 576.0, 36.0], shoonya_6sLLDNL9FMZ80X, 5735529]
[paragraph, [240.0, 1300.0, 576.0, 36.0], shoonya_6sLLDNL9FMZ80X, 5735529]
[paragraph, [240.0, 1336.0, 576.0, 36.0], shoonya_6sLLDNL9FMZ80X, 5735529]
[paragraph, [237.0, 1377.0, 581.0, 36.0], shoonya_4sUF9FSYR7X7R0, 5735529]
[paragraph, [237.0, 1413.0, 581.0, 36.0], shoonya_4sUF9FSYR7X7R0, 5735529]
[paragraph, [237.0, 1449.0, 581.0, 36.0], shoonya_4sUF9FSYR7X7R0, 5735529]
[paragraph, [237.0, 1485.0, 581.0, 36.0], shoonya_4sUF9FSYR7X7R0, 5735529]
[paragraph, [237.0, 1521.0, 581.0, 36.0], shoonya_4sUF9FSYR7X7R0, 5735529]
[paragraph, [237.0, 1557.0, 581.0, 36.0], shoonya_4sUF9FSYR7X7R0, 5735529]
[paragraph, [836.0, 1422.0, 579.0, 36.0], shoonya_2s9EBEOPFAEGFD, 5735529]
