[1336, 843]
[paragraph, [31.0, 29.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 47.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 65.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 83.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 101.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 119.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 137.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 155.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 173.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 191.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 209.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 227.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 245.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 263.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 281.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 299.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 317.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 335.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 353.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 371.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 389.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 407.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 425.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 443.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 461.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 479.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 497.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 515.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 533.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 551.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 569.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 587.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 605.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 623.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 641.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 659.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 677.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 695.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 713.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 731.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 749.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 767.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 785.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 803.0, 781.0, 18.0], OJvtnZuaIb, 5660281]
[paragraph, [31.0, 836.0, 784.0, 18.0], NCSbKwL_LL, 5660281]
[paragraph, [31.0, 854.0, 784.0, 18.0], NCSbKwL_LL, 5660281]
[paragraph, [31.0, 872.0, 784.0, 18.0], NCSbKwL_LL, 5660281]
[paragraph, [31.0, 890.0, 784.0, 18.0], NCSbKwL_LL, 5660281]
[paragraph, [31.0, 908.0, 784.0, 18.0], NCSbKwL_LL, 5660281]
[paragraph, [75.0, 942.0, 677.0, 18.0], braQEqXTzB, 5660281]
[paragraph, [75.0, 960.0, 677.0, 18.0], braQEqXTzB, 5660281]
[paragraph, [75.0, 978.0, 677.0, 18.0], braQEqXTzB, 5660281]
[paragraph, [75.0, 996.0, 677.0, 18.0], braQEqXTzB, 5660281]
[paragraph, [75.0, 1014.0, 677.0, 18.0], braQEqXTzB, 5660281]
[paragraph, [75.0, 1032.0, 677.0, 18.0], braQEqXTzB, 5660281]
[paragraph, [75.0, 1050.0, 677.0, 18.0], braQEqXTzB, 5660281]
[paragraph, [75.0, 1068.0, 677.0, 18.0], braQEqXTzB, 5660281]
[paragraph, [75.0, 1086.0, 677.0, 18.0], braQEqXTzB, 5660281]
[paragraph, [75.0, 1104.0, 677.0, 18.0], braQEqXTzB, 5660281]
[paragraph, [75.0, 1122.0, 677.0, 18.0], braQEqXTzB, 5660281]
[paragraph, [75.0, 1140.0, 677.0, 18.0], braQEqXTzB, 5660281]
[sidebar, [665.0, 1166.0, 146.0, 18.0], QbN_WAOKlC, 5660281]
[folio, [553.0, 1215.0, 252.0, 18.0], 3MuyNuVPe3, 5660281]
[folio, [46.0, 1221.0, 70.0, 18.0], shoonya_0sKH8ZSXDFM7MB, 5660281]
[footnote, [4.0, 1253.0, 833.0, 18.0], shoonya_1sKOKACTEA8UIR, 5660281]
[footnote, [4.0, 1271.0, 833.0, 18.0], shoonya_1sKOKACTEA8UIR, 5660281]
[footnote, [4.0, 1289.0, 833.0, 18.0], shoonya_1sKOKACTEA8UIR, 5660281]
[website-link, [478.0, 1293.0, 235.0, 18.0], GIpM1SCVEQ, 5660281]
[website-link, [153.0, 1297.0, 230.0, 18.0], 32V2y5F3e-, 5660281]
