[1050, 693]
[folio, [82.0, 78.0, 86.0, 18.0], shoonya_2s0K1SKK32EE3L, 5701778]
[folio, [82.0, 96.0, 86.0, 18.0], shoonya_2s0K1SKK32EE3L, 5701778]
[paragraph, [78.0, 128.0, 530.0, 18.0], shoonya_0sOYYCIWD58DZB, 5701778]
[paragraph, [78.0, 146.0, 530.0, 18.0], shoonya_0sOYYCIWD58DZB, 5701778]
[paragraph, [78.0, 164.0, 530.0, 18.0], shoonya_0sOYYCIWD58DZB, 5701778]
[paragraph, [78.0, 182.0, 530.0, 18.0], shoonya_0sOYYCIWD58DZB, 5701778]
[paragraph, [78.0, 200.0, 530.0, 18.0], shoonya_0sOYYCIWD58DZB, 5701778]
[paragraph, [78.0, 218.0, 530.0, 18.0], shoonya_0sOYYCIWD58DZB, 5701778]
[paragraph, [78.0, 236.0, 530.0, 18.0], shoonya_0sOYYCIWD58DZB, 5701778]
[paragraph, [78.0, 254.0, 530.0, 18.0], shoonya_0sOYYCIWD58DZB, 5701778]
[paragraph, [78.0, 272.0, 530.0, 18.0], shoonya_0sOYYCIWD58DZB, 5701778]
[paragraph, [78.0, 290.0, 530.0, 18.0], shoonya_0sOYYCIWD58DZB, 5701778]
[paragraph, [78.0, 308.0, 530.0, 18.0], shoonya_0sOYYCIWD58DZB, 5701778]
[paragraph, [78.0, 326.0, 530.0, 18.0], shoonya_0sOYYCIWD58DZB, 5701778]
[paragraph, [78.0, 344.0, 530.0, 18.0], shoonya_0sOYYCIWD58DZB, 5701778]
[paragraph, [78.0, 362.0, 530.0, 18.0], shoonya_0sOYYCIWD58DZB, 5701778]
[paragraph, [78.0, 380.0, 530.0, 18.0], shoonya_0sOYYCIWD58DZB, 5701778]
[paragraph, [78.0, 398.0, 530.0, 18.0], shoonya_0sOYYCIWD58DZB, 5701778]
[paragraph, [78.0, 416.0, 530.0, 18.0], shoonya_0sOYYCIWD58DZB, 5701778]
[paragraph, [78.0, 434.0, 530.0, 18.0], shoonya_0sOYYCIWD58DZB, 5701778]
[paragraph, [78.0, 452.0, 530.0, 18.0], shoonya_0sOYYCIWD58DZB, 5701778]
[paragraph, [81.0, 498.0, 528.0, 18.0], shoonya_1sN5ZP0FFIAQV9, 5701778]
[paragraph, [81.0, 516.0, 528.0, 18.0], shoonya_1sN5ZP0FFIAQV9, 5701778]
[paragraph, [81.0, 534.0, 528.0, 18.0], shoonya_1sN5ZP0FFIAQV9, 5701778]
[paragraph, [81.0, 552.0, 528.0, 18.0], shoonya_1sN5ZP0FFIAQV9, 5701778]
[paragraph, [81.0, 570.0, 528.0, 18.0], shoonya_1sN5ZP0FFIAQV9, 5701778]
[paragraph, [81.0, 588.0, 528.0, 18.0], shoonya_1sN5ZP0FFIAQV9, 5701778]
[paragraph, [81.0, 606.0, 528.0, 18.0], shoonya_1sN5ZP0FFIAQV9, 5701778]
[paragraph, [81.0, 624.0, 528.0, 18.0], shoonya_1sN5ZP0FFIAQV9, 5701778]
[paragraph, [81.0, 642.0, 528.0, 18.0], shoonya_1sN5ZP0FFIAQV9, 5701778]
[paragraph, [81.0, 660.0, 528.0, 18.0], shoonya_1sN5ZP0FFIAQV9, 5701778]
[paragraph, [81.0, 678.0, 528.0, 18.0], shoonya_1sN5ZP0FFIAQV9, 5701778]
[paragraph, [81.0, 696.0, 528.0, 18.0], shoonya_1sN5ZP0FFIAQV9, 5701778]
[paragraph, [81.0, 714.0, 528.0, 18.0], shoonya_1sN5ZP0FFIAQV9, 5701778]
[paragraph, [81.0, 732.0, 528.0, 18.0], shoonya_1sN5ZP0FFIAQV9, 5701778]
[paragraph, [81.0, 750.0, 528.0, 18.0], shoonya_1sN5ZP0FFIAQV9, 5701778]
[paragraph, [81.0, 768.0, 528.0, 18.0], shoonya_1sN5ZP0FFIAQV9, 5701778]
[paragraph, [81.0, 786.0, 528.0, 18.0], shoonya_1sN5ZP0FFIAQV9, 5701778]
[paragraph, [81.0, 804.0, 528.0, 18.0], shoonya_1sN5ZP0FFIAQV9, 5701778]
[paragraph, [81.0, 822.0, 528.0, 18.0], shoonya_1sN5ZP0FFIAQV9, 5701778]
[paragraph, [81.0, 840.0, 528.0, 18.0], shoonya_1sN5ZP0FFIAQV9, 5701778]
[paragraph, [81.0, 858.0, 528.0, 18.0], shoonya_1sN5ZP0FFIAQV9, 5701778]
[paragraph, [81.0, 876.0, 528.0, 18.0], shoonya_1sN5ZP0FFIAQV9, 5701778]
[paragraph, [81.0, 894.0, 528.0, 18.0], shoonya_1sN5ZP0FFIAQV9, 5701778]
[paragraph, [81.0, 912.0, 528.0, 18.0], shoonya_1sN5ZP0FFIAQV9, 5701778]
[paragraph, [81.0, 930.0, 528.0, 18.0], shoonya_1sN5ZP0FFIAQV9, 5701778]
[paragraph, [81.0, 948.0, 528.0, 18.0], shoonya_1sN5ZP0FFIAQV9, 5701778]
