[1744, 1332]
[headline, [161.0, 815.0, 961.0, 37.5], shoonya_6s1YO7YN9INJEB, 5771661]
[headline, [161.0, 852.5, 961.0, 37.5], shoonya_6s1YO7YN9INJEB, 5771661]
[paragraph, [111.0, 902.0, 552.0, 36.0], vcw8J8Kp3-, 5771661]
[paragraph, [111.0, 938.0, 552.0, 36.0], vcw8J8Kp3-, 5771661]
[paragraph, [111.0, 974.0, 552.0, 36.0], vcw8J8Kp3-, 5771661]
[paragraph, [111.0, 1010.0, 552.0, 36.0], vcw8J8Kp3-, 5771661]
[paragraph, [111.0, 1046.0, 552.0, 36.0], vcw8J8Kp3-, 5771661]
[paragraph, [111.0, 1082.0, 552.0, 36.0], vcw8J8Kp3-, 5771661]
[paragraph, [111.0, 1118.0, 552.0, 36.0], vcw8J8Kp3-, 5771661]
[paragraph, [111.0, 1154.0, 552.0, 36.0], vcw8J8Kp3-, 5771661]
[paragraph, [111.0, 1190.0, 552.0, 36.0], vcw8J8Kp3-, 5771661]
[paragraph, [111.0, 1226.0, 552.0, 36.0], vcw8J8Kp3-, 5771661]
[paragraph, [111.0, 1262.0, 552.0, 36.0], vcw8J8Kp3-, 5771661]
[paragraph, [669.0, 908.0, 533.0, 36.0], shoonya_5sV5235CZBE6A3, 5771661]
[paragraph, [669.0, 944.0, 533.0, 36.0], shoonya_5sV5235CZBE6A3, 5771661]
[paragraph, [669.0, 980.0, 533.0, 36.0], shoonya_5sV5235CZBE6A3, 5771661]
[paragraph, [668.0, 1046.0, 534.0, 36.0], shoonya_2s04Y6KGERPJLE, 5771661]
[paragraph, [668.0, 1082.0, 534.0, 36.0], shoonya_2s04Y6KGERPJLE, 5771661]
[paragraph, [668.0, 1118.0, 534.0, 36.0], shoonya_2s04Y6KGERPJLE, 5771661]
[paragraph, [670.0, 1182.0, 531.0, 36.0], shoonya_0sISUF2MBJPVOR, 5771661]
[paragraph, [670.0, 1218.0, 531.0, 36.0], shoonya_0sISUF2MBJPVOR, 5771661]
[paragraph, [670.0, 1254.0, 531.0, 36.0], shoonya_0sISUF2MBJPVOR, 5771661]
[paragraph, [670.0, 1290.0, 531.0, 36.0], shoonya_0sISUF2MBJPVOR, 5771661]
[paragraph, [670.0, 1326.0, 531.0, 36.0], shoonya_0sISUF2MBJPVOR, 5771661]
[paragraph, [670.0, 1362.0, 531.0, 36.0], shoonya_0sISUF2MBJPVOR, 5771661]
[paragraph, [670.0, 1398.0, 531.0, 36.0], shoonya_0sISUF2MBJPVOR, 5771661]
[paragraph, [670.0, 1434.0, 531.0, 36.0], shoonya_0sISUF2MBJPVOR, 5771661]
[paragraph, [670.0, 1470.0, 531.0, 36.0], shoonya_0sISUF2MBJPVOR, 5771661]
[paragraph, [670.0, 1506.0, 531.0, 36.0], shoonya_0sISUF2MBJPVOR, 5771661]
[paragraph, [129.0, 1310.0, 528.0, 36.0], shoonya_1sIT9GBBXPMTQZ, 5771661]
[paragraph, [129.0, 1346.0, 528.0, 36.0], shoonya_1sIT9GBBXPMTQZ, 5771661]
[paragraph, [129.0, 1382.0, 528.0, 36.0], shoonya_1sIT9GBBXPMTQZ, 5771661]
[paragraph, [129.0, 1418.0, 528.0, 36.0], shoonya_1sIT9GBBXPMTQZ, 5771661]
[paragraph, [129.0, 1454.0, 528.0, 36.0], shoonya_1sIT9GBBXPMTQZ, 5771661]
[paragraph, [129.0, 1490.0, 528.0, 36.0], shoonya_1sIT9GBBXPMTQZ, 5771661]
[paragraph, [129.0, 1526.0, 528.0, 36.0], shoonya_1sIT9GBBXPMTQZ, 5771661]
[folio, [582.0, 1585.0, 156.0, 36.0], zN2U3qwtIR, 5771661]
[folio, [74.0, 1682.0, 339.0, 36.0], shoonya_4sGKUGJJJB9G3R, 5771661]
