[698, 464]
[section-title, [89.0, 79.0, 285.0, 30.0], vgGp2bXOJx, 5706794]
[paragraph, [10.0, 153.0, 447.0, 18.0], ctPiZyP7f7, 5706794]
[paragraph, [10.0, 171.0, 447.0, 18.0], ctPiZyP7f7, 5706794]
[paragraph, [5.0, 208.0, 447.0, 18.0], shoonya_0s5F5LK17LH8SX, 5706794]
[paragraph, [5.0, 226.0, 447.0, 18.0], shoonya_0s5F5LK17LH8SX, 5706794]
[paragraph, [5.0, 244.0, 447.0, 18.0], shoonya_0s5F5LK17LH8SX, 5706794]
[paragraph, [5.0, 262.0, 447.0, 18.0], shoonya_0s5F5LK17LH8SX, 5706794]
[paragraph, [5.0, 280.0, 447.0, 18.0], shoonya_0s5F5LK17LH8SX, 5706794]
[paragraph, [5.0, 298.0, 447.0, 18.0], shoonya_0s5F5LK17LH8SX, 5706794]
[paragraph, [6.0, 341.0, 445.0, 18.0], shoonya_1s2ZNL1F8Q81L1, 5706794]
[paragraph, [6.0, 359.0, 445.0, 18.0], shoonya_1s2ZNL1F8Q81L1, 5706794]
[paragraph, [6.0, 377.0, 445.0, 18.0], shoonya_1s2ZNL1F8Q81L1, 5706794]
[paragraph, [4.0, 410.0, 449.0, 18.0], shoonya_2s8OMB8NB0ZDMM, 5706794]
[paragraph, [4.0, 428.0, 449.0, 18.0], shoonya_2s8OMB8NB0ZDMM, 5706794]
[paragraph, [4.0, 446.0, 449.0, 18.0], shoonya_2s8OMB8NB0ZDMM, 5706794]
[paragraph, [4.0, 464.0, 449.0, 18.0], shoonya_2s8OMB8NB0ZDMM, 5706794]
[paragraph, [4.0, 482.0, 449.0, 18.0], shoonya_2s8OMB8NB0ZDMM, 5706794]
[contact-info, [288.0, 523.0, 167.0, 18.0], EV5axlF0k-, 5706794]
[contact-info, [288.0, 541.0, 167.0, 18.0], EV5axlF0k-, 5706794]
[contact-info, [288.0, 559.0, 167.0, 18.0], EV5axlF0k-, 5706794]
[contact-info, [288.0, 577.0, 167.0, 18.0], EV5axlF0k-, 5706794]
[contact-info, [288.0, 595.0, 167.0, 18.0], EV5axlF0k-, 5706794]
[contact-info, [288.0, 613.0, 167.0, 18.0], EV5axlF0k-, 5706794]
