[2717, 1772]
[folio, [629.0, 228.0, 530.0, 46.5], shoonya_1sMFP5XV5AK9PF, 5721056]
[paragraph, [212.0, 334.0, 1342.0, 46.5], v_PUF-GCKn, 5721056]
[paragraph, [212.0, 380.5, 1342.0, 46.5], v_PUF-GCKn, 5721056]
[paragraph, [212.0, 427.0, 1342.0, 46.5], v_PUF-GCKn, 5721056]
[paragraph, [212.0, 473.5, 1342.0, 46.5], v_PUF-GCKn, 5721056]
[paragraph, [212.0, 520.0, 1342.0, 46.5], v_PUF-GCKn, 5721056]
[paragraph, [212.0, 566.5, 1342.0, 46.5], v_PUF-GCKn, 5721056]
[paragraph, [212.0, 613.0, 1342.0, 46.5], v_PUF-GCKn, 5721056]
[paragraph, [214.0, 666.0, 1342.0, 46.5], sVW3XZQPzn, 5721056]
[paragraph, [214.0, 712.5, 1342.0, 46.5], sVW3XZQPzn, 5721056]
[paragraph, [214.0, 759.0, 1342.0, 46.5], sVW3XZQPzn, 5721056]
[paragraph, [214.0, 805.5, 1342.0, 46.5], sVW3XZQPzn, 5721056]
[paragraph, [214.0, 852.0, 1342.0, 46.5], sVW3XZQPzn, 5721056]
[paragraph, [214.0, 898.5, 1342.0, 46.5], sVW3XZQPzn, 5721056]
[paragraph, [214.0, 945.0, 1342.0, 46.5], sVW3XZQPzn, 5721056]
[paragraph, [214.0, 991.5, 1342.0, 46.5], sVW3XZQPzn, 5721056]
[paragraph, [330.0, 1120.0, 1171.0, 46.5], 73jSr83G2m, 5721056]
[paragraph, [223.0, 1193.0, 1331.0, 46.5], W1amYiehSb, 5721056]
[paragraph, [223.0, 1239.5, 1331.0, 46.5], W1amYiehSb, 5721056]
[paragraph, [221.0, 1326.0, 1333.0, 46.5], EUFAzHvxGL, 5721056]
[paragraph, [221.0, 1372.5, 1333.0, 46.5], EUFAzHvxGL, 5721056]
[paragraph, [219.0, 1472.0, 1340.0, 46.5], WY_DkqQQgK, 5721056]
[paragraph, [219.0, 1518.5, 1340.0, 46.5], WY_DkqQQgK, 5721056]
[paragraph, [219.0, 1565.0, 1340.0, 46.5], WY_DkqQQgK, 5721056]
[paragraph, [219.0, 1611.5, 1340.0, 46.5], WY_DkqQQgK, 5721056]
[paragraph, [217.0, 1671.0, 1342.0, 46.5], 0bnqaagUKL, 5721056]
[paragraph, [217.0, 1717.5, 1342.0, 46.5], 0bnqaagUKL, 5721056]
[paragraph, [217.0, 1764.0, 1342.0, 46.5], 0bnqaagUKL, 5721056]
[paragraph, [217.0, 1810.5, 1342.0, 46.5], 0bnqaagUKL, 5721056]
[paragraph, [217.0, 1873.0, 1342.0, 46.5], gqhnKOrSFI, 5721056]
[paragraph, [217.0, 1919.5, 1342.0, 46.5], gqhnKOrSFI, 5721056]
[paragraph, [217.0, 1966.0, 1342.0, 46.5], gqhnKOrSFI, 5721056]
[paragraph, [219.0, 2092.0, 1337.0, 46.5], vyZAv6JDux, 5721056]
[paragraph, [219.0, 2138.5, 1337.0, 46.5], vyZAv6JDux, 5721056]
[paragraph, [219.0, 2185.0, 1337.0, 46.5], vyZAv6JDux, 5721056]
[paragraph, [219.0, 2231.5, 1337.0, 46.5], vyZAv6JDux, 5721056]
[paragraph, [219.0, 2278.0, 1337.0, 46.5], vyZAv6JDux, 5721056]
[paragraph, [219.0, 2324.5, 1337.0, 46.5], vyZAv6JDux, 5721056]
[paragraph, [219.0, 2371.0, 1337.0, 46.5], vyZAv6JDux, 5721056]
[paragraph, [219.0, 2417.5, 1337.0, 46.5], vyZAv6JDux, 5721056]
