[842, 596]
[section-title, [48.0, 48.0, 258.0, 30.0], lSZXz_iOix, 5705247]
[paragraph, [52.0, 79.0, 493.0, 18.0], shoonya_1sMRR8I7OJAVDL, 5705247]
[paragraph, [52.0, 97.0, 493.0, 18.0], shoonya_1sMRR8I7OJAVDL, 5705247]
[paragraph, [52.0, 115.0, 493.0, 18.0], shoonya_1sMRR8I7OJAVDL, 5705247]
[paragraph, [52.0, 133.0, 493.0, 18.0], shoonya_1sMRR8I7OJAVDL, 5705247]
[paragraph, [52.0, 151.0, 493.0, 18.0], shoonya_1sMRR8I7OJAVDL, 5705247]
[paragraph, [52.0, 169.0, 493.0, 18.0], shoonya_1sMRR8I7OJAVDL, 5705247]
[paragraph, [52.0, 187.0, 493.0, 18.0], shoonya_1sMRR8I7OJAVDL, 5705247]
[paragraph, [53.0, 217.0, 460.0, 18.0], shoonya_2sHSGGLAFJ6GTY, 5705247]
[paragraph, [53.0, 235.0, 460.0, 18.0], shoonya_2sHSGGLAFJ6GTY, 5705247]
[paragraph, [53.0, 294.0, 486.0, 18.0], shoonya_3sOL79BGIJDFT3, 5705247]
[paragraph, [53.0, 312.0, 486.0, 18.0], shoonya_3sOL79BGIJDFT3, 5705247]
[paragraph, [53.0, 330.0, 486.0, 18.0], shoonya_3sOL79BGIJDFT3, 5705247]
[paragraph, [53.0, 366.0, 478.0, 18.0], shoonya_10sT0N93O7J764, 5705247]
[paragraph, [53.0, 384.0, 478.0, 18.0], shoonya_10sT0N93O7J764, 5705247]
[paragraph, [53.0, 402.0, 478.0, 18.0], shoonya_10sT0N93O7J764, 5705247]
[paragraph, [53.0, 420.0, 478.0, 18.0], shoonya_10sT0N93O7J764, 5705247]
[paragraph, [53.0, 438.0, 478.0, 18.0], shoonya_10sT0N93O7J764, 5705247]
[paragraph, [53.0, 456.0, 478.0, 18.0], shoonya_10sT0N93O7J764, 5705247]
[paragraph, [53.0, 474.0, 478.0, 18.0], shoonya_10sT0N93O7J764, 5705247]
[paragraph, [53.0, 504.0, 481.0, 18.0], shoonya_6s4YJJ6KFKE419, 5705247]
[paragraph, [53.0, 522.0, 481.0, 18.0], shoonya_6s4YJJ6KFKE419, 5705247]
[paragraph, [52.0, 589.0, 475.0, 18.0], shoonya_0sSZX2YRLI9HO9, 5705247]
[paragraph, [52.0, 607.0, 475.0, 18.0], shoonya_0sSZX2YRLI9HO9, 5705247]
[paragraph, [52.0, 625.0, 475.0, 18.0], shoonya_0sSZX2YRLI9HO9, 5705247]
[paragraph, [52.0, 643.0, 475.0, 18.0], shoonya_0sSZX2YRLI9HO9, 5705247]
[paragraph, [52.0, 661.0, 475.0, 18.0], shoonya_0sSZX2YRLI9HO9, 5705247]
[paragraph, [52.0, 679.0, 475.0, 18.0], shoonya_0sSZX2YRLI9HO9, 5705247]
[paragraph, [52.0, 697.0, 475.0, 18.0], shoonya_0sSZX2YRLI9HO9, 5705247]
