[2484, 1767]
[paragraph, [338.0, 364.0, 579.0, 36.0], yHjG8gKy0e, 5753306]
[paragraph, [338.0, 400.0, 579.0, 36.0], yHjG8gKy0e, 5753306]
[section-title, [364.0, 464.0, 824.0, 52.5], HfCjq0AiPe, 5753306]
[paragraph, [355.0, 568.0, 1202.0, 36.0], shoonya_0sA0C1IOCPXIRI, 5753306]
[paragraph, [355.0, 604.0, 1202.0, 36.0], shoonya_0sA0C1IOCPXIRI, 5753306]
[paragraph, [355.0, 640.0, 1202.0, 36.0], shoonya_0sA0C1IOCPXIRI, 5753306]
[paragraph, [355.0, 676.0, 1202.0, 36.0], shoonya_0sA0C1IOCPXIRI, 5753306]
[paragraph, [355.0, 712.0, 1202.0, 36.0], shoonya_0sA0C1IOCPXIRI, 5753306]
[paragraph, [355.0, 748.0, 1202.0, 36.0], shoonya_0sA0C1IOCPXIRI, 5753306]
[paragraph, [355.0, 784.0, 1202.0, 36.0], shoonya_0sA0C1IOCPXIRI, 5753306]
[paragraph, [355.0, 820.0, 1202.0, 36.0], shoonya_0sA0C1IOCPXIRI, 5753306]
[paragraph, [355.0, 856.0, 1202.0, 36.0], shoonya_0sA0C1IOCPXIRI, 5753306]
[paragraph, [355.0, 892.0, 1202.0, 36.0], shoonya_0sA0C1IOCPXIRI, 5753306]
[paragraph, [355.0, 928.0, 1202.0, 36.0], shoonya_0sA0C1IOCPXIRI, 5753306]
[paragraph, [355.0, 964.0, 1202.0, 36.0], shoonya_0sA0C1IOCPXIRI, 5753306]
[paragraph, [355.0, 1000.0, 1202.0, 36.0], shoonya_0sA0C1IOCPXIRI, 5753306]
[paragraph, [355.0, 1036.0, 1202.0, 36.0], shoonya_0sA0C1IOCPXIRI, 5753306]
[paragraph, [355.0, 1072.0, 1202.0, 36.0], shoonya_0sA0C1IOCPXIRI, 5753306]
[paragraph, [355.0, 1108.0, 1202.0, 36.0], shoonya_0sA0C1IOCPXIRI, 5753306]
[paragraph, [355.0, 1144.0, 1202.0, 36.0], shoonya_0sA0C1IOCPXIRI, 5753306]
[paragraph, [355.0, 1180.0, 1202.0, 36.0], shoonya_0sA0C1IOCPXIRI, 5753306]
[paragraph, [355.0, 1216.0, 1202.0, 36.0], shoonya_0sA0C1IOCPXIRI, 5753306]
[paragraph, [355.0, 1252.0, 1202.0, 36.0], shoonya_0sA0C1IOCPXIRI, 5753306]
[paragraph, [355.0, 1288.0, 1202.0, 36.0], shoonya_0sA0C1IOCPXIRI, 5753306]
[paragraph, [355.0, 1324.0, 1202.0, 36.0], shoonya_0sA0C1IOCPXIRI, 5753306]
[paragraph, [355.0, 1360.0, 1202.0, 36.0], shoonya_0sA0C1IOCPXIRI, 5753306]
[paragraph, [355.0, 1396.0, 1202.0, 36.0], shoonya_0sA0C1IOCPXIRI, 5753306]
[paragraph, [355.0, 1432.0, 1202.0, 36.0], shoonya_0sA0C1IOCPXIRI, 5753306]
[paragraph, [355.0, 1468.0, 1202.0, 36.0], shoonya_0sA0C1IOCPXIRI, 5753306]
[paragraph, [355.0, 1504.0, 1202.0, 36.0], shoonya_0sA0C1IOCPXIRI, 5753306]
[paragraph, [355.0, 1540.0, 1202.0, 36.0], shoonya_0sA0C1IOCPXIRI, 5753306]
[paragraph, [338.0, 1593.0, 1227.0, 36.0], S5AdS8wbjg, 5753306]
[paragraph, [338.0, 1629.0, 1227.0, 36.0], S5AdS8wbjg, 5753306]
[paragraph, [338.0, 1665.0, 1227.0, 36.0], S5AdS8wbjg, 5753306]
[paragraph, [338.0, 1701.0, 1227.0, 36.0], S5AdS8wbjg, 5753306]
[paragraph, [338.0, 1737.0, 1227.0, 36.0], S5AdS8wbjg, 5753306]
[paragraph, [338.0, 1773.0, 1227.0, 36.0], S5AdS8wbjg, 5753306]
[paragraph, [338.0, 1809.0, 1227.0, 36.0], S5AdS8wbjg, 5753306]
[paragraph, [338.0, 1845.0, 1227.0, 36.0], S5AdS8wbjg, 5753306]
[paragraph, [338.0, 1881.0, 1227.0, 36.0], S5AdS8wbjg, 5753306]
[paragraph, [338.0, 1917.0, 1227.0, 36.0], S5AdS8wbjg, 5753306]
[paragraph, [338.0, 1953.0, 1227.0, 36.0], S5AdS8wbjg, 5753306]
[paragraph, [338.0, 1989.0, 1227.0, 36.0], S5AdS8wbjg, 5753306]
[paragraph, [338.0, 2025.0, 1227.0, 36.0], S5AdS8wbjg, 5753306]
[paragraph, [338.0, 2061.0, 1227.0, 36.0], S5AdS8wbjg, 5753306]
[paragraph, [338.0, 2097.0, 1227.0, 36.0], S5AdS8wbjg, 5753306]
[paragraph, [338.0, 2133.0, 1227.0, 36.0], S5AdS8wbjg, 5753306]
