[1725, 1313]
[paragraph, [663.0, 143.0, 525.0, 36.0], shoonya_7sSNR8YYWNE6LC, 5771722]
[paragraph, [663.0, 179.0, 525.0, 36.0], shoonya_7sSNR8YYWNE6LC, 5771722]
[paragraph, [663.0, 215.0, 525.0, 36.0], shoonya_7sSNR8YYWNE6LC, 5771722]
[paragraph, [120.0, 144.0, 528.0, 36.0], shoonya_10s5RLL2XM2I63, 5771722]
[paragraph, [120.0, 180.0, 528.0, 36.0], shoonya_10s5RLL2XM2I63, 5771722]
[paragraph, [120.0, 216.0, 528.0, 36.0], shoonya_10s5RLL2XM2I63, 5771722]
[paragraph, [120.0, 252.0, 528.0, 36.0], shoonya_10s5RLL2XM2I63, 5771722]
[paragraph, [120.0, 288.0, 528.0, 36.0], shoonya_10s5RLL2XM2I63, 5771722]
[paragraph, [120.0, 324.0, 528.0, 36.0], shoonya_10s5RLL2XM2I63, 5771722]
[paragraph, [662.0, 323.0, 528.0, 36.0], shoonya_3s0XT16V9J2R8F, 5771722]
[paragraph, [662.0, 359.0, 528.0, 36.0], shoonya_3s0XT16V9J2R8F, 5771722]
[paragraph, [662.0, 395.0, 528.0, 36.0], shoonya_3s0XT16V9J2R8F, 5771722]
[paragraph, [122.0, 395.0, 525.0, 36.0], shoonya_4s8U2W7Q8U47BS, 5771722]
[paragraph, [122.0, 431.0, 525.0, 36.0], shoonya_4s8U2W7Q8U47BS, 5771722]
[paragraph, [122.0, 467.0, 525.0, 36.0], shoonya_4s8U2W7Q8U47BS, 5771722]
[paragraph, [122.0, 503.0, 525.0, 36.0], shoonya_4s8U2W7Q8U47BS, 5771722]
[paragraph, [662.0, 488.0, 527.0, 36.0], shoonya_1sDRI71VE7G98D, 5771722]
[paragraph, [662.0, 524.0, 527.0, 36.0], shoonya_1sDRI71VE7G98D, 5771722]
[paragraph, [662.0, 560.0, 527.0, 36.0], shoonya_1sDRI71VE7G98D, 5771722]
[paragraph, [662.0, 596.0, 527.0, 36.0], shoonya_1sDRI71VE7G98D, 5771722]
[paragraph, [662.0, 632.0, 527.0, 36.0], shoonya_1sDRI71VE7G98D, 5771722]
[paragraph, [121.0, 560.0, 526.0, 36.0], shoonya_5sS75A280GO2FV, 5771722]
[paragraph, [121.0, 596.0, 526.0, 36.0], shoonya_5sS75A280GO2FV, 5771722]
[paragraph, [121.0, 632.0, 526.0, 36.0], shoonya_5sS75A280GO2FV, 5771722]
[paragraph, [121.0, 668.0, 526.0, 36.0], shoonya_5sS75A280GO2FV, 5771722]
[paragraph, [121.0, 704.0, 526.0, 36.0], shoonya_5sS75A280GO2FV, 5771722]
[paragraph, [121.0, 740.0, 526.0, 36.0], shoonya_5sS75A280GO2FV, 5771722]
[paragraph, [662.0, 682.0, 527.0, 36.0], TxVhxZjq91, 5771722]
[paragraph, [662.0, 718.0, 527.0, 36.0], TxVhxZjq91, 5771722]
[paragraph, [662.0, 754.0, 527.0, 36.0], TxVhxZjq91, 5771722]
[paragraph, [662.0, 790.0, 527.0, 36.0], TxVhxZjq91, 5771722]
[paragraph, [662.0, 826.0, 527.0, 36.0], TxVhxZjq91, 5771722]
[paragraph, [662.0, 862.0, 527.0, 36.0], TxVhxZjq91, 5771722]
[paragraph, [662.0, 898.0, 527.0, 36.0], TxVhxZjq91, 5771722]
[paragraph, [662.0, 934.0, 527.0, 36.0], TxVhxZjq91, 5771722]
[paragraph, [122.0, 837.0, 523.0, 36.0], shoonya_6s3BBZGMRY7A4R, 5771722]
[paragraph, [122.0, 873.0, 523.0, 36.0], shoonya_6s3BBZGMRY7A4R, 5771722]
[paragraph, [122.0, 909.0, 523.0, 36.0], shoonya_6s3BBZGMRY7A4R, 5771722]
[paragraph, [119.0, 968.0, 529.0, 36.0], shoonya_0s7I83J2S7UQ5H, 5771722]
[paragraph, [119.0, 1004.0, 529.0, 36.0], shoonya_0s7I83J2S7UQ5H, 5771722]
[paragraph, [119.0, 1040.0, 529.0, 36.0], shoonya_0s7I83J2S7UQ5H, 5771722]
[paragraph, [119.0, 1076.0, 529.0, 36.0], shoonya_0s7I83J2S7UQ5H, 5771722]
[paragraph, [119.0, 1112.0, 529.0, 36.0], shoonya_0s7I83J2S7UQ5H, 5771722]
[paragraph, [119.0, 1148.0, 529.0, 36.0], shoonya_0s7I83J2S7UQ5H, 5771722]
[paragraph, [119.0, 1184.0, 529.0, 36.0], shoonya_0s7I83J2S7UQ5H, 5771722]
[paragraph, [119.0, 1220.0, 529.0, 36.0], shoonya_0s7I83J2S7UQ5H, 5771722]
[paragraph, [119.0, 1256.0, 529.0, 36.0], shoonya_0s7I83J2S7UQ5H, 5771722]
[paragraph, [663.0, 998.0, 528.0, 36.0], shoonya_13sG260CA0T3Q0, 5771722]
[paragraph, [663.0, 1034.0, 528.0, 36.0], shoonya_13sG260CA0T3Q0, 5771722]
[paragraph, [663.0, 1070.0, 528.0, 36.0], shoonya_13sG260CA0T3Q0, 5771722]
[paragraph, [665.0, 1180.0, 529.0, 36.0], shoonya_9s2RZETWJMQAQO, 5771722]
[paragraph, [665.0, 1216.0, 529.0, 36.0], shoonya_9s2RZETWJMQAQO, 5771722]
[paragraph, [665.0, 1252.0, 529.0, 36.0], shoonya_9s2RZETWJMQAQO, 5771722]
[paragraph, [661.0, 1312.0, 527.0, 36.0], shoonya_19sHAFVYFYW8D2, 5771722]
[paragraph, [661.0, 1348.0, 527.0, 36.0], shoonya_19sHAFVYFYW8D2, 5771722]
[paragraph, [661.0, 1384.0, 527.0, 36.0], shoonya_19sHAFVYFYW8D2, 5771722]
[paragraph, [661.0, 1420.0, 527.0, 36.0], shoonya_19sHAFVYFYW8D2, 5771722]
[paragraph, [661.0, 1456.0, 527.0, 36.0], shoonya_19sHAFVYFYW8D2, 5771722]
[paragraph, [120.0, 1325.0, 529.0, 36.0], shoonya_2s7VBRWCKOKSZP, 5771722]
[paragraph, [120.0, 1361.0, 529.0, 36.0], shoonya_2s7VBRWCKOKSZP, 5771722]
[paragraph, [120.0, 1397.0, 529.0, 36.0], shoonya_2s7VBRWCKOKSZP, 5771722]
[paragraph, [120.0, 1433.0, 529.0, 36.0], shoonya_2s7VBRWCKOKSZP, 5771722]
[paragraph, [120.0, 1469.0, 529.0, 36.0], shoonya_2s7VBRWCKOKSZP, 5771722]
[author, [905.0, 1518.0, 284.0, 36.0], shoonya_15sIDULRXYBBQ1, 5771722]
[folio, [586.0, 1577.0, 136.0, 36.0], uoM7Q1tSwk, 5771722]
