[1009, 613]
[folio, [276.0, 103.0, 63.0, 18.0], zsMpXI__tG, 5756833]
[folio, [192.0, 129.0, 229.0, 18.0], -24bcV9Rkw, 5756833]
[ordered-list, [59.0, 201.0, 527.0, 18.0], shoonya_0s1TKI7JRGLKLE, 5756833]
[ordered-list, [59.0, 219.0, 527.0, 18.0], shoonya_0s1TKI7JRGLKLE, 5756833]
[ordered-list, [59.0, 237.0, 527.0, 18.0], shoonya_0s1TKI7JRGLKLE, 5756833]
[ordered-list, [59.0, 255.0, 527.0, 18.0], shoonya_0s1TKI7JRGLKLE, 5756833]
[ordered-list, [59.0, 273.0, 527.0, 18.0], shoonya_0s1TKI7JRGLKLE, 5756833]
[ordered-list, [59.0, 291.0, 527.0, 18.0], shoonya_0s1TKI7JRGLKLE, 5756833]
[ordered-list, [59.0, 309.0, 527.0, 18.0], shoonya_0s1TKI7JRGLKLE, 5756833]
[ordered-list, [59.0, 327.0, 527.0, 18.0], shoonya_0s1TKI7JRGLKLE, 5756833]
[ordered-list, [59.0, 345.0, 527.0, 18.0], shoonya_0s1TKI7JRGLKLE, 5756833]
[ordered-list, [59.0, 363.0, 527.0, 18.0], shoonya_0s1TKI7JRGLKLE, 5756833]
[ordered-list, [59.0, 381.0, 527.0, 18.0], shoonya_0s1TKI7JRGLKLE, 5756833]
[ordered-list, [59.0, 399.0, 527.0, 18.0], shoonya_0s1TKI7JRGLKLE, 5756833]
[ordered-list, [59.0, 417.0, 527.0, 18.0], shoonya_0s1TKI7JRGLKLE, 5756833]
[ordered-list, [59.0, 435.0, 527.0, 18.0], shoonya_0s1TKI7JRGLKLE, 5756833]
[ordered-list, [59.0, 453.0, 527.0, 18.0], shoonya_0s1TKI7JRGLKLE, 5756833]
[ordered-list, [59.0, 471.0, 527.0, 18.0], shoonya_0s1TKI7JRGLKLE, 5756833]
[ordered-list, [59.0, 489.0, 527.0, 18.0], shoonya_0s1TKI7JRGLKLE, 5756833]
[ordered-list, [59.0, 507.0, 527.0, 18.0], shoonya_0s1TKI7JRGLKLE, 5756833]
[ordered-list, [59.0, 525.0, 527.0, 18.0], shoonya_0s1TKI7JRGLKLE, 5756833]
[ordered-list, [59.0, 543.0, 527.0, 18.0], shoonya_0s1TKI7JRGLKLE, 5756833]
[ordered-list, [59.0, 561.0, 527.0, 18.0], shoonya_0s1TKI7JRGLKLE, 5756833]
[ordered-list, [59.0, 579.0, 527.0, 18.0], shoonya_0s1TKI7JRGLKLE, 5756833]
[ordered-list, [59.0, 597.0, 527.0, 18.0], shoonya_0s1TKI7JRGLKLE, 5756833]
[ordered-list, [59.0, 615.0, 527.0, 18.0], shoonya_0s1TKI7JRGLKLE, 5756833]
[ordered-list, [59.0, 633.0, 527.0, 18.0], shoonya_0s1TKI7JRGLKLE, 5756833]
[ordered-list, [59.0, 651.0, 527.0, 18.0], shoonya_0s1TKI7JRGLKLE, 5756833]
[ordered-list, [59.0, 669.0, 527.0, 18.0], shoonya_0s1TKI7JRGLKLE, 5756833]
[sub-unordered-list, [111.0, 419.0, 454.0, 18.0], 6vQuXX8sfk, 5756833]
[sub-unordered-list, [111.0, 437.0, 454.0, 18.0], 6vQuXX8sfk, 5756833]
[sub-unordered-list, [111.0, 455.0, 454.0, 18.0], 6vQuXX8sfk, 5756833]
[sub-unordered-list, [111.0, 473.0, 454.0, 18.0], 6vQuXX8sfk, 5756833]
[sub-unordered-list, [111.0, 491.0, 454.0, 18.0], 6vQuXX8sfk, 5756833]
[sub-unordered-list, [111.0, 509.0, 454.0, 18.0], 6vQuXX8sfk, 5756833]
[sub-unordered-list, [111.0, 527.0, 454.0, 18.0], 6vQuXX8sfk, 5756833]
[sub-unordered-list, [111.0, 545.0, 454.0, 18.0], 6vQuXX8sfk, 5756833]
[sub-unordered-list, [111.0, 563.0, 454.0, 18.0], 6vQuXX8sfk, 5756833]
