[2400, 1600]
[website-link, [985.0, 112.0, 236.0, 18.0], ZHvseKa9zI, 5660725]
[website-link, [1242.0, 116.0, 172.0, 18.0], A4RD8qxx3O, 5660725]
[folio, [161.0, 161.0, 235.0, 36.0], aU7EInxvW7, 5660725]
[paragraph, [156.0, 243.0, 502.0, 36.0], 4wQlYi-wiK, 5660725]
[paragraph, [156.0, 279.0, 502.0, 36.0], 4wQlYi-wiK, 5660725]
[paragraph, [150.0, 330.0, 1316.0, 36.0], IaUcD5sqwm, 5660725]
[paragraph, [150.0, 366.0, 1316.0, 36.0], IaUcD5sqwm, 5660725]
[paragraph, [150.0, 402.0, 1316.0, 36.0], IaUcD5sqwm, 5660725]
[paragraph, [150.0, 438.0, 1316.0, 36.0], IaUcD5sqwm, 5660725]
[paragraph, [150.0, 474.0, 1316.0, 36.0], IaUcD5sqwm, 5660725]
[paragraph, [150.0, 510.0, 1316.0, 36.0], IaUcD5sqwm, 5660725]
[paragraph, [150.0, 546.0, 1316.0, 36.0], IaUcD5sqwm, 5660725]
[paragraph, [150.0, 582.0, 1316.0, 36.0], IaUcD5sqwm, 5660725]
[paragraph, [147.0, 627.0, 1300.0, 36.0], SyP5TRTFpV, 5660725]
[paragraph, [147.0, 663.0, 1300.0, 36.0], SyP5TRTFpV, 5660725]
[paragraph, [147.0, 699.0, 1300.0, 36.0], SyP5TRTFpV, 5660725]
[paragraph, [147.0, 735.0, 1300.0, 36.0], SyP5TRTFpV, 5660725]
[unordered-list, [171.0, 775.0, 1271.0, 36.0], hYK4uRz5bu, 5660725]
[unordered-list, [171.0, 811.0, 1271.0, 36.0], hYK4uRz5bu, 5660725]
[unordered-list, [171.0, 847.0, 1271.0, 36.0], hYK4uRz5bu, 5660725]
[unordered-list, [171.0, 883.0, 1271.0, 36.0], hYK4uRz5bu, 5660725]
[unordered-list, [171.0, 919.0, 1271.0, 36.0], hYK4uRz5bu, 5660725]
[unordered-list, [171.0, 955.0, 1271.0, 36.0], hYK4uRz5bu, 5660725]
[unordered-list, [171.0, 991.0, 1271.0, 36.0], hYK4uRz5bu, 5660725]
[unordered-list, [171.0, 1027.0, 1271.0, 36.0], hYK4uRz5bu, 5660725]
[paragraph, [151.0, 1081.0, 1296.0, 36.0], TMLEfFTvbR, 5660725]
[paragraph, [151.0, 1117.0, 1296.0, 36.0], TMLEfFTvbR, 5660725]
[paragraph, [151.0, 1153.0, 1296.0, 36.0], TMLEfFTvbR, 5660725]
[paragraph, [151.0, 1189.0, 1296.0, 36.0], TMLEfFTvbR, 5660725]
[paragraph, [125.0, 1233.0, 1319.0, 36.0], 4UV2gcUOjF, 5660725]
[paragraph, [125.0, 1269.0, 1319.0, 36.0], 4UV2gcUOjF, 5660725]
[paragraph, [125.0, 1305.0, 1319.0, 36.0], 4UV2gcUOjF, 5660725]
[paragraph, [125.0, 1341.0, 1319.0, 36.0], 4UV2gcUOjF, 5660725]
[paragraph, [125.0, 1377.0, 1319.0, 36.0], 4UV2gcUOjF, 5660725]
[paragraph, [125.0, 1413.0, 1319.0, 36.0], 4UV2gcUOjF, 5660725]
[paragraph, [125.0, 1449.0, 1319.0, 36.0], 4UV2gcUOjF, 5660725]
[paragraph, [125.0, 1485.0, 1319.0, 36.0], 4UV2gcUOjF, 5660725]
[paragraph, [125.0, 1521.0, 1319.0, 36.0], 4UV2gcUOjF, 5660725]
[paragraph, [125.0, 1557.0, 1319.0, 36.0], 4UV2gcUOjF, 5660725]
[paragraph, [125.0, 1593.0, 1319.0, 36.0], 4UV2gcUOjF, 5660725]
[paragraph, [125.0, 1629.0, 1319.0, 36.0], 4UV2gcUOjF, 5660725]
[paragraph, [152.0, 1670.0, 1288.0, 36.0], ITjJtihzsu, 5660725]
[paragraph, [152.0, 1706.0, 1288.0, 36.0], ITjJtihzsu, 5660725]
[paragraph, [152.0, 1742.0, 1288.0, 36.0], ITjJtihzsu, 5660725]
[paragraph, [152.0, 1778.0, 1288.0, 36.0], ITjJtihzsu, 5660725]
[section-title, [595.0, 1827.0, 423.0, 52.5], ObRu7XzqkX, 5660725]
[paragraph, [144.0, 1891.0, 1303.0, 36.0], 1HyxplHzRF, 5660725]
[paragraph, [144.0, 1927.0, 1303.0, 36.0], 1HyxplHzRF, 5660725]
[paragraph, [144.0, 1963.0, 1303.0, 36.0], 1HyxplHzRF, 5660725]
[paragraph, [144.0, 1999.0, 1303.0, 36.0], 1HyxplHzRF, 5660725]
[paragraph, [144.0, 2035.0, 1303.0, 36.0], 1HyxplHzRF, 5660725]
[paragraph, [144.0, 2071.0, 1303.0, 36.0], 1HyxplHzRF, 5660725]
[paragraph, [144.0, 2107.0, 1303.0, 36.0], 1HyxplHzRF, 5660725]
[paragraph, [144.0, 2143.0, 1303.0, 36.0], 1HyxplHzRF, 5660725]
[paragraph, [144.0, 2179.0, 1303.0, 36.0], 1HyxplHzRF, 5660725]
[paragraph, [144.0, 2215.0, 1303.0, 36.0], 1HyxplHzRF, 5660725]
[folio, [288.0, 2289.0, 1017.0, 36.0], RC1g-q5LRB, 5660725]
[folio, [288.0, 2325.0, 1017.0, 36.0], RC1g-q5LRB, 5660725]
