[792, 612]
[folio, [53.0, 50.0, 44.0, 18.0], o7TCfwlkDL, 6516797]
[section-title, [133.0, 111.0, 347.0, 30.0], e4RJ61sTm3, 6516797]
[author, [270.0, 145.0, 71.0, 18.0], Z9cDbv3qnv, 6516797]
[paragraph, [57.0, 185.0, 247.0, 18.0], UwdkSZ5GGa, 6516797]
[paragraph, [57.0, 203.0, 247.0, 18.0], UwdkSZ5GGa, 6516797]
[paragraph, [57.0, 221.0, 247.0, 18.0], UwdkSZ5GGa, 6516797]
[paragraph, [57.0, 239.0, 247.0, 18.0], UwdkSZ5GGa, 6516797]
[paragraph, [57.0, 257.0, 247.0, 18.0], UwdkSZ5GGa, 6516797]
[paragraph, [57.0, 275.0, 247.0, 18.0], UwdkSZ5GGa, 6516797]
[paragraph, [310.0, 185.0, 239.0, 18.0], yfHS8Ll9wd, 6516797]
[paragraph, [310.0, 203.0, 239.0, 18.0], yfHS8Ll9wd, 6516797]
[paragraph, [308.0, 225.0, 246.0, 18.0], sAfAyWUAZ8, 6516797]
[paragraph, [308.0, 243.0, 246.0, 18.0], sAfAyWUAZ8, 6516797]
[paragraph, [308.0, 261.0, 246.0, 18.0], sAfAyWUAZ8, 6516797]
[paragraph, [308.0, 279.0, 246.0, 18.0], sAfAyWUAZ8, 6516797]
[paragraph, [309.0, 304.0, 243.0, 18.0], pR-QiHq5L8, 6516797]
[paragraph, [309.0, 322.0, 243.0, 18.0], pR-QiHq5L8, 6516797]
[paragraph, [309.0, 340.0, 243.0, 18.0], pR-QiHq5L8, 6516797]
[paragraph, [309.0, 358.0, 243.0, 18.0], pR-QiHq5L8, 6516797]
[paragraph, [309.0, 376.0, 243.0, 18.0], pR-QiHq5L8, 6516797]
[paragraph, [309.0, 394.0, 243.0, 18.0], pR-QiHq5L8, 6516797]
[paragraph, [309.0, 412.0, 243.0, 18.0], pR-QiHq5L8, 6516797]
[paragraph, [309.0, 430.0, 243.0, 18.0], pR-QiHq5L8, 6516797]
[paragraph, [309.0, 448.0, 243.0, 18.0], pR-QiHq5L8, 6516797]
[paragraph, [309.0, 466.0, 243.0, 18.0], pR-QiHq5L8, 6516797]
[paragraph, [309.0, 484.0, 243.0, 18.0], pR-QiHq5L8, 6516797]
[paragraph, [309.0, 502.0, 243.0, 18.0], pR-QiHq5L8, 6516797]
[paragraph, [309.0, 520.0, 243.0, 18.0], pR-QiHq5L8, 6516797]
[paragraph, [309.0, 538.0, 243.0, 18.0], pR-QiHq5L8, 6516797]
[paragraph, [309.0, 556.0, 243.0, 18.0], pR-QiHq5L8, 6516797]
[paragraph, [309.0, 574.0, 243.0, 18.0], pR-QiHq5L8, 6516797]
[paragraph, [58.0, 305.0, 247.0, 18.0], weHXmjrlJf, 6516797]
[paragraph, [58.0, 323.0, 247.0, 18.0], weHXmjrlJf, 6516797]
[paragraph, [58.0, 341.0, 247.0, 18.0], weHXmjrlJf, 6516797]
[paragraph, [58.0, 359.0, 247.0, 18.0], weHXmjrlJf, 6516797]
[paragraph, [58.0, 377.0, 247.0, 18.0], weHXmjrlJf, 6516797]
[paragraph, [58.0, 395.0, 247.0, 18.0], weHXmjrlJf, 6516797]
[paragraph, [58.0, 413.0, 247.0, 18.0], weHXmjrlJf, 6516797]
[paragraph, [58.0, 431.0, 247.0, 18.0], weHXmjrlJf, 6516797]
[paragraph, [58.0, 449.0, 247.0, 18.0], weHXmjrlJf, 6516797]
[paragraph, [58.0, 467.0, 247.0, 18.0], weHXmjrlJf, 6516797]
[paragraph, [61.0, 504.0, 243.0, 18.0], nCJcg_n_W1, 6516797]
[paragraph, [61.0, 522.0, 243.0, 18.0], nCJcg_n_W1, 6516797]
[paragraph, [61.0, 540.0, 243.0, 18.0], nCJcg_n_W1, 6516797]
[paragraph, [61.0, 558.0, 243.0, 18.0], nCJcg_n_W1, 6516797]
[paragraph, [61.0, 576.0, 243.0, 18.0], nCJcg_n_W1, 6516797]
[paragraph, [61.0, 594.0, 243.0, 18.0], nCJcg_n_W1, 6516797]
[paragraph, [309.0, 594.0, 251.0, 18.0], MeZdGSlmWK, 6516797]
[paragraph, [309.0, 612.0, 251.0, 18.0], MeZdGSlmWK, 6516797]
[paragraph, [309.0, 630.0, 251.0, 18.0], MeZdGSlmWK, 6516797]
[paragraph, [309.0, 648.0, 251.0, 18.0], MeZdGSlmWK, 6516797]
[paragraph, [309.0, 666.0, 251.0, 18.0], MeZdGSlmWK, 6516797]
[paragraph, [60.0, 621.0, 241.0, 18.0], KKN0UIPGUa, 6516797]
[paragraph, [60.0, 639.0, 241.0, 18.0], KKN0UIPGUa, 6516797]
[paragraph, [60.0, 676.0, 242.0, 18.0], V8RRAFzZ9K, 6516797]
[paragraph, [60.0, 694.0, 242.0, 18.0], V8RRAFzZ9K, 6516797]
[paragraph, [310.0, 689.0, 242.0, 18.0], W-7jrsb5Az, 6516797]
