[1650, 1275]
[section-title, [141.0, 160.0, 735.0, 49.5], shoonya_0sN2KQ89BPNNZM, 5781418]
[paragraph, [130.0, 227.0, 977.0, 36.0], By7SD4ec5Q, 5781418]
[paragraph, [130.0, 263.0, 977.0, 36.0], By7SD4ec5Q, 5781418]
[paragraph, [143.0, 444.0, 1008.0, 36.0], 12akC_XNF4, 5781418]
[paragraph, [143.0, 480.0, 1008.0, 36.0], 12akC_XNF4, 5781418]
[paragraph, [143.0, 516.0, 1008.0, 36.0], 12akC_XNF4, 5781418]
[paragraph, [143.0, 552.0, 1008.0, 36.0], 12akC_XNF4, 5781418]
[paragraph, [143.0, 588.0, 1008.0, 36.0], 12akC_XNF4, 5781418]
[paragraph, [153.0, 734.0, 950.0, 36.0], dtbG1iGeqs, 5781418]
[paragraph, [153.0, 770.0, 950.0, 36.0], dtbG1iGeqs, 5781418]
[paragraph, [153.0, 806.0, 950.0, 36.0], dtbG1iGeqs, 5781418]
[paragraph, [153.0, 842.0, 950.0, 36.0], dtbG1iGeqs, 5781418]
[paragraph, [145.0, 955.0, 940.0, 36.0], vKmBWNKWCW, 5781418]
[paragraph, [145.0, 991.0, 940.0, 36.0], vKmBWNKWCW, 5781418]
[paragraph, [145.0, 1027.0, 940.0, 36.0], vKmBWNKWCW, 5781418]
[paragraph, [150.0, 1163.0, 991.0, 36.0], fKteQBmmks, 5781418]
[paragraph, [150.0, 1199.0, 991.0, 36.0], fKteQBmmks, 5781418]
[paragraph, [150.0, 1235.0, 991.0, 36.0], fKteQBmmks, 5781418]
[paragraph, [150.0, 1346.0, 937.0, 36.0], 2K2ERja_ai, 5781418]
[paragraph, [150.0, 1382.0, 937.0, 36.0], 2K2ERja_ai, 5781418]
[paragraph, [150.0, 1418.0, 937.0, 36.0], 2K2ERja_ai, 5781418]
