[3508, 2481]
[contact-info, [533.0, 378.0, 1401.0, 52.5], lU2ypklQ8f, 6534706]
[contact-info, [533.0, 430.5, 1401.0, 52.5], lU2ypklQ8f, 6534706]
[paragraph, [857.0, 500.0, 768.0, 52.5], 3dRtuLfMUi, 6534706]
[paragraph, [596.0, 563.0, 1283.0, 52.5], z7cuto62On, 6534706]
[section-title, [1027.0, 742.0, 412.0, 93.0], I9B2VtEcKh, 6534706]
[sub-section-title, [214.0, 965.0, 957.0, 73.5], Eerbq8hm2T, 6534706]
[dateline, [223.0, 1229.0, 408.0, 52.5], wBXQ2lbDEP, 6534706]
[paragraph, [213.0, 1495.0, 319.0, 52.5], LIs53FA97d, 6534706]
[paragraph, [207.0, 1603.0, 2046.0, 52.5], RZMlOZe9vk, 6534706]
[paragraph, [207.0, 1655.5, 2046.0, 52.5], RZMlOZe9vk, 6534706]
[paragraph, [207.0, 1708.0, 2046.0, 52.5], RZMlOZe9vk, 6534706]
[paragraph, [207.0, 1760.5, 2046.0, 52.5], RZMlOZe9vk, 6534706]
[paragraph, [207.0, 1813.0, 2046.0, 52.5], RZMlOZe9vk, 6534706]
[paragraph, [207.0, 1865.5, 2046.0, 52.5], RZMlOZe9vk, 6534706]
[paragraph, [220.0, 1971.0, 2040.0, 52.5], shoonya_0sEXPZ5OLB3AXX, 6534706]
[paragraph, [220.0, 2023.5, 2040.0, 52.5], shoonya_0sEXPZ5OLB3AXX, 6534706]
[paragraph, [220.0, 2076.0, 2040.0, 52.5], shoonya_0sEXPZ5OLB3AXX, 6534706]
[paragraph, [220.0, 2128.5, 2040.0, 52.5], shoonya_0sEXPZ5OLB3AXX, 6534706]
[paragraph, [220.0, 2181.0, 2040.0, 52.5], shoonya_0sEXPZ5OLB3AXX, 6534706]
[paragraph, [220.0, 2233.5, 2040.0, 52.5], shoonya_0sEXPZ5OLB3AXX, 6534706]
[paragraph, [220.0, 2286.0, 2040.0, 52.5], shoonya_0sEXPZ5OLB3AXX, 6534706]
[paragraph, [220.0, 2338.5, 2040.0, 52.5], shoonya_0sEXPZ5OLB3AXX, 6534706]
[paragraph, [220.0, 2391.0, 2040.0, 52.5], shoonya_0sEXPZ5OLB3AXX, 6534706]
[paragraph, [220.0, 2443.5, 2040.0, 52.5], shoonya_0sEXPZ5OLB3AXX, 6534706]
[sub-section-title, [220.0, 2676.0, 583.0, 73.5], h5mMFKaDup, 6534706]
[subsub-section-title, [226.0, 2825.0, 486.0, 73.5], id9JydNDf5, 6534706]
[paragraph, [229.0, 2927.0, 2028.0, 52.5], c-Rf6aeG8E, 6534706]
[paragraph, [229.0, 2979.5, 2028.0, 52.5], c-Rf6aeG8E, 6534706]
[subsub-section-title, [232.0, 3151.0, 353.0, 73.5], EKM0amEF9Y, 6534706]
[paragraph, [229.0, 3253.0, 552.0, 52.5], vmk6y-H1zw, 6534706]
