[1792, 1278]
[folio, [217.0, 25.0, 183.0, 36.0], X9vzdxVjW2, 5744809]
[headline, [132.0, 122.0, 1012.0, 37.5], shoonya_3s4IDEEQ15YCZE, 5744809]
[sub-headline, [340.0, 201.0, 594.0, 36.0], w3PHv_roz7, 5744809]
[paragraph, [622.0, 321.0, 550.0, 36.0], shoonya_11s3N4UZ5RNI3J, 5744809]
[paragraph, [622.0, 357.0, 550.0, 36.0], shoonya_11s3N4UZ5RNI3J, 5744809]
[paragraph, [620.0, 437.0, 553.0, 36.0], shoonya_8s2CBCLK2PK7CH, 5744809]
[paragraph, [620.0, 473.0, 553.0, 36.0], shoonya_8s2CBCLK2PK7CH, 5744809]
[paragraph, [620.0, 509.0, 553.0, 36.0], shoonya_8s2CBCLK2PK7CH, 5744809]
[paragraph, [620.0, 545.0, 553.0, 36.0], shoonya_8s2CBCLK2PK7CH, 5744809]
[paragraph, [620.0, 581.0, 553.0, 36.0], shoonya_8s2CBCLK2PK7CH, 5744809]
[paragraph, [620.0, 617.0, 553.0, 36.0], shoonya_8s2CBCLK2PK7CH, 5744809]
[paragraph, [99.0, 844.0, 554.0, 36.0], shoonya_6sUZG6I8N01BYX, 5744809]
[paragraph, [99.0, 880.0, 554.0, 36.0], shoonya_6sUZG6I8N01BYX, 5744809]
[paragraph, [99.0, 916.0, 554.0, 36.0], shoonya_6sUZG6I8N01BYX, 5744809]
[paragraph, [99.0, 952.0, 554.0, 36.0], shoonya_6sUZG6I8N01BYX, 5744809]
[paragraph, [99.0, 988.0, 554.0, 36.0], shoonya_6sUZG6I8N01BYX, 5744809]
[paragraph, [99.0, 1024.0, 554.0, 36.0], shoonya_6sUZG6I8N01BYX, 5744809]
[paragraph, [99.0, 1060.0, 554.0, 36.0], shoonya_6sUZG6I8N01BYX, 5744809]
[paragraph, [99.0, 1096.0, 554.0, 36.0], shoonya_6sUZG6I8N01BYX, 5744809]
[paragraph, [617.0, 1323.0, 558.0, 36.0], shoonya_10sRYTZAY0H8ZI, 5744809]
[paragraph, [617.0, 1359.0, 558.0, 36.0], shoonya_10sRYTZAY0H8ZI, 5744809]
[paragraph, [617.0, 1395.0, 558.0, 36.0], shoonya_10sRYTZAY0H8ZI, 5744809]
[paragraph, [620.0, 1449.0, 553.0, 36.0], shoonya_9sXPKSZ21VOCPE, 5744809]
[paragraph, [620.0, 1485.0, 553.0, 36.0], shoonya_9sXPKSZ21VOCPE, 5744809]
[paragraph, [620.0, 1521.0, 553.0, 36.0], shoonya_9sXPKSZ21VOCPE, 5744809]
[paragraph, [620.0, 1557.0, 553.0, 36.0], shoonya_9sXPKSZ21VOCPE, 5744809]
[paragraph, [620.0, 1593.0, 553.0, 36.0], shoonya_9sXPKSZ21VOCPE, 5744809]
