[792, 612]
[paragraph, [62.0, 110.0, 234.0, 18.0], shoonya_1sQAOMJF1XI2HU, 5654329]
[paragraph, [62.0, 128.0, 234.0, 18.0], shoonya_1sQAOMJF1XI2HU, 5654329]
[paragraph, [62.0, 146.0, 234.0, 18.0], shoonya_1sQAOMJF1XI2HU, 5654329]
[paragraph, [62.0, 164.0, 234.0, 18.0], shoonya_1sQAOMJF1XI2HU, 5654329]
[paragraph, [62.0, 182.0, 234.0, 18.0], shoonya_1sQAOMJF1XI2HU, 5654329]
[paragraph, [62.0, 200.0, 234.0, 18.0], shoonya_1sQAOMJF1XI2HU, 5654329]
[paragraph, [62.0, 239.0, 234.0, 18.0], shoonya_4sDM23TKMZND7V, 5654329]
[paragraph, [62.0, 257.0, 234.0, 18.0], shoonya_4sDM23TKMZND7V, 5654329]
[paragraph, [62.0, 275.0, 234.0, 18.0], shoonya_4sDM23TKMZND7V, 5654329]
[paragraph, [62.0, 293.0, 234.0, 18.0], shoonya_4sDM23TKMZND7V, 5654329]
[paragraph, [62.0, 333.0, 233.0, 18.0], shoonya_0s24TNWODCQHTU, 5654329]
[paragraph, [62.0, 351.0, 233.0, 18.0], shoonya_0s24TNWODCQHTU, 5654329]
[paragraph, [62.0, 369.0, 233.0, 18.0], shoonya_0s24TNWODCQHTU, 5654329]
[paragraph, [62.0, 387.0, 233.0, 18.0], shoonya_0s24TNWODCQHTU, 5654329]
[paragraph, [62.0, 405.0, 233.0, 18.0], shoonya_0s24TNWODCQHTU, 5654329]
[paragraph, [62.0, 423.0, 233.0, 18.0], shoonya_0s24TNWODCQHTU, 5654329]
[paragraph, [62.0, 441.0, 233.0, 18.0], shoonya_0s24TNWODCQHTU, 5654329]
[paragraph, [351.0, 353.0, 206.0, 18.0], shoonya_2sOA0477IBCI3G, 5654329]
[paragraph, [351.0, 371.0, 206.0, 18.0], shoonya_2sOA0477IBCI3G, 5654329]
[paragraph, [351.0, 389.0, 206.0, 18.0], shoonya_2sOA0477IBCI3G, 5654329]
[paragraph, [351.0, 407.0, 206.0, 18.0], shoonya_2sOA0477IBCI3G, 5654329]
[paragraph, [351.0, 431.0, 205.0, 18.0], shoonya_5sDOX84E4S4LXI, 5654329]
[paragraph, [351.0, 449.0, 205.0, 18.0], shoonya_5sDOX84E4S4LXI, 5654329]
[paragraph, [351.0, 467.0, 205.0, 18.0], shoonya_5sDOX84E4S4LXI, 5654329]
[paragraph, [351.0, 485.0, 205.0, 18.0], shoonya_5sDOX84E4S4LXI, 5654329]
[paragraph, [351.0, 510.0, 206.0, 18.0], shoonya_9sRHPP8TXQXT9W, 5654329]
[paragraph, [351.0, 528.0, 206.0, 18.0], shoonya_9sRHPP8TXQXT9W, 5654329]
[folio, [474.0, 730.0, 63.0, 18.0], 1vvmuoYWEv, 5654329]
