[1664, 2360]
[paragraph, [85.0, 93.0, 1552.0, 36.0], shoonya_2s7HAYS7MATZK5, 5692291]
[paragraph, [118.0, 162.0, 1389.0, 36.0], i07mqM78yX, 5692291]
[section-title, [1127.0, 280.0, 103.0, 49.5], shoonya_3sBXZTFIF0C393, 5692291]
[paragraph, [82.0, 397.0, 2197.0, 36.0], shoonya_1sA5FDUCMS01RU, 5692291]
[paragraph, [82.0, 433.0, 2197.0, 36.0], shoonya_1sA5FDUCMS01RU, 5692291]
[paragraph, [82.0, 469.0, 2197.0, 36.0], shoonya_1sA5FDUCMS01RU, 5692291]
[paragraph, [82.0, 505.0, 2197.0, 36.0], shoonya_1sA5FDUCMS01RU, 5692291]
[paragraph, [82.0, 541.0, 2197.0, 36.0], shoonya_1sA5FDUCMS01RU, 5692291]
[paragraph, [82.0, 577.0, 2197.0, 36.0], shoonya_1sA5FDUCMS01RU, 5692291]
[paragraph, [82.0, 613.0, 2197.0, 36.0], shoonya_1sA5FDUCMS01RU, 5692291]
[paragraph, [82.0, 649.0, 2197.0, 36.0], shoonya_1sA5FDUCMS01RU, 5692291]
[paragraph, [82.0, 685.0, 2197.0, 36.0], shoonya_1sA5FDUCMS01RU, 5692291]
[paragraph, [82.0, 721.0, 2197.0, 36.0], shoonya_1sA5FDUCMS01RU, 5692291]
[paragraph, [82.0, 757.0, 2197.0, 36.0], shoonya_1sA5FDUCMS01RU, 5692291]
[paragraph, [82.0, 793.0, 2197.0, 36.0], shoonya_1sA5FDUCMS01RU, 5692291]
[paragraph, [82.0, 829.0, 2197.0, 36.0], shoonya_1sA5FDUCMS01RU, 5692291]
[paragraph, [82.0, 865.0, 2197.0, 36.0], shoonya_1sA5FDUCMS01RU, 5692291]
[paragraph, [78.0, 900.0, 2217.0, 36.0], shoonya_0s63P07O4CYCG6, 5692291]
[paragraph, [78.0, 936.0, 2217.0, 36.0], shoonya_0s63P07O4CYCG6, 5692291]
[paragraph, [78.0, 972.0, 2217.0, 36.0], shoonya_0s63P07O4CYCG6, 5692291]
[paragraph, [78.0, 1008.0, 2217.0, 36.0], shoonya_0s63P07O4CYCG6, 5692291]
[paragraph, [78.0, 1044.0, 2217.0, 36.0], shoonya_0s63P07O4CYCG6, 5692291]
[paragraph, [78.0, 1080.0, 2217.0, 36.0], shoonya_0s63P07O4CYCG6, 5692291]
[paragraph, [78.0, 1116.0, 2217.0, 36.0], shoonya_0s63P07O4CYCG6, 5692291]
[paragraph, [78.0, 1152.0, 2217.0, 36.0], shoonya_0s63P07O4CYCG6, 5692291]
[paragraph, [78.0, 1188.0, 2217.0, 36.0], shoonya_0s63P07O4CYCG6, 5692291]
[paragraph, [78.0, 1224.0, 2217.0, 36.0], shoonya_0s63P07O4CYCG6, 5692291]
[paragraph, [78.0, 1260.0, 2217.0, 36.0], shoonya_0s63P07O4CYCG6, 5692291]
[paragraph, [88.0, 1301.0, 2194.0, 36.0], 2URkSiu79v, 5692291]
[paragraph, [88.0, 1337.0, 2194.0, 36.0], 2URkSiu79v, 5692291]
[paragraph, [88.0, 1373.0, 2194.0, 36.0], 2URkSiu79v, 5692291]
[paragraph, [88.0, 1409.0, 2194.0, 36.0], 2URkSiu79v, 5692291]
[paragraph, [88.0, 1445.0, 2194.0, 36.0], 2URkSiu79v, 5692291]
[paragraph, [88.0, 1481.0, 2194.0, 36.0], 2URkSiu79v, 5692291]
