[2337, 1706]
[section-title, [805.0, 191.0, 245.0, 52.5], shoonya_5sUOQH25LCE44M, 5734166]
[paragraph, [418.0, 294.0, 1089.0, 36.0], shoonya_0sKV45YMP9GMDV, 5734166]
[paragraph, [418.0, 330.0, 1089.0, 36.0], shoonya_0sKV45YMP9GMDV, 5734166]
[paragraph, [418.0, 366.0, 1089.0, 36.0], shoonya_0sKV45YMP9GMDV, 5734166]
[paragraph, [418.0, 402.0, 1089.0, 36.0], shoonya_0sKV45YMP9GMDV, 5734166]
[paragraph, [418.0, 438.0, 1089.0, 36.0], shoonya_0sKV45YMP9GMDV, 5734166]
[paragraph, [418.0, 474.0, 1089.0, 36.0], shoonya_0sKV45YMP9GMDV, 5734166]
[section-title, [398.0, 553.0, 1071.0, 52.5], fseskcUelT, 5734166]
[ordered-list, [302.0, 625.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 661.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 697.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 733.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 769.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 805.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 841.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 877.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 913.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 949.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 985.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 1021.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 1057.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 1093.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 1129.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 1165.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 1201.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 1237.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 1273.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 1309.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 1345.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 1381.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 1417.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 1453.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 1489.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 1525.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 1561.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 1597.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 1633.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 1669.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 1705.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 1741.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 1777.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 1813.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 1849.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 1885.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 1921.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
[ordered-list, [302.0, 1957.0, 1225.0, 36.0], shoonya_3s51QAGA3V3FJ3, 5734166]
