[576, 720]
[paragraph, [43.0, 62.0, 301.0, 18.0], v-Mcl-ioyH, 6533032]
[paragraph, [43.0, 80.0, 301.0, 18.0], v-Mcl-ioyH, 6533032]
[paragraph, [43.0, 98.0, 301.0, 18.0], v-Mcl-ioyH, 6533032]
[paragraph, [379.0, 62.0, 296.0, 18.0], BkDnIfvBOx, 6533032]
[paragraph, [378.0, 95.0, 298.0, 18.0], jH7jaem41O, 6533032]
[paragraph, [378.0, 113.0, 298.0, 18.0], jH7jaem41O, 6533032]
[paragraph, [378.0, 131.0, 298.0, 18.0], jH7jaem41O, 6533032]
[paragraph, [378.0, 149.0, 298.0, 18.0], jH7jaem41O, 6533032]
[paragraph, [43.0, 125.0, 301.0, 18.0], shoonya_0sZO4OABIF2XRZ, 6533032]
[paragraph, [43.0, 143.0, 301.0, 18.0], shoonya_0sZO4OABIF2XRZ, 6533032]
[paragraph, [43.0, 161.0, 301.0, 18.0], shoonya_0sZO4OABIF2XRZ, 6533032]
[paragraph, [43.0, 179.0, 301.0, 18.0], shoonya_0sZO4OABIF2XRZ, 6533032]
[paragraph, [43.0, 197.0, 301.0, 18.0], shoonya_0sZO4OABIF2XRZ, 6533032]
[paragraph, [43.0, 215.0, 301.0, 18.0], shoonya_0sZO4OABIF2XRZ, 6533032]
[paragraph, [43.0, 233.0, 301.0, 18.0], shoonya_0sZO4OABIF2XRZ, 6533032]
[paragraph, [43.0, 251.0, 301.0, 18.0], shoonya_0sZO4OABIF2XRZ, 6533032]
[paragraph, [43.0, 269.0, 301.0, 18.0], shoonya_0sZO4OABIF2XRZ, 6533032]
[paragraph, [43.0, 287.0, 301.0, 18.0], shoonya_0sZO4OABIF2XRZ, 6533032]
[paragraph, [43.0, 305.0, 301.0, 18.0], shoonya_0sZO4OABIF2XRZ, 6533032]
[paragraph, [43.0, 323.0, 301.0, 18.0], shoonya_0sZO4OABIF2XRZ, 6533032]
[paragraph, [377.0, 183.0, 301.0, 18.0], Tj8nLmfh9c, 6533032]
[paragraph, [377.0, 201.0, 301.0, 18.0], Tj8nLmfh9c, 6533032]
[paragraph, [377.0, 219.0, 301.0, 18.0], Tj8nLmfh9c, 6533032]
[paragraph, [377.0, 237.0, 301.0, 18.0], Tj8nLmfh9c, 6533032]
[paragraph, [377.0, 255.0, 301.0, 18.0], Tj8nLmfh9c, 6533032]
[paragraph, [377.0, 273.0, 301.0, 18.0], Tj8nLmfh9c, 6533032]
[paragraph, [377.0, 291.0, 301.0, 18.0], Tj8nLmfh9c, 6533032]
[paragraph, [377.0, 309.0, 301.0, 18.0], Tj8nLmfh9c, 6533032]
[paragraph, [377.0, 327.0, 301.0, 18.0], Tj8nLmfh9c, 6533032]
[paragraph, [377.0, 345.0, 301.0, 18.0], Tj8nLmfh9c, 6533032]
[paragraph, [377.0, 363.0, 301.0, 18.0], Tj8nLmfh9c, 6533032]
[paragraph, [377.0, 381.0, 301.0, 18.0], Tj8nLmfh9c, 6533032]
[paragraph, [377.0, 399.0, 301.0, 18.0], Tj8nLmfh9c, 6533032]
[paragraph, [377.0, 417.0, 301.0, 18.0], Tj8nLmfh9c, 6533032]
[paragraph, [377.0, 435.0, 301.0, 18.0], Tj8nLmfh9c, 6533032]
[paragraph, [46.0, 343.0, 300.0, 18.0], mxhw0PRrmR, 6533032]
[paragraph, [46.0, 361.0, 300.0, 18.0], mxhw0PRrmR, 6533032]
[paragraph, [46.0, 379.0, 300.0, 18.0], mxhw0PRrmR, 6533032]
[paragraph, [46.0, 397.0, 300.0, 18.0], mxhw0PRrmR, 6533032]
[paragraph, [45.0, 417.0, 303.0, 18.0], P-vSQ55i5_, 6533032]
[paragraph, [45.0, 435.0, 303.0, 18.0], P-vSQ55i5_, 6533032]
[paragraph, [45.0, 453.0, 303.0, 18.0], P-vSQ55i5_, 6533032]
[paragraph, [45.0, 471.0, 303.0, 18.0], P-vSQ55i5_, 6533032]
[paragraph, [45.0, 489.0, 303.0, 18.0], P-vSQ55i5_, 6533032]
[paragraph, [45.0, 507.0, 303.0, 18.0], P-vSQ55i5_, 6533032]
[paragraph, [45.0, 525.0, 303.0, 18.0], P-vSQ55i5_, 6533032]
[paragraph, [377.0, 459.0, 303.0, 18.0], GqRlyRCW9C, 6533032]
[paragraph, [377.0, 477.0, 303.0, 18.0], GqRlyRCW9C, 6533032]
[paragraph, [377.0, 495.0, 303.0, 18.0], GqRlyRCW9C, 6533032]
[paragraph, [377.0, 513.0, 303.0, 18.0], GqRlyRCW9C, 6533032]
[paragraph, [377.0, 531.0, 303.0, 18.0], GqRlyRCW9C, 6533032]
