[975, 573]
[paragraph, [31.0, 79.0, 526.0, 18.0], shoonya_2s6Z9AA75TRLAJ, 5776487]
[paragraph, [31.0, 97.0, 526.0, 18.0], shoonya_2s6Z9AA75TRLAJ, 5776487]
[paragraph, [31.0, 115.0, 526.0, 18.0], shoonya_2s6Z9AA75TRLAJ, 5776487]
[paragraph, [31.0, 133.0, 526.0, 18.0], shoonya_2s6Z9AA75TRLAJ, 5776487]
[paragraph, [31.0, 151.0, 526.0, 18.0], shoonya_2s6Z9AA75TRLAJ, 5776487]
[paragraph, [31.0, 169.0, 526.0, 18.0], shoonya_2s6Z9AA75TRLAJ, 5776487]
[paragraph, [31.0, 187.0, 526.0, 18.0], shoonya_2s6Z9AA75TRLAJ, 5776487]
[paragraph, [31.0, 205.0, 526.0, 18.0], shoonya_2s6Z9AA75TRLAJ, 5776487]
[paragraph, [31.0, 223.0, 526.0, 18.0], shoonya_2s6Z9AA75TRLAJ, 5776487]
[paragraph, [31.0, 241.0, 526.0, 18.0], shoonya_2s6Z9AA75TRLAJ, 5776487]
[paragraph, [31.0, 259.0, 526.0, 18.0], shoonya_2s6Z9AA75TRLAJ, 5776487]
[paragraph, [33.0, 276.0, 517.0, 18.0], shoonya_1sPB25K4OP41B1, 5776487]
[paragraph, [33.0, 294.0, 517.0, 18.0], shoonya_1sPB25K4OP41B1, 5776487]
[paragraph, [33.0, 312.0, 517.0, 18.0], shoonya_1sPB25K4OP41B1, 5776487]
[paragraph, [33.0, 330.0, 517.0, 18.0], shoonya_1sPB25K4OP41B1, 5776487]
[paragraph, [33.0, 348.0, 517.0, 18.0], shoonya_1sPB25K4OP41B1, 5776487]
[paragraph, [33.0, 366.0, 517.0, 18.0], shoonya_1sPB25K4OP41B1, 5776487]
[paragraph, [33.0, 384.0, 517.0, 18.0], shoonya_1sPB25K4OP41B1, 5776487]
[paragraph, [33.0, 402.0, 517.0, 18.0], shoonya_1sPB25K4OP41B1, 5776487]
[paragraph, [33.0, 420.0, 517.0, 18.0], shoonya_1sPB25K4OP41B1, 5776487]
[paragraph, [32.0, 450.0, 516.0, 18.0], shoonya_6s9GAGS2JDOD7Z, 5776487]
[paragraph, [32.0, 468.0, 516.0, 18.0], shoonya_6s9GAGS2JDOD7Z, 5776487]
[paragraph, [31.0, 487.0, 519.0, 18.0], shoonya_3sEX3249520D41, 5776487]
[paragraph, [31.0, 505.0, 519.0, 18.0], shoonya_3sEX3249520D41, 5776487]
[paragraph, [34.0, 525.0, 516.0, 18.0], Wer5EQQ36Q, 5776487]
[paragraph, [34.0, 543.0, 516.0, 18.0], Wer5EQQ36Q, 5776487]
[paragraph, [32.0, 567.0, 513.0, 18.0], shoonya_5sO1NTV4X0WHBA, 5776487]
[paragraph, [32.0, 585.0, 513.0, 18.0], shoonya_5sO1NTV4X0WHBA, 5776487]
[paragraph, [32.0, 603.0, 513.0, 18.0], shoonya_5sO1NTV4X0WHBA, 5776487]
[paragraph, [32.0, 621.0, 513.0, 18.0], shoonya_5sO1NTV4X0WHBA, 5776487]
[paragraph, [29.0, 645.0, 513.0, 18.0], shoonya_0sKEEF4A60HL0Y, 5776487]
[paragraph, [29.0, 663.0, 513.0, 18.0], shoonya_0sKEEF4A60HL0Y, 5776487]
[paragraph, [29.0, 681.0, 513.0, 18.0], shoonya_0sKEEF4A60HL0Y, 5776487]
[paragraph, [29.0, 699.0, 513.0, 18.0], shoonya_0sKEEF4A60HL0Y, 5776487]
[paragraph, [29.0, 717.0, 513.0, 18.0], shoonya_0sKEEF4A60HL0Y, 5776487]
[paragraph, [29.0, 735.0, 513.0, 18.0], shoonya_0sKEEF4A60HL0Y, 5776487]
[paragraph, [29.0, 753.0, 513.0, 18.0], shoonya_0sKEEF4A60HL0Y, 5776487]
[paragraph, [29.0, 771.0, 513.0, 18.0], shoonya_0sKEEF4A60HL0Y, 5776487]
[paragraph, [29.0, 789.0, 513.0, 18.0], shoonya_0sKEEF4A60HL0Y, 5776487]
[paragraph, [29.0, 817.0, 512.0, 18.0], shoonya_4sT4F11LGFN7HD, 5776487]
[paragraph, [29.0, 835.0, 512.0, 18.0], shoonya_4sT4F11LGFN7HD, 5776487]
[paragraph, [29.0, 853.0, 512.0, 18.0], shoonya_4sT4F11LGFN7HD, 5776487]
[paragraph, [29.0, 871.0, 512.0, 18.0], shoonya_4sT4F11LGFN7HD, 5776487]
[paragraph, [29.0, 889.0, 512.0, 18.0], shoonya_4sT4F11LGFN7HD, 5776487]
