[1050, 693]
[folio, [79.0, 77.0, 84.0, 18.0], shoonya_2sRNRAZM284VKE, 5702537]
[folio, [79.0, 95.0, 84.0, 18.0], shoonya_2sRNRAZM284VKE, 5702537]
[paragraph, [81.0, 129.0, 526.0, 18.0], shoonya_5s8N9EZOUXENRI, 5702537]
[paragraph, [81.0, 147.0, 526.0, 18.0], shoonya_5s8N9EZOUXENRI, 5702537]
[paragraph, [81.0, 165.0, 526.0, 18.0], shoonya_5s8N9EZOUXENRI, 5702537]
[paragraph, [85.0, 209.0, 522.0, 18.0], bArSuOKSHX, 5702537]
[paragraph, [85.0, 227.0, 522.0, 18.0], bArSuOKSHX, 5702537]
[paragraph, [85.0, 245.0, 522.0, 18.0], bArSuOKSHX, 5702537]
[paragraph, [86.0, 277.0, 518.0, 18.0], V04ioFfgAW, 5702537]
[paragraph, [86.0, 295.0, 518.0, 18.0], V04ioFfgAW, 5702537]
[paragraph, [86.0, 313.0, 518.0, 18.0], V04ioFfgAW, 5702537]
[paragraph, [82.0, 342.0, 520.0, 18.0], T354gGY79y, 5702537]
[paragraph, [82.0, 360.0, 520.0, 18.0], T354gGY79y, 5702537]
[paragraph, [82.0, 378.0, 520.0, 18.0], T354gGY79y, 5702537]
[paragraph, [81.0, 416.0, 529.0, 18.0], shoonya_0sLKFIMLLAYGTC, 5702537]
[paragraph, [81.0, 434.0, 529.0, 18.0], shoonya_0sLKFIMLLAYGTC, 5702537]
[paragraph, [81.0, 452.0, 529.0, 18.0], shoonya_0sLKFIMLLAYGTC, 5702537]
[paragraph, [81.0, 470.0, 529.0, 18.0], shoonya_0sLKFIMLLAYGTC, 5702537]
[paragraph, [81.0, 488.0, 529.0, 18.0], shoonya_0sLKFIMLLAYGTC, 5702537]
[paragraph, [81.0, 506.0, 529.0, 18.0], shoonya_0sLKFIMLLAYGTC, 5702537]
[paragraph, [81.0, 524.0, 529.0, 18.0], shoonya_0sLKFIMLLAYGTC, 5702537]
[paragraph, [81.0, 542.0, 529.0, 18.0], shoonya_0sLKFIMLLAYGTC, 5702537]
[paragraph, [81.0, 560.0, 529.0, 18.0], shoonya_0sLKFIMLLAYGTC, 5702537]
[paragraph, [81.0, 578.0, 529.0, 18.0], shoonya_0sLKFIMLLAYGTC, 5702537]
[paragraph, [83.0, 613.0, 526.0, 18.0], shoonya_1sACZMI4XHG0JJ, 5702537]
[paragraph, [83.0, 631.0, 526.0, 18.0], shoonya_1sACZMI4XHG0JJ, 5702537]
[paragraph, [83.0, 649.0, 526.0, 18.0], shoonya_1sACZMI4XHG0JJ, 5702537]
[paragraph, [83.0, 667.0, 526.0, 18.0], shoonya_1sACZMI4XHG0JJ, 5702537]
[paragraph, [83.0, 685.0, 526.0, 18.0], shoonya_1sACZMI4XHG0JJ, 5702537]
[paragraph, [83.0, 703.0, 526.0, 18.0], shoonya_1sACZMI4XHG0JJ, 5702537]
[paragraph, [83.0, 721.0, 526.0, 18.0], shoonya_1sACZMI4XHG0JJ, 5702537]
[paragraph, [83.0, 739.0, 526.0, 18.0], shoonya_1sACZMI4XHG0JJ, 5702537]
[paragraph, [83.0, 770.0, 527.0, 18.0], shoonya_4sEA8XZ6XKK6XT, 5702537]
[paragraph, [83.0, 788.0, 527.0, 18.0], shoonya_4sEA8XZ6XKK6XT, 5702537]
[paragraph, [83.0, 806.0, 527.0, 18.0], shoonya_4sEA8XZ6XKK6XT, 5702537]
[paragraph, [83.0, 824.0, 527.0, 18.0], shoonya_4sEA8XZ6XKK6XT, 5702537]
[paragraph, [83.0, 842.0, 527.0, 18.0], shoonya_4sEA8XZ6XKK6XT, 5702537]
[paragraph, [83.0, 860.0, 527.0, 18.0], shoonya_4sEA8XZ6XKK6XT, 5702537]
[paragraph, [83.0, 878.0, 527.0, 18.0], shoonya_4sEA8XZ6XKK6XT, 5702537]
[paragraph, [82.0, 907.0, 529.0, 18.0], shoonya_3sGQA0E6IZB0XM, 5702537]
[paragraph, [82.0, 925.0, 529.0, 18.0], shoonya_3sGQA0E6IZB0XM, 5702537]
[paragraph, [82.0, 943.0, 529.0, 18.0], shoonya_3sGQA0E6IZB0XM, 5702537]
