[2339, 1654]
[paragraph, [185.0, 254.0, 1276.0, 36.0], shoonya_5sHJ95AHKSX246, 5685702]
[paragraph, [185.0, 290.0, 1276.0, 36.0], shoonya_5sHJ95AHKSX246, 5685702]
[paragraph, [185.0, 326.0, 1276.0, 36.0], shoonya_5sHJ95AHKSX246, 5685702]
[paragraph, [185.0, 362.0, 1276.0, 36.0], shoonya_5sHJ95AHKSX246, 5685702]
[paragraph, [179.0, 473.0, 1282.0, 36.0], shoonya_3sIBKWT8G5GEV1, 5685702]
[paragraph, [179.0, 509.0, 1282.0, 36.0], shoonya_3sIBKWT8G5GEV1, 5685702]
[paragraph, [179.0, 545.0, 1282.0, 36.0], shoonya_3sIBKWT8G5GEV1, 5685702]
[paragraph, [179.0, 581.0, 1282.0, 36.0], shoonya_3sIBKWT8G5GEV1, 5685702]
[paragraph, [179.0, 617.0, 1282.0, 36.0], shoonya_3sIBKWT8G5GEV1, 5685702]
[paragraph, [179.0, 653.0, 1282.0, 36.0], shoonya_3sIBKWT8G5GEV1, 5685702]
[paragraph, [179.0, 689.0, 1282.0, 36.0], shoonya_3sIBKWT8G5GEV1, 5685702]
[paragraph, [179.0, 725.0, 1282.0, 36.0], shoonya_3sIBKWT8G5GEV1, 5685702]
[paragraph, [179.0, 761.0, 1282.0, 36.0], shoonya_3sIBKWT8G5GEV1, 5685702]
[paragraph, [179.0, 797.0, 1282.0, 36.0], shoonya_3sIBKWT8G5GEV1, 5685702]
[paragraph, [183.0, 890.0, 1282.0, 36.0], shoonya_1s8444C7EEBI3K, 5685702]
[paragraph, [183.0, 926.0, 1282.0, 36.0], shoonya_1s8444C7EEBI3K, 5685702]
[paragraph, [183.0, 962.0, 1282.0, 36.0], shoonya_1s8444C7EEBI3K, 5685702]
[paragraph, [183.0, 998.0, 1282.0, 36.0], shoonya_1s8444C7EEBI3K, 5685702]
[paragraph, [183.0, 1034.0, 1282.0, 36.0], shoonya_1s8444C7EEBI3K, 5685702]
[paragraph, [183.0, 1070.0, 1282.0, 36.0], shoonya_1s8444C7EEBI3K, 5685702]
[paragraph, [183.0, 1106.0, 1282.0, 36.0], shoonya_1s8444C7EEBI3K, 5685702]
[paragraph, [183.0, 1142.0, 1282.0, 36.0], shoonya_1s8444C7EEBI3K, 5685702]
[paragraph, [183.0, 1178.0, 1282.0, 36.0], shoonya_1s8444C7EEBI3K, 5685702]
[paragraph, [183.0, 1214.0, 1282.0, 36.0], shoonya_1s8444C7EEBI3K, 5685702]
[paragraph, [183.0, 1250.0, 1282.0, 36.0], shoonya_1s8444C7EEBI3K, 5685702]
[paragraph, [183.0, 1286.0, 1282.0, 36.0], shoonya_1s8444C7EEBI3K, 5685702]
[paragraph, [183.0, 1322.0, 1282.0, 36.0], shoonya_1s8444C7EEBI3K, 5685702]
[paragraph, [183.0, 1358.0, 1282.0, 36.0], shoonya_1s8444C7EEBI3K, 5685702]
[paragraph, [183.0, 1394.0, 1282.0, 36.0], shoonya_1s8444C7EEBI3K, 5685702]
[paragraph, [183.0, 1430.0, 1282.0, 36.0], shoonya_1s8444C7EEBI3K, 5685702]
[paragraph, [183.0, 1466.0, 1282.0, 36.0], shoonya_1s8444C7EEBI3K, 5685702]
[paragraph, [183.0, 1502.0, 1282.0, 36.0], shoonya_1s8444C7EEBI3K, 5685702]
[paragraph, [184.0, 1596.0, 1277.0, 36.0], shoonya_0s3IUCLPQOQZLU, 5685702]
[paragraph, [184.0, 1632.0, 1277.0, 36.0], shoonya_0s3IUCLPQOQZLU, 5685702]
[paragraph, [184.0, 1668.0, 1277.0, 36.0], shoonya_0s3IUCLPQOQZLU, 5685702]
[paragraph, [184.0, 1704.0, 1277.0, 36.0], shoonya_0s3IUCLPQOQZLU, 5685702]
[paragraph, [184.0, 1740.0, 1277.0, 36.0], shoonya_0s3IUCLPQOQZLU, 5685702]
[paragraph, [184.0, 1776.0, 1277.0, 36.0], shoonya_0s3IUCLPQOQZLU, 5685702]
[paragraph, [184.0, 1812.0, 1277.0, 36.0], shoonya_0s3IUCLPQOQZLU, 5685702]
[paragraph, [184.0, 1848.0, 1277.0, 36.0], shoonya_0s3IUCLPQOQZLU, 5685702]
[paragraph, [184.0, 1884.0, 1277.0, 36.0], shoonya_0s3IUCLPQOQZLU, 5685702]
[paragraph, [184.0, 1920.0, 1277.0, 36.0], shoonya_0s3IUCLPQOQZLU, 5685702]
[paragraph, [184.0, 1956.0, 1277.0, 36.0], shoonya_0s3IUCLPQOQZLU, 5685702]
[paragraph, [184.0, 1992.0, 1277.0, 36.0], shoonya_0s3IUCLPQOQZLU, 5685702]
