[668, 446]
[folio, [49.0, 59.0, 65.0, 18.0], 4CsCj6QjKy, 6493787]
[paragraph, [24.0, 83.0, 400.0, 18.0], shoonya_0sURVWLT82K94W, 6493787]
[paragraph, [26.0, 113.0, 398.0, 18.0], JtXmR11kHZ, 6493787]
[paragraph, [26.0, 131.0, 398.0, 18.0], JtXmR11kHZ, 6493787]
[paragraph, [26.0, 149.0, 398.0, 18.0], JtXmR11kHZ, 6493787]
[paragraph, [26.0, 167.0, 398.0, 18.0], JtXmR11kHZ, 6493787]
[paragraph, [26.0, 185.0, 398.0, 18.0], JtXmR11kHZ, 6493787]
[paragraph, [26.0, 203.0, 398.0, 18.0], JtXmR11kHZ, 6493787]
[paragraph, [26.0, 221.0, 398.0, 18.0], JtXmR11kHZ, 6493787]
[paragraph, [26.0, 239.0, 398.0, 18.0], JtXmR11kHZ, 6493787]
[paragraph, [26.0, 257.0, 398.0, 18.0], JtXmR11kHZ, 6493787]
[paragraph, [26.0, 275.0, 398.0, 18.0], JtXmR11kHZ, 6493787]
[paragraph, [26.0, 293.0, 398.0, 18.0], JtXmR11kHZ, 6493787]
[paragraph, [26.0, 311.0, 398.0, 18.0], JtXmR11kHZ, 6493787]
[paragraph, [25.0, 339.0, 400.0, 18.0], TojKMYiMtV, 6493787]
[paragraph, [25.0, 357.0, 400.0, 18.0], TojKMYiMtV, 6493787]
[paragraph, [25.0, 375.0, 400.0, 18.0], TojKMYiMtV, 6493787]
[paragraph, [25.0, 393.0, 400.0, 18.0], TojKMYiMtV, 6493787]
[paragraph, [25.0, 411.0, 400.0, 18.0], TojKMYiMtV, 6493787]
[paragraph, [25.0, 429.0, 400.0, 18.0], TojKMYiMtV, 6493787]
[paragraph, [25.0, 447.0, 400.0, 18.0], TojKMYiMtV, 6493787]
[paragraph, [25.0, 465.0, 400.0, 18.0], TojKMYiMtV, 6493787]
[paragraph, [25.0, 483.0, 400.0, 18.0], TojKMYiMtV, 6493787]
[paragraph, [25.0, 501.0, 400.0, 18.0], TojKMYiMtV, 6493787]
[paragraph, [23.0, 523.0, 404.0, 18.0], 57F1J-niCw, 6493787]
[paragraph, [23.0, 541.0, 404.0, 18.0], 57F1J-niCw, 6493787]
[paragraph, [23.0, 559.0, 404.0, 18.0], 57F1J-niCw, 6493787]
[paragraph, [23.0, 577.0, 404.0, 18.0], 57F1J-niCw, 6493787]
