[1571, 1128]
[author, [126.0, 139.0, 180.0, 36.0], 4OQbaougdp, 6471999]
[headline, [250.0, 204.0, 484.0, 37.5], oXXbg-evV6, 6471999]
[headline, [250.0, 241.5, 484.0, 37.5], oXXbg-evV6, 6471999]
[headline, [250.0, 279.0, 484.0, 37.5], oXXbg-evV6, 6471999]
[headline, [250.0, 316.5, 484.0, 37.5], oXXbg-evV6, 6471999]
[headline, [250.0, 354.0, 484.0, 37.5], oXXbg-evV6, 6471999]
[paragraph, [118.0, 424.0, 920.0, 36.0], n4iDxUeqIT, 6471999]
[paragraph, [118.0, 460.0, 920.0, 36.0], n4iDxUeqIT, 6471999]
[paragraph, [118.0, 496.0, 920.0, 36.0], n4iDxUeqIT, 6471999]
[paragraph, [118.0, 532.0, 920.0, 36.0], n4iDxUeqIT, 6471999]
[paragraph, [126.0, 591.0, 445.0, 36.0], nk08DCEFev, 6471999]
[paragraph, [126.0, 627.0, 445.0, 36.0], nk08DCEFev, 6471999]
[paragraph, [126.0, 663.0, 445.0, 36.0], nk08DCEFev, 6471999]
[paragraph, [126.0, 699.0, 445.0, 36.0], nk08DCEFev, 6471999]
[paragraph, [126.0, 735.0, 445.0, 36.0], nk08DCEFev, 6471999]
[paragraph, [126.0, 771.0, 445.0, 36.0], nk08DCEFev, 6471999]
[paragraph, [126.0, 807.0, 445.0, 36.0], nk08DCEFev, 6471999]
[paragraph, [126.0, 843.0, 445.0, 36.0], nk08DCEFev, 6471999]
[paragraph, [585.0, 600.0, 452.0, 36.0], Xb7LP_huaK, 6471999]
[paragraph, [584.0, 655.0, 453.0, 36.0], shoonya_0sT71C7KIQRPBD, 6471999]
[paragraph, [584.0, 691.0, 453.0, 36.0], shoonya_0sT71C7KIQRPBD, 6471999]
[paragraph, [584.0, 727.0, 453.0, 36.0], shoonya_0sT71C7KIQRPBD, 6471999]
[paragraph, [584.0, 763.0, 453.0, 36.0], shoonya_0sT71C7KIQRPBD, 6471999]
[paragraph, [584.0, 799.0, 453.0, 36.0], shoonya_0sT71C7KIQRPBD, 6471999]
[paragraph, [584.0, 835.0, 453.0, 36.0], shoonya_0sT71C7KIQRPBD, 6471999]
[paragraph, [584.0, 871.0, 453.0, 36.0], shoonya_0sT71C7KIQRPBD, 6471999]
[paragraph, [584.0, 907.0, 453.0, 36.0], shoonya_0sT71C7KIQRPBD, 6471999]
[paragraph, [584.0, 943.0, 453.0, 36.0], shoonya_0sT71C7KIQRPBD, 6471999]
[paragraph, [584.0, 979.0, 453.0, 36.0], shoonya_0sT71C7KIQRPBD, 6471999]
[paragraph, [584.0, 1015.0, 453.0, 36.0], shoonya_0sT71C7KIQRPBD, 6471999]
[paragraph, [584.0, 1051.0, 453.0, 36.0], shoonya_0sT71C7KIQRPBD, 6471999]
[paragraph, [584.0, 1087.0, 453.0, 36.0], shoonya_0sT71C7KIQRPBD, 6471999]
[paragraph, [584.0, 1123.0, 453.0, 36.0], shoonya_0sT71C7KIQRPBD, 6471999]
[paragraph, [584.0, 1159.0, 453.0, 36.0], shoonya_0sT71C7KIQRPBD, 6471999]
[paragraph, [584.0, 1195.0, 453.0, 36.0], shoonya_0sT71C7KIQRPBD, 6471999]
[paragraph, [584.0, 1231.0, 453.0, 36.0], shoonya_0sT71C7KIQRPBD, 6471999]
[paragraph, [584.0, 1267.0, 453.0, 36.0], shoonya_0sT71C7KIQRPBD, 6471999]
[paragraph, [584.0, 1303.0, 453.0, 36.0], shoonya_0sT71C7KIQRPBD, 6471999]
[paragraph, [584.0, 1339.0, 453.0, 36.0], shoonya_0sT71C7KIQRPBD, 6471999]
[paragraph, [584.0, 1375.0, 453.0, 36.0], shoonya_0sT71C7KIQRPBD, 6471999]
[paragraph, [125.0, 900.0, 450.0, 36.0], e8b_J5g7F0, 6471999]
[paragraph, [125.0, 936.0, 450.0, 36.0], e8b_J5g7F0, 6471999]
[paragraph, [125.0, 972.0, 450.0, 36.0], e8b_J5g7F0, 6471999]
[paragraph, [125.0, 1008.0, 450.0, 36.0], e8b_J5g7F0, 6471999]
[paragraph, [125.0, 1044.0, 450.0, 36.0], e8b_J5g7F0, 6471999]
[paragraph, [125.0, 1080.0, 450.0, 36.0], e8b_J5g7F0, 6471999]
[paragraph, [125.0, 1116.0, 450.0, 36.0], e8b_J5g7F0, 6471999]
[paragraph, [125.0, 1152.0, 450.0, 36.0], e8b_J5g7F0, 6471999]
[paragraph, [125.0, 1188.0, 450.0, 36.0], e8b_J5g7F0, 6471999]
[paragraph, [125.0, 1224.0, 450.0, 36.0], e8b_J5g7F0, 6471999]
[paragraph, [125.0, 1260.0, 450.0, 36.0], e8b_J5g7F0, 6471999]
[paragraph, [125.0, 1296.0, 450.0, 36.0], e8b_J5g7F0, 6471999]
[paragraph, [125.0, 1332.0, 450.0, 36.0], e8b_J5g7F0, 6471999]
[paragraph, [125.0, 1368.0, 450.0, 36.0], e8b_J5g7F0, 6471999]
[sidebar, [468.0, 993.0, 208.0, 36.0], 4w4dTSgbKq, 6471999]
[sidebar, [468.0, 1029.0, 208.0, 36.0], 4w4dTSgbKq, 6471999]
[sidebar, [468.0, 1065.0, 208.0, 36.0], 4w4dTSgbKq, 6471999]
[sidebar, [468.0, 1101.0, 208.0, 36.0], 4w4dTSgbKq, 6471999]
[sidebar, [468.0, 1137.0, 208.0, 36.0], 4w4dTSgbKq, 6471999]
[sidebar, [468.0, 1173.0, 208.0, 36.0], 4w4dTSgbKq, 6471999]
[sidebar, [468.0, 1209.0, 208.0, 36.0], 4w4dTSgbKq, 6471999]
[sidebar, [468.0, 1245.0, 208.0, 36.0], 4w4dTSgbKq, 6471999]
