[1008, 612]
[paragraph, [77.0, 83.0, 471.0, 18.0], PN0e1bVH5d, 5717561]
[ordered-list, [80.0, 123.0, 473.0, 18.0], xbmb99dnqa, 5717561]
[ordered-list, [80.0, 141.0, 473.0, 18.0], xbmb99dnqa, 5717561]
[ordered-list, [80.0, 159.0, 473.0, 18.0], xbmb99dnqa, 5717561]
[ordered-list, [80.0, 177.0, 473.0, 18.0], xbmb99dnqa, 5717561]
[ordered-list, [80.0, 195.0, 473.0, 18.0], xbmb99dnqa, 5717561]
[ordered-list, [80.0, 213.0, 473.0, 18.0], xbmb99dnqa, 5717561]
[ordered-list, [80.0, 231.0, 473.0, 18.0], xbmb99dnqa, 5717561]
[ordered-list, [80.0, 249.0, 473.0, 18.0], xbmb99dnqa, 5717561]
[ordered-list, [80.0, 267.0, 473.0, 18.0], xbmb99dnqa, 5717561]
[ordered-list, [60.0, 297.0, 495.0, 18.0], lUGf6qdOKo, 5717561]
[ordered-list, [60.0, 315.0, 495.0, 18.0], lUGf6qdOKo, 5717561]
[ordered-list, [60.0, 333.0, 495.0, 18.0], lUGf6qdOKo, 5717561]
[ordered-list, [60.0, 351.0, 495.0, 18.0], lUGf6qdOKo, 5717561]
[ordered-list, [60.0, 369.0, 495.0, 18.0], lUGf6qdOKo, 5717561]
[ordered-list, [60.0, 387.0, 495.0, 18.0], lUGf6qdOKo, 5717561]
[ordered-list, [60.0, 405.0, 495.0, 18.0], lUGf6qdOKo, 5717561]
[ordered-list, [60.0, 423.0, 495.0, 18.0], lUGf6qdOKo, 5717561]
[ordered-list, [60.0, 441.0, 495.0, 18.0], lUGf6qdOKo, 5717561]
[ordered-list, [60.0, 459.0, 495.0, 18.0], lUGf6qdOKo, 5717561]
[ordered-list, [60.0, 477.0, 495.0, 18.0], lUGf6qdOKo, 5717561]
[ordered-list, [60.0, 495.0, 495.0, 18.0], lUGf6qdOKo, 5717561]
[ordered-list, [60.0, 513.0, 495.0, 18.0], lUGf6qdOKo, 5717561]
[ordered-list, [60.0, 531.0, 495.0, 18.0], lUGf6qdOKo, 5717561]
[ordered-list, [60.0, 549.0, 495.0, 18.0], lUGf6qdOKo, 5717561]
[ordered-list, [60.0, 567.0, 495.0, 18.0], lUGf6qdOKo, 5717561]
[ordered-list, [60.0, 585.0, 495.0, 18.0], lUGf6qdOKo, 5717561]
[ordered-list, [60.0, 603.0, 495.0, 18.0], lUGf6qdOKo, 5717561]
[ordered-list, [60.0, 621.0, 495.0, 18.0], lUGf6qdOKo, 5717561]
[ordered-list, [60.0, 639.0, 495.0, 18.0], lUGf6qdOKo, 5717561]
[ordered-list, [60.0, 657.0, 495.0, 18.0], lUGf6qdOKo, 5717561]
[ordered-list, [60.0, 675.0, 495.0, 18.0], lUGf6qdOKo, 5717561]
[ordered-list, [60.0, 693.0, 495.0, 18.0], lUGf6qdOKo, 5717561]
[ordered-list, [60.0, 711.0, 495.0, 18.0], lUGf6qdOKo, 5717561]
[ordered-list, [60.0, 729.0, 495.0, 18.0], lUGf6qdOKo, 5717561]
[ordered-list, [60.0, 747.0, 495.0, 18.0], lUGf6qdOKo, 5717561]
[sub-ordered-list, [76.0, 298.0, 476.0, 18.0], CWFMgX_HOl, 5717561]
[sub-ordered-list, [76.0, 316.0, 476.0, 18.0], CWFMgX_HOl, 5717561]
[sub-ordered-list, [76.0, 334.0, 476.0, 18.0], CWFMgX_HOl, 5717561]
[sub-ordered-list, [76.0, 352.0, 476.0, 18.0], CWFMgX_HOl, 5717561]
[sub-ordered-list, [76.0, 370.0, 476.0, 18.0], CWFMgX_HOl, 5717561]
[sub-ordered-list, [76.0, 388.0, 476.0, 18.0], CWFMgX_HOl, 5717561]
[sub-ordered-list, [76.0, 406.0, 476.0, 18.0], CWFMgX_HOl, 5717561]
[sub-ordered-list, [76.0, 424.0, 476.0, 18.0], CWFMgX_HOl, 5717561]
[sub-ordered-list, [76.0, 442.0, 476.0, 18.0], CWFMgX_HOl, 5717561]
[sub-ordered-list, [76.0, 460.0, 476.0, 18.0], CWFMgX_HOl, 5717561]
[sub-ordered-list, [76.0, 478.0, 476.0, 18.0], CWFMgX_HOl, 5717561]
[sub-ordered-list, [76.0, 496.0, 476.0, 18.0], CWFMgX_HOl, 5717561]
[sub-ordered-list, [76.0, 514.0, 476.0, 18.0], CWFMgX_HOl, 5717561]
[sub-ordered-list, [76.0, 532.0, 476.0, 18.0], CWFMgX_HOl, 5717561]
[subsub-ordered-list, [117.0, 317.0, 435.0, 18.0], yHadXdTYYp, 5717561]
[subsub-ordered-list, [117.0, 335.0, 435.0, 18.0], yHadXdTYYp, 5717561]
[subsub-ordered-list, [117.0, 353.0, 435.0, 18.0], yHadXdTYYp, 5717561]
[subsub-ordered-list, [117.0, 371.0, 435.0, 18.0], yHadXdTYYp, 5717561]
[subsub-ordered-list, [117.0, 389.0, 435.0, 18.0], yHadXdTYYp, 5717561]
[subsub-ordered-list, [117.0, 407.0, 435.0, 18.0], yHadXdTYYp, 5717561]
[subsub-ordered-list, [117.0, 425.0, 435.0, 18.0], yHadXdTYYp, 5717561]
[sub-ordered-list, [71.0, 588.0, 483.0, 18.0], pdiEO14Fjm, 5717561]
[sub-ordered-list, [71.0, 606.0, 483.0, 18.0], pdiEO14Fjm, 5717561]
[sub-ordered-list, [71.0, 624.0, 483.0, 18.0], pdiEO14Fjm, 5717561]
[sub-ordered-list, [71.0, 642.0, 483.0, 18.0], pdiEO14Fjm, 5717561]
[sub-ordered-list, [71.0, 660.0, 483.0, 18.0], pdiEO14Fjm, 5717561]
[sub-ordered-list, [71.0, 678.0, 483.0, 18.0], pdiEO14Fjm, 5717561]
[sub-ordered-list, [71.0, 696.0, 483.0, 18.0], pdiEO14Fjm, 5717561]
[sub-ordered-list, [71.0, 714.0, 483.0, 18.0], pdiEO14Fjm, 5717561]
[sub-ordered-list, [71.0, 732.0, 483.0, 18.0], pdiEO14Fjm, 5717561]
