[1224, 1584]
[section-title, [639.0, 27.0, 846.0, 30.0], shoonya_20s169SR76QYGL, 5715892]
[section-title, [639.0, 57.0, 846.0, 30.0], shoonya_20s169SR76QYGL, 5715892]
[paragraph, [574.0, 102.0, 487.0, 18.0], w22pLEeKw3, 5715892]
[paragraph, [574.0, 120.0, 487.0, 18.0], w22pLEeKw3, 5715892]
[paragraph, [574.0, 138.0, 487.0, 18.0], w22pLEeKw3, 5715892]
[quote, [1314.0, 116.0, 243.0, 18.0], mt8VHaCPtr, 5715892]
[quote, [1314.0, 134.0, 243.0, 18.0], mt8VHaCPtr, 5715892]
[quote, [1314.0, 152.0, 243.0, 18.0], mt8VHaCPtr, 5715892]
[quote, [1314.0, 170.0, 243.0, 18.0], mt8VHaCPtr, 5715892]
[quote, [1314.0, 188.0, 243.0, 18.0], mt8VHaCPtr, 5715892]
[quote, [1314.0, 206.0, 243.0, 18.0], mt8VHaCPtr, 5715892]
[quote, [1314.0, 224.0, 243.0, 18.0], mt8VHaCPtr, 5715892]
[quote, [1314.0, 242.0, 243.0, 18.0], mt8VHaCPtr, 5715892]
[quote, [1314.0, 260.0, 243.0, 18.0], mt8VHaCPtr, 5715892]
[quote, [1314.0, 278.0, 243.0, 18.0], mt8VHaCPtr, 5715892]
[section-title, [87.0, 148.0, 357.0, 30.0], shoonya_12s7HGCUMWG2FM, 5715892]
[section-title, [87.0, 178.0, 357.0, 30.0], shoonya_12s7HGCUMWG2FM, 5715892]
[paragraph, [574.0, 162.0, 469.0, 18.0], T-4G6bg4xZ, 5715892]
[paragraph, [574.0, 180.0, 469.0, 18.0], T-4G6bg4xZ, 5715892]
[paragraph, [572.0, 213.0, 469.0, 18.0], u0aA5fFDwu, 5715892]
[dateline, [102.0, 244.0, 344.0, 64.5], shoonya_18sXT8KWKKXJHC, 5715892]
[paragraph, [566.0, 255.0, 459.0, 18.0], KjrvTtssFD, 5715892]
[paragraph, [566.0, 273.0, 459.0, 18.0], KjrvTtssFD, 5715892]
[figure-caption, [1095.0, 263.0, 202.0, 18.0], shoonya_6sYH77P3U9TYH1, 5715892]
[paragraph, [1097.0, 334.0, 470.0, 18.0], shoonya_3sFXCUDVMUD53V, 5715892]
[paragraph, [1097.0, 352.0, 470.0, 18.0], shoonya_3sFXCUDVMUD53V, 5715892]
[paragraph, [1097.0, 370.0, 470.0, 18.0], shoonya_3sFXCUDVMUD53V, 5715892]
[quote, [584.0, 358.0, 215.0, 18.0], g-7b2UUncS, 5715892]
[quote, [584.0, 376.0, 215.0, 18.0], g-7b2UUncS, 5715892]
[quote, [584.0, 394.0, 215.0, 18.0], g-7b2UUncS, 5715892]
[quote, [584.0, 412.0, 215.0, 18.0], g-7b2UUncS, 5715892]
[quote, [584.0, 430.0, 215.0, 18.0], g-7b2UUncS, 5715892]
[quote, [584.0, 448.0, 215.0, 18.0], g-7b2UUncS, 5715892]
[quote, [584.0, 466.0, 215.0, 18.0], g-7b2UUncS, 5715892]
[unordered-list, [1084.0, 401.0, 232.0, 18.0], shoonya_2s7RAWDUAHGTRA, 5715892]
[unordered-list, [1084.0, 419.0, 232.0, 18.0], shoonya_2s7RAWDUAHGTRA, 5715892]
[unordered-list, [1084.0, 437.0, 232.0, 18.0], shoonya_2s7RAWDUAHGTRA, 5715892]
[unordered-list, [1084.0, 455.0, 232.0, 18.0], shoonya_2s7RAWDUAHGTRA, 5715892]
[unordered-list, [1084.0, 473.0, 232.0, 18.0], shoonya_2s7RAWDUAHGTRA, 5715892]
