[1818, 1374]
[folio, [611.0, 159.0, 154.0, 36.0], shoonya_0sU1IJP1YW4TUL, 5681971]
[paragraph, [104.0, 226.0, 568.0, 36.0], BoS7UbwNLw, 5681971]
[paragraph, [104.0, 262.0, 568.0, 36.0], BoS7UbwNLw, 5681971]
[paragraph, [695.0, 228.0, 565.0, 36.0], fQOUt8-6f0, 5681971]
[paragraph, [695.0, 264.0, 565.0, 36.0], fQOUt8-6f0, 5681971]
[paragraph, [695.0, 300.0, 565.0, 36.0], fQOUt8-6f0, 5681971]
[paragraph, [695.0, 336.0, 565.0, 36.0], fQOUt8-6f0, 5681971]
[paragraph, [695.0, 372.0, 565.0, 36.0], fQOUt8-6f0, 5681971]
[paragraph, [695.0, 408.0, 565.0, 36.0], fQOUt8-6f0, 5681971]
[paragraph, [106.0, 314.0, 566.0, 36.0], JVSLBZu4mB, 5681971]
[paragraph, [106.0, 350.0, 566.0, 36.0], JVSLBZu4mB, 5681971]
[paragraph, [106.0, 437.0, 568.0, 36.0], 93gBO4fNDU, 5681971]
[paragraph, [106.0, 473.0, 568.0, 36.0], 93gBO4fNDU, 5681971]
[paragraph, [106.0, 509.0, 568.0, 36.0], 93gBO4fNDU, 5681971]
[paragraph, [106.0, 545.0, 568.0, 36.0], 93gBO4fNDU, 5681971]
[paragraph, [106.0, 581.0, 568.0, 36.0], 93gBO4fNDU, 5681971]
[paragraph, [687.0, 478.0, 566.0, 36.0], THDXaSMtdx, 5681971]
[paragraph, [687.0, 514.0, 566.0, 36.0], THDXaSMtdx, 5681971]
[paragraph, [687.0, 550.0, 566.0, 36.0], THDXaSMtdx, 5681971]
[paragraph, [687.0, 605.0, 570.0, 36.0], Dj83fqFwgZ, 5681971]
[paragraph, [687.0, 641.0, 570.0, 36.0], Dj83fqFwgZ, 5681971]
[paragraph, [687.0, 677.0, 570.0, 36.0], Dj83fqFwgZ, 5681971]
[paragraph, [106.0, 647.0, 565.0, 36.0], 1YK_eTpqUz, 5681971]
[paragraph, [106.0, 683.0, 565.0, 36.0], 1YK_eTpqUz, 5681971]
[paragraph, [106.0, 719.0, 565.0, 36.0], 1YK_eTpqUz, 5681971]
[paragraph, [692.0, 727.0, 571.0, 36.0], 02L0EcdVid, 5681971]
[paragraph, [692.0, 763.0, 571.0, 36.0], 02L0EcdVid, 5681971]
[paragraph, [692.0, 799.0, 571.0, 36.0], 02L0EcdVid, 5681971]
[paragraph, [692.0, 835.0, 571.0, 36.0], 02L0EcdVid, 5681971]
[paragraph, [692.0, 871.0, 571.0, 36.0], 02L0EcdVid, 5681971]
[paragraph, [111.0, 769.0, 563.0, 36.0], zP6j-aW_0_, 5681971]
[paragraph, [111.0, 805.0, 563.0, 36.0], zP6j-aW_0_, 5681971]
[paragraph, [108.0, 892.0, 568.0, 36.0], Sa5S6iBHXG, 5681971]
[paragraph, [108.0, 928.0, 568.0, 36.0], Sa5S6iBHXG, 5681971]
[paragraph, [108.0, 964.0, 568.0, 36.0], Sa5S6iBHXG, 5681971]
[paragraph, [108.0, 1000.0, 568.0, 36.0], Sa5S6iBHXG, 5681971]
[paragraph, [700.0, 978.0, 565.0, 36.0], ZzbgEIt91d, 5681971]
[paragraph, [700.0, 1014.0, 565.0, 36.0], ZzbgEIt91d, 5681971]
[paragraph, [101.0, 1057.0, 573.0, 36.0], GnVxNz7BpR, 5681971]
[paragraph, [101.0, 1093.0, 573.0, 36.0], GnVxNz7BpR, 5681971]
[paragraph, [101.0, 1129.0, 573.0, 36.0], GnVxNz7BpR, 5681971]
[paragraph, [101.0, 1165.0, 573.0, 36.0], GnVxNz7BpR, 5681971]
[paragraph, [101.0, 1201.0, 573.0, 36.0], GnVxNz7BpR, 5681971]
[paragraph, [704.0, 1059.0, 561.0, 36.0], eCnyyKRnlS, 5681971]
[paragraph, [704.0, 1095.0, 561.0, 36.0], eCnyyKRnlS, 5681971]
[paragraph, [704.0, 1131.0, 561.0, 36.0], eCnyyKRnlS, 5681971]
[paragraph, [704.0, 1167.0, 561.0, 36.0], eCnyyKRnlS, 5681971]
[paragraph, [106.0, 1265.0, 571.0, 36.0], v_H8E_8uIY, 5681971]
[paragraph, [106.0, 1301.0, 571.0, 36.0], v_H8E_8uIY, 5681971]
[paragraph, [106.0, 1337.0, 571.0, 36.0], v_H8E_8uIY, 5681971]
[paragraph, [106.0, 1373.0, 571.0, 36.0], v_H8E_8uIY, 5681971]
[paragraph, [106.0, 1409.0, 571.0, 36.0], v_H8E_8uIY, 5681971]
[paragraph, [106.0, 1445.0, 571.0, 36.0], v_H8E_8uIY, 5681971]
[paragraph, [106.0, 1481.0, 571.0, 36.0], v_H8E_8uIY, 5681971]
[paragraph, [695.0, 1306.0, 573.0, 36.0], wM22mebptP, 5681971]
[paragraph, [695.0, 1342.0, 573.0, 36.0], wM22mebptP, 5681971]
[paragraph, [700.0, 1387.0, 565.0, 36.0], T7XAhX0x7D, 5681971]
[paragraph, [700.0, 1423.0, 565.0, 36.0], T7XAhX0x7D, 5681971]
[paragraph, [700.0, 1459.0, 565.0, 36.0], T7XAhX0x7D, 5681971]
[paragraph, [697.0, 1555.0, 565.0, 36.0], a7jy9yac_B, 5681971]
[paragraph, [697.0, 1591.0, 565.0, 36.0], a7jy9yac_B, 5681971]
[paragraph, [109.0, 1558.0, 568.0, 36.0], xp0R1ajUtk, 5681971]
[paragraph, [109.0, 1594.0, 568.0, 36.0], xp0R1ajUtk, 5681971]
[paragraph, [109.0, 1630.0, 568.0, 36.0], xp0R1ajUtk, 5681971]
[paragraph, [109.0, 1666.0, 568.0, 36.0], xp0R1ajUtk, 5681971]
[paragraph, [695.0, 1636.0, 575.0, 36.0], cYKp_wxW4K, 5681971]
[paragraph, [695.0, 1672.0, 575.0, 36.0], cYKp_wxW4K, 5681971]
