[1267, 753]
[folio, [303.0, 79.0, 149.0, 18.0], shoonya_3sQXE2IX5VZHV2, 5700219]
[paragraph, [82.0, 129.0, 591.0, 18.0], shoonya_2sZ056FBH0XSAE, 5700219]
[paragraph, [82.0, 147.0, 591.0, 18.0], shoonya_2sZ056FBH0XSAE, 5700219]
[paragraph, [82.0, 165.0, 591.0, 18.0], shoonya_2sZ056FBH0XSAE, 5700219]
[paragraph, [77.0, 201.0, 596.0, 18.0], shoonya_0sGD889DZDWJZQ, 5700219]
[paragraph, [77.0, 219.0, 596.0, 18.0], shoonya_0sGD889DZDWJZQ, 5700219]
[paragraph, [77.0, 237.0, 596.0, 18.0], shoonya_0sGD889DZDWJZQ, 5700219]
[paragraph, [77.0, 255.0, 596.0, 18.0], shoonya_0sGD889DZDWJZQ, 5700219]
[paragraph, [77.0, 273.0, 596.0, 18.0], shoonya_0sGD889DZDWJZQ, 5700219]
[paragraph, [77.0, 291.0, 596.0, 18.0], shoonya_0sGD889DZDWJZQ, 5700219]
[paragraph, [77.0, 309.0, 596.0, 18.0], shoonya_0sGD889DZDWJZQ, 5700219]
[paragraph, [77.0, 327.0, 596.0, 18.0], shoonya_0sGD889DZDWJZQ, 5700219]
[paragraph, [77.0, 345.0, 596.0, 18.0], shoonya_0sGD889DZDWJZQ, 5700219]
[paragraph, [77.0, 363.0, 596.0, 18.0], shoonya_0sGD889DZDWJZQ, 5700219]
[paragraph, [77.0, 381.0, 596.0, 18.0], shoonya_0sGD889DZDWJZQ, 5700219]
[paragraph, [77.0, 399.0, 596.0, 18.0], shoonya_0sGD889DZDWJZQ, 5700219]
[paragraph, [77.0, 417.0, 596.0, 18.0], shoonya_0sGD889DZDWJZQ, 5700219]
[paragraph, [77.0, 435.0, 596.0, 18.0], shoonya_0sGD889DZDWJZQ, 5700219]
[paragraph, [77.0, 453.0, 596.0, 18.0], shoonya_0sGD889DZDWJZQ, 5700219]
[paragraph, [77.0, 471.0, 596.0, 18.0], shoonya_0sGD889DZDWJZQ, 5700219]
[paragraph, [77.0, 489.0, 596.0, 18.0], shoonya_0sGD889DZDWJZQ, 5700219]
[paragraph, [77.0, 507.0, 596.0, 18.0], shoonya_0sGD889DZDWJZQ, 5700219]
[paragraph, [77.0, 525.0, 596.0, 18.0], shoonya_0sGD889DZDWJZQ, 5700219]
[paragraph, [77.0, 543.0, 596.0, 18.0], shoonya_0sGD889DZDWJZQ, 5700219]
[paragraph, [77.0, 561.0, 596.0, 18.0], shoonya_0sGD889DZDWJZQ, 5700219]
[paragraph, [77.0, 579.0, 596.0, 18.0], shoonya_0sGD889DZDWJZQ, 5700219]
[paragraph, [77.0, 597.0, 596.0, 18.0], shoonya_0sGD889DZDWJZQ, 5700219]
[paragraph, [74.0, 630.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 648.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 666.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 684.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 702.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 720.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 738.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 756.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 774.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 792.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 810.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 828.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 846.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 864.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 882.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 900.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 918.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 936.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 954.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 972.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 990.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 1008.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 1026.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 1044.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 1062.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 1080.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 1098.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 1116.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 1134.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 1152.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
[paragraph, [74.0, 1170.0, 600.0, 18.0], shoonya_1sOMOONP7R7OX5, 5700219]
