[2200, 1700]
[folio, [774.0, 391.0, 155.0, 36.0], Mo5y8GVPF6, 5732381]
[paragraph, [458.0, 485.0, 792.0, 36.0], shoonya_0sJQ7Q8EHGF7TK, 5732381]
[paragraph, [458.0, 521.0, 792.0, 36.0], shoonya_0sJQ7Q8EHGF7TK, 5732381]
[paragraph, [458.0, 557.0, 792.0, 36.0], shoonya_0sJQ7Q8EHGF7TK, 5732381]
[paragraph, [458.0, 593.0, 792.0, 36.0], shoonya_0sJQ7Q8EHGF7TK, 5732381]
[paragraph, [458.0, 629.0, 792.0, 36.0], shoonya_0sJQ7Q8EHGF7TK, 5732381]
[paragraph, [458.0, 665.0, 792.0, 36.0], shoonya_0sJQ7Q8EHGF7TK, 5732381]
[paragraph, [458.0, 701.0, 792.0, 36.0], shoonya_0sJQ7Q8EHGF7TK, 5732381]
[paragraph, [458.0, 737.0, 792.0, 36.0], shoonya_0sJQ7Q8EHGF7TK, 5732381]
[paragraph, [458.0, 773.0, 792.0, 36.0], shoonya_0sJQ7Q8EHGF7TK, 5732381]
[paragraph, [458.0, 809.0, 792.0, 36.0], shoonya_0sJQ7Q8EHGF7TK, 5732381]
[paragraph, [458.0, 845.0, 792.0, 36.0], shoonya_0sJQ7Q8EHGF7TK, 5732381]
[paragraph, [458.0, 881.0, 792.0, 36.0], shoonya_0sJQ7Q8EHGF7TK, 5732381]
[paragraph, [458.0, 917.0, 792.0, 36.0], shoonya_0sJQ7Q8EHGF7TK, 5732381]
[paragraph, [458.0, 953.0, 792.0, 36.0], shoonya_0sJQ7Q8EHGF7TK, 5732381]
[paragraph, [458.0, 989.0, 792.0, 36.0], shoonya_0sJQ7Q8EHGF7TK, 5732381]
[paragraph, [458.0, 1025.0, 792.0, 36.0], shoonya_0sJQ7Q8EHGF7TK, 5732381]
[paragraph, [466.0, 1089.0, 790.0, 36.0], shoonya_1sCN1YH4JYLFMT, 5732381]
[paragraph, [466.0, 1125.0, 790.0, 36.0], shoonya_1sCN1YH4JYLFMT, 5732381]
[paragraph, [466.0, 1161.0, 790.0, 36.0], shoonya_1sCN1YH4JYLFMT, 5732381]
[paragraph, [465.0, 1211.0, 787.0, 36.0], shoonya_2s97MU5E2RUI9I, 5732381]
[paragraph, [465.0, 1247.0, 787.0, 36.0], shoonya_2s97MU5E2RUI9I, 5732381]
[paragraph, [465.0, 1283.0, 787.0, 36.0], shoonya_2s97MU5E2RUI9I, 5732381]
[paragraph, [465.0, 1319.0, 787.0, 36.0], shoonya_2s97MU5E2RUI9I, 5732381]
[paragraph, [465.0, 1355.0, 787.0, 36.0], shoonya_2s97MU5E2RUI9I, 5732381]
[paragraph, [465.0, 1391.0, 787.0, 36.0], shoonya_2s97MU5E2RUI9I, 5732381]
[paragraph, [465.0, 1427.0, 787.0, 36.0], shoonya_2s97MU5E2RUI9I, 5732381]
[paragraph, [465.0, 1463.0, 787.0, 36.0], shoonya_2s97MU5E2RUI9I, 5732381]
[paragraph, [465.0, 1499.0, 787.0, 36.0], shoonya_2s97MU5E2RUI9I, 5732381]
[paragraph, [465.0, 1535.0, 787.0, 36.0], shoonya_2s97MU5E2RUI9I, 5732381]
[paragraph, [465.0, 1571.0, 787.0, 36.0], shoonya_2s97MU5E2RUI9I, 5732381]
[paragraph, [465.0, 1607.0, 787.0, 36.0], shoonya_2s97MU5E2RUI9I, 5732381]
[paragraph, [465.0, 1643.0, 787.0, 36.0], shoonya_2s97MU5E2RUI9I, 5732381]
[paragraph, [503.0, 1697.0, 756.0, 36.0], shoonya_3sRSRRU0VBR5D7, 5732381]
[footnote, [1302.0, 2027.0, 221.0, 36.0], 2SKRh_R8VW, 5732381]
[footnote, [1302.0, 2063.0, 221.0, 36.0], 2SKRh_R8VW, 5732381]
[folio, [806.0, 2102.0, 191.0, 36.0], VtEhEj0nSi, 5732381]
