[1951, 1219]
[folio, [223.0, 121.0, 189.0, 36.0], Jw53yCdfI0, 5683275]
[paragraph, [130.0, 217.0, 965.0, 36.0], shoonya_0s7GYP7DET7Y3Z, 5683275]
[paragraph, [130.0, 253.0, 965.0, 36.0], shoonya_0s7GYP7DET7Y3Z, 5683275]
[paragraph, [134.0, 331.0, 955.0, 36.0], LzyyYLRZOX, 5683275]
[paragraph, [134.0, 367.0, 955.0, 36.0], LzyyYLRZOX, 5683275]
[paragraph, [134.0, 403.0, 955.0, 36.0], LzyyYLRZOX, 5683275]
[paragraph, [134.0, 439.0, 955.0, 36.0], LzyyYLRZOX, 5683275]
[paragraph, [134.0, 475.0, 955.0, 36.0], LzyyYLRZOX, 5683275]
[paragraph, [134.0, 511.0, 955.0, 36.0], LzyyYLRZOX, 5683275]
[paragraph, [143.0, 568.0, 943.0, 36.0], 47tSljvVao, 5683275]
[paragraph, [143.0, 604.0, 943.0, 36.0], 47tSljvVao, 5683275]
[paragraph, [143.0, 640.0, 943.0, 36.0], 47tSljvVao, 5683275]
[paragraph, [143.0, 676.0, 943.0, 36.0], 47tSljvVao, 5683275]
[paragraph, [143.0, 712.0, 943.0, 36.0], 47tSljvVao, 5683275]
[paragraph, [143.0, 748.0, 943.0, 36.0], 47tSljvVao, 5683275]
[paragraph, [137.0, 804.0, 947.0, 36.0], Pdhj9CuM9H, 5683275]
[paragraph, [137.0, 840.0, 947.0, 36.0], Pdhj9CuM9H, 5683275]
[paragraph, [137.0, 876.0, 947.0, 36.0], Pdhj9CuM9H, 5683275]
[paragraph, [137.0, 912.0, 947.0, 36.0], Pdhj9CuM9H, 5683275]
[paragraph, [137.0, 948.0, 947.0, 36.0], Pdhj9CuM9H, 5683275]
[paragraph, [137.0, 984.0, 947.0, 36.0], Pdhj9CuM9H, 5683275]
[paragraph, [137.0, 1020.0, 947.0, 36.0], Pdhj9CuM9H, 5683275]
[paragraph, [137.0, 1056.0, 947.0, 36.0], Pdhj9CuM9H, 5683275]
[paragraph, [137.0, 1092.0, 947.0, 36.0], Pdhj9CuM9H, 5683275]
[paragraph, [137.0, 1145.0, 946.0, 36.0], zh_KkOy14U, 5683275]
[paragraph, [137.0, 1181.0, 946.0, 36.0], zh_KkOy14U, 5683275]
[paragraph, [137.0, 1217.0, 946.0, 36.0], zh_KkOy14U, 5683275]
[paragraph, [137.0, 1253.0, 946.0, 36.0], zh_KkOy14U, 5683275]
[paragraph, [137.0, 1289.0, 946.0, 36.0], zh_KkOy14U, 5683275]
[paragraph, [137.0, 1325.0, 946.0, 36.0], zh_KkOy14U, 5683275]
[paragraph, [137.0, 1361.0, 946.0, 36.0], zh_KkOy14U, 5683275]
[paragraph, [137.0, 1397.0, 946.0, 36.0], zh_KkOy14U, 5683275]
[paragraph, [137.0, 1433.0, 946.0, 36.0], zh_KkOy14U, 5683275]
[paragraph, [138.0, 1487.0, 940.0, 36.0], 1n7S-RnXXA, 5683275]
[paragraph, [138.0, 1523.0, 940.0, 36.0], 1n7S-RnXXA, 5683275]
[paragraph, [138.0, 1559.0, 940.0, 36.0], 1n7S-RnXXA, 5683275]
[paragraph, [138.0, 1595.0, 940.0, 36.0], 1n7S-RnXXA, 5683275]
[paragraph, [138.0, 1631.0, 940.0, 36.0], 1n7S-RnXXA, 5683275]
[paragraph, [138.0, 1667.0, 940.0, 36.0], 1n7S-RnXXA, 5683275]
[paragraph, [138.0, 1718.0, 938.0, 36.0], nk4m4RJIYn, 5683275]
[paragraph, [138.0, 1754.0, 938.0, 36.0], nk4m4RJIYn, 5683275]
[paragraph, [138.0, 1790.0, 938.0, 36.0], nk4m4RJIYn, 5683275]
