[1240, 875]
[paragraph, [50.0, 38.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 56.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 74.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 92.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 110.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 128.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 146.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 164.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 182.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 200.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 218.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 236.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 254.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 272.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 290.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 308.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 326.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 344.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 362.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 380.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 398.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 416.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 434.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 452.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 470.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 488.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 506.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 524.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 542.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 560.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 578.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 596.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 614.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 632.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 650.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 668.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 686.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 704.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 722.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 740.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 758.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 776.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 794.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 812.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 830.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 848.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 866.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 884.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 902.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 920.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 938.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 956.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 974.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 992.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 1010.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 1028.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 1046.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 1064.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 1082.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 1100.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 1118.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 1136.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
[paragraph, [50.0, 1154.0, 767.0, 18.0], rsg1mU0bB-, 5774490]
