[3300, 2550]
[ordered-list, [414.0, 274.0, 1867.0, 52.5], lvfoX7wMAw, 5720707]
[ordered-list, [414.0, 326.5, 1867.0, 52.5], lvfoX7wMAw, 5720707]
[ordered-list, [414.0, 379.0, 1867.0, 52.5], lvfoX7wMAw, 5720707]
[ordered-list, [414.0, 431.5, 1867.0, 52.5], lvfoX7wMAw, 5720707]
[ordered-list, [414.0, 484.0, 1867.0, 52.5], lvfoX7wMAw, 5720707]
[ordered-list, [414.0, 536.5, 1867.0, 52.5], lvfoX7wMAw, 5720707]
[ordered-list, [414.0, 589.0, 1867.0, 52.5], lvfoX7wMAw, 5720707]
[ordered-list, [414.0, 641.5, 1867.0, 52.5], lvfoX7wMAw, 5720707]
[ordered-list, [414.0, 694.0, 1867.0, 52.5], lvfoX7wMAw, 5720707]
[ordered-list, [414.0, 746.5, 1867.0, 52.5], lvfoX7wMAw, 5720707]
[ordered-list, [414.0, 799.0, 1867.0, 52.5], lvfoX7wMAw, 5720707]
[ordered-list, [414.0, 851.5, 1867.0, 52.5], lvfoX7wMAw, 5720707]
[ordered-list, [414.0, 904.0, 1867.0, 52.5], lvfoX7wMAw, 5720707]
[ordered-list, [414.0, 956.5, 1867.0, 52.5], lvfoX7wMAw, 5720707]
[ordered-list, [414.0, 1009.0, 1867.0, 52.5], lvfoX7wMAw, 5720707]
[ordered-list, [414.0, 1061.5, 1867.0, 52.5], lvfoX7wMAw, 5720707]
[ordered-list, [414.0, 1114.0, 1867.0, 52.5], lvfoX7wMAw, 5720707]
[ordered-list, [414.0, 1166.5, 1867.0, 52.5], lvfoX7wMAw, 5720707]
[ordered-list, [414.0, 1219.0, 1867.0, 52.5], lvfoX7wMAw, 5720707]
[ordered-list, [414.0, 1271.5, 1867.0, 52.5], lvfoX7wMAw, 5720707]
[ordered-list, [414.0, 1324.0, 1867.0, 52.5], lvfoX7wMAw, 5720707]
[ordered-list, [414.0, 1376.5, 1867.0, 52.5], lvfoX7wMAw, 5720707]
[ordered-list, [414.0, 1429.0, 1867.0, 52.5], lvfoX7wMAw, 5720707]
[ordered-list, [414.0, 1481.5, 1867.0, 52.5], lvfoX7wMAw, 5720707]
[ordered-list, [414.0, 1534.0, 1867.0, 52.5], lvfoX7wMAw, 5720707]
[ordered-list, [414.0, 1586.5, 1867.0, 52.5], lvfoX7wMAw, 5720707]
[ordered-list, [414.0, 1639.0, 1867.0, 52.5], lvfoX7wMAw, 5720707]
[paragraph, [271.0, 1732.0, 1937.0, 52.5], kZ9xJ1Yp-D, 5720707]
[paragraph, [280.0, 1860.0, 2042.0, 52.5], tj-MDE9yp1, 5720707]
[paragraph, [280.0, 1912.5, 2042.0, 52.5], tj-MDE9yp1, 5720707]
[paragraph, [280.0, 1965.0, 2042.0, 52.5], tj-MDE9yp1, 5720707]
[paragraph, [280.0, 2017.5, 2042.0, 52.5], tj-MDE9yp1, 5720707]
[paragraph, [280.0, 2070.0, 2042.0, 52.5], tj-MDE9yp1, 5720707]
[paragraph, [280.0, 2122.5, 2042.0, 52.5], tj-MDE9yp1, 5720707]
[ordered-list, [354.0, 2230.0, 1506.0, 52.5], -JFJO_4u8h, 5720707]
[ordered-list, [354.0, 2282.5, 1506.0, 52.5], -JFJO_4u8h, 5720707]
[ordered-list, [354.0, 2335.0, 1506.0, 52.5], -JFJO_4u8h, 5720707]
[paragraph, [354.0, 2422.0, 1953.0, 52.5], hlQk0EbiHN, 5720707]
[paragraph, [354.0, 2474.5, 1953.0, 52.5], hlQk0EbiHN, 5720707]
[paragraph, [354.0, 2527.0, 1953.0, 52.5], hlQk0EbiHN, 5720707]
[paragraph, [354.0, 2579.5, 1953.0, 52.5], hlQk0EbiHN, 5720707]
[paragraph, [354.0, 2632.0, 1953.0, 52.5], hlQk0EbiHN, 5720707]
[paragraph, [354.0, 2684.5, 1953.0, 52.5], hlQk0EbiHN, 5720707]
[paragraph, [354.0, 2737.0, 1953.0, 52.5], hlQk0EbiHN, 5720707]
[paragraph, [354.0, 2789.5, 1953.0, 52.5], hlQk0EbiHN, 5720707]
[paragraph, [354.0, 2842.0, 1953.0, 52.5], hlQk0EbiHN, 5720707]
