[2339, 1656]
[paragraph, [182.0, 201.0, 1284.0, 36.0], z4sbdESU0f, 5752953]
[paragraph, [182.0, 237.0, 1284.0, 36.0], z4sbdESU0f, 5752953]
[paragraph, [182.0, 273.0, 1284.0, 36.0], z4sbdESU0f, 5752953]
[paragraph, [182.0, 309.0, 1284.0, 36.0], z4sbdESU0f, 5752953]
[paragraph, [278.0, 408.0, 464.0, 36.0], bDQahnnCdN, 5752953]
[paragraph, [278.0, 444.0, 464.0, 36.0], bDQahnnCdN, 5752953]
[paragraph, [282.0, 518.0, 479.0, 36.0], BEpa7xfT9S, 5752953]
[paragraph, [282.0, 554.0, 479.0, 36.0], BEpa7xfT9S, 5752953]
[paragraph, [284.0, 637.0, 908.0, 36.0], oA9KvlOtVQ, 5752953]
[paragraph, [284.0, 673.0, 908.0, 36.0], oA9KvlOtVQ, 5752953]
[paragraph, [282.0, 757.0, 1070.0, 36.0], nd6PfqltpQ, 5752953]
[paragraph, [282.0, 793.0, 1070.0, 36.0], nd6PfqltpQ, 5752953]
[paragraph, [278.0, 879.0, 728.0, 36.0], 8e3QL5LqVb, 5752953]
[paragraph, [278.0, 915.0, 728.0, 36.0], 8e3QL5LqVb, 5752953]
[paragraph, [181.0, 1010.0, 1289.0, 36.0], shoonya_0s28QP5VT52KVC, 5752953]
[paragraph, [181.0, 1046.0, 1289.0, 36.0], shoonya_0s28QP5VT52KVC, 5752953]
[paragraph, [181.0, 1082.0, 1289.0, 36.0], shoonya_0s28QP5VT52KVC, 5752953]
[paragraph, [181.0, 1118.0, 1289.0, 36.0], shoonya_0s28QP5VT52KVC, 5752953]
[paragraph, [181.0, 1154.0, 1289.0, 36.0], shoonya_0s28QP5VT52KVC, 5752953]
[paragraph, [181.0, 1190.0, 1289.0, 36.0], shoonya_0s28QP5VT52KVC, 5752953]
[paragraph, [181.0, 1226.0, 1289.0, 36.0], shoonya_0s28QP5VT52KVC, 5752953]
[paragraph, [181.0, 1262.0, 1289.0, 36.0], shoonya_0s28QP5VT52KVC, 5752953]
[paragraph, [181.0, 1298.0, 1289.0, 36.0], shoonya_0s28QP5VT52KVC, 5752953]
[paragraph, [181.0, 1334.0, 1289.0, 36.0], shoonya_0s28QP5VT52KVC, 5752953]
[paragraph, [181.0, 1370.0, 1289.0, 36.0], shoonya_0s28QP5VT52KVC, 5752953]
[paragraph, [181.0, 1406.0, 1289.0, 36.0], shoonya_0s28QP5VT52KVC, 5752953]
[paragraph, [181.0, 1442.0, 1289.0, 36.0], shoonya_0s28QP5VT52KVC, 5752953]
[paragraph, [181.0, 1478.0, 1289.0, 36.0], shoonya_0s28QP5VT52KVC, 5752953]
[paragraph, [289.0, 1573.0, 958.0, 36.0], shoonya_3sAYA0CCVWI81K, 5752953]
[paragraph, [289.0, 1609.0, 958.0, 36.0], shoonya_3sAYA0CCVWI81K, 5752953]
[paragraph, [181.0, 1690.0, 1286.0, 36.0], shoonya_8sO0G24YACIN9A, 5752953]
[paragraph, [181.0, 1726.0, 1286.0, 36.0], shoonya_8sO0G24YACIN9A, 5752953]
[paragraph, [181.0, 1762.0, 1286.0, 36.0], shoonya_8sO0G24YACIN9A, 5752953]
[paragraph, [181.0, 1798.0, 1286.0, 36.0], shoonya_8sO0G24YACIN9A, 5752953]
[paragraph, [181.0, 1834.0, 1286.0, 36.0], shoonya_8sO0G24YACIN9A, 5752953]
[paragraph, [181.0, 1870.0, 1286.0, 36.0], shoonya_8sO0G24YACIN9A, 5752953]
[paragraph, [181.0, 1906.0, 1286.0, 36.0], shoonya_8sO0G24YACIN9A, 5752953]
[paragraph, [291.0, 1996.0, 347.0, 36.0], shoonya_7sFFQWMYIUBHZQ, 5752953]
[paragraph, [291.0, 2032.0, 347.0, 36.0], shoonya_7sFFQWMYIUBHZQ, 5752953]
[folio, [253.0, 2239.0, 442.0, 36.0], W5REgkbVII, 5752953]
[folio, [253.0, 2275.0, 442.0, 36.0], W5REgkbVII, 5752953]
