[842, 595]
[section-title, [151.0, 53.0, 174.0, 30.0], afu5DydoJj, 6460524]
[paragraph, [68.0, 85.0, 358.0, 18.0], zmQTDXAEwa, 6460524]
[paragraph, [68.0, 103.0, 358.0, 18.0], zmQTDXAEwa, 6460524]
[paragraph, [68.0, 121.0, 358.0, 18.0], zmQTDXAEwa, 6460524]
[paragraph, [68.0, 139.0, 358.0, 18.0], zmQTDXAEwa, 6460524]
[paragraph, [68.0, 157.0, 358.0, 18.0], zmQTDXAEwa, 6460524]
[paragraph, [68.0, 175.0, 358.0, 18.0], zmQTDXAEwa, 6460524]
[paragraph, [68.0, 193.0, 358.0, 18.0], zmQTDXAEwa, 6460524]
[paragraph, [68.0, 211.0, 358.0, 18.0], zmQTDXAEwa, 6460524]
[paragraph, [69.0, 217.0, 354.0, 18.0], gMZyRsf64B, 6460524]
[paragraph, [69.0, 235.0, 354.0, 18.0], gMZyRsf64B, 6460524]
[paragraph, [69.0, 253.0, 354.0, 18.0], gMZyRsf64B, 6460524]
[paragraph, [69.0, 271.0, 354.0, 18.0], gMZyRsf64B, 6460524]
[paragraph, [69.0, 289.0, 354.0, 18.0], gMZyRsf64B, 6460524]
[paragraph, [69.0, 307.0, 354.0, 18.0], gMZyRsf64B, 6460524]
[paragraph, [70.0, 316.0, 354.0, 18.0], zimy8WNbaC, 6460524]
[paragraph, [70.0, 334.0, 354.0, 18.0], zimy8WNbaC, 6460524]
[paragraph, [70.0, 352.0, 354.0, 18.0], zimy8WNbaC, 6460524]
[paragraph, [70.0, 370.0, 354.0, 18.0], zimy8WNbaC, 6460524]
[paragraph, [70.0, 388.0, 354.0, 18.0], zimy8WNbaC, 6460524]
[paragraph, [70.0, 406.0, 354.0, 18.0], zimy8WNbaC, 6460524]
[paragraph, [70.0, 421.0, 342.0, 18.0], qZyZHJjFGA, 6460524]
[paragraph, [70.0, 439.0, 342.0, 18.0], qZyZHJjFGA, 6460524]
[paragraph, [70.0, 457.0, 342.0, 18.0], qZyZHJjFGA, 6460524]
[paragraph, [70.0, 475.0, 342.0, 18.0], qZyZHJjFGA, 6460524]
[paragraph, [70.0, 493.0, 342.0, 18.0], qZyZHJjFGA, 6460524]
[paragraph, [70.0, 511.0, 342.0, 18.0], qZyZHJjFGA, 6460524]
[author, [124.0, 534.0, 293.0, 18.0], 47Rb1kGMft, 6460524]
[contact-info, [212.0, 560.0, 201.0, 18.0], Tik1Gs0jKv, 6460524]
[paragraph, [75.0, 589.0, 318.0, 18.0], zvYF9lyLz9, 6460524]
[paragraph, [75.0, 607.0, 318.0, 18.0], zvYF9lyLz9, 6460524]
[paragraph, [75.0, 625.0, 318.0, 18.0], zvYF9lyLz9, 6460524]
[paragraph, [75.0, 643.0, 318.0, 18.0], zvYF9lyLz9, 6460524]
[paragraph, [75.0, 661.0, 318.0, 18.0], zvYF9lyLz9, 6460524]
[contact-info, [164.0, 688.0, 240.0, 18.0], ZQEAxcPP-Z, 6460524]
[contact-info, [164.0, 706.0, 240.0, 18.0], ZQEAxcPP-Z, 6460524]
