[1650, 1275]
[paragraph, [142.0, 169.0, 375.0, 36.0], shoonya_0sAQOBOGPTNMF5, 6472541]
[paragraph, [142.0, 205.0, 375.0, 36.0], shoonya_0sAQOBOGPTNMF5, 6472541]
[figure-caption, [532.0, 170.0, 212.0, 36.0], shoonya_6sCFGVFKX698NO, 6472541]
[paragraph, [143.0, 250.0, 374.0, 36.0], 0RFsmyX_OL, 6472541]
[paragraph, [143.0, 286.0, 374.0, 36.0], 0RFsmyX_OL, 6472541]
[paragraph, [143.0, 322.0, 374.0, 36.0], 0RFsmyX_OL, 6472541]
[paragraph, [143.0, 358.0, 374.0, 36.0], 0RFsmyX_OL, 6472541]
[paragraph, [143.0, 394.0, 374.0, 36.0], 0RFsmyX_OL, 6472541]
[paragraph, [143.0, 430.0, 374.0, 36.0], 0RFsmyX_OL, 6472541]
[paragraph, [143.0, 466.0, 374.0, 36.0], 0RFsmyX_OL, 6472541]
[paragraph, [143.0, 502.0, 374.0, 36.0], 0RFsmyX_OL, 6472541]
[paragraph, [143.0, 538.0, 374.0, 36.0], 0RFsmyX_OL, 6472541]
[paragraph, [143.0, 574.0, 374.0, 36.0], 0RFsmyX_OL, 6472541]
[sidebar, [534.0, 565.0, 509.0, 36.0], shoonya_8s45DI56E96IA3, 6472541]
[sidebar, [534.0, 601.0, 509.0, 36.0], shoonya_8s45DI56E96IA3, 6472541]
[sidebar, [534.0, 637.0, 509.0, 36.0], shoonya_8s45DI56E96IA3, 6472541]
[sidebar, [534.0, 673.0, 509.0, 36.0], shoonya_8s45DI56E96IA3, 6472541]
[sidebar, [534.0, 709.0, 509.0, 36.0], shoonya_8s45DI56E96IA3, 6472541]
[paragraph, [141.0, 624.0, 376.0, 36.0], d5oNS-RGoJ, 6472541]
[paragraph, [141.0, 660.0, 376.0, 36.0], d5oNS-RGoJ, 6472541]
[paragraph, [141.0, 696.0, 376.0, 36.0], d5oNS-RGoJ, 6472541]
[paragraph, [141.0, 732.0, 376.0, 36.0], d5oNS-RGoJ, 6472541]
[paragraph, [141.0, 768.0, 376.0, 36.0], d5oNS-RGoJ, 6472541]
[paragraph, [141.0, 804.0, 376.0, 36.0], d5oNS-RGoJ, 6472541]
[paragraph, [141.0, 840.0, 376.0, 36.0], d5oNS-RGoJ, 6472541]
[paragraph, [141.0, 876.0, 376.0, 36.0], d5oNS-RGoJ, 6472541]
[paragraph, [141.0, 912.0, 376.0, 36.0], d5oNS-RGoJ, 6472541]
[paragraph, [141.0, 948.0, 376.0, 36.0], d5oNS-RGoJ, 6472541]
[paragraph, [141.0, 984.0, 376.0, 36.0], d5oNS-RGoJ, 6472541]
[paragraph, [539.0, 796.0, 374.0, 36.0], shoonya_5sM8Q0ACF48DA0, 6472541]
[paragraph, [539.0, 832.0, 374.0, 36.0], shoonya_5sM8Q0ACF48DA0, 6472541]
[paragraph, [539.0, 868.0, 374.0, 36.0], shoonya_5sM8Q0ACF48DA0, 6472541]
[paragraph, [533.0, 924.0, 378.0, 36.0], shoonya_7s7XZPGF11IJUJ, 6472541]
[paragraph, [533.0, 960.0, 378.0, 36.0], shoonya_7s7XZPGF11IJUJ, 6472541]
[paragraph, [533.0, 996.0, 378.0, 36.0], shoonya_7s7XZPGF11IJUJ, 6472541]
[paragraph, [533.0, 1032.0, 378.0, 36.0], shoonya_7s7XZPGF11IJUJ, 6472541]
[paragraph, [533.0, 1068.0, 378.0, 36.0], shoonya_7s7XZPGF11IJUJ, 6472541]
[paragraph, [533.0, 1104.0, 378.0, 36.0], shoonya_7s7XZPGF11IJUJ, 6472541]
[paragraph, [533.0, 1140.0, 378.0, 36.0], shoonya_7s7XZPGF11IJUJ, 6472541]
[paragraph, [533.0, 1176.0, 378.0, 36.0], shoonya_7s7XZPGF11IJUJ, 6472541]
[paragraph, [533.0, 1212.0, 378.0, 36.0], shoonya_7s7XZPGF11IJUJ, 6472541]
[paragraph, [147.0, 1049.0, 373.0, 36.0], shoonya_1sLGPACY0QCEIQ, 6472541]
[paragraph, [147.0, 1085.0, 373.0, 36.0], shoonya_1sLGPACY0QCEIQ, 6472541]
[paragraph, [147.0, 1121.0, 373.0, 36.0], shoonya_1sLGPACY0QCEIQ, 6472541]
[paragraph, [147.0, 1157.0, 373.0, 36.0], shoonya_1sLGPACY0QCEIQ, 6472541]
[paragraph, [147.0, 1193.0, 373.0, 36.0], shoonya_1sLGPACY0QCEIQ, 6472541]
[paragraph, [147.0, 1229.0, 373.0, 36.0], shoonya_1sLGPACY0QCEIQ, 6472541]
[paragraph, [147.0, 1265.0, 373.0, 36.0], shoonya_1sLGPACY0QCEIQ, 6472541]
[paragraph, [147.0, 1301.0, 373.0, 36.0], shoonya_1sLGPACY0QCEIQ, 6472541]
[paragraph, [147.0, 1337.0, 373.0, 36.0], shoonya_1sLGPACY0QCEIQ, 6472541]
[paragraph, [147.0, 1373.0, 373.0, 36.0], shoonya_1sLGPACY0QCEIQ, 6472541]
[paragraph, [147.0, 1409.0, 373.0, 36.0], shoonya_1sLGPACY0QCEIQ, 6472541]
[paragraph, [534.0, 1273.0, 378.0, 36.0], shoonya_4sQ8ZMC8NCVBZI, 6472541]
[paragraph, [534.0, 1309.0, 378.0, 36.0], shoonya_4sQ8ZMC8NCVBZI, 6472541]
[paragraph, [534.0, 1345.0, 378.0, 36.0], shoonya_4sQ8ZMC8NCVBZI, 6472541]
[paragraph, [534.0, 1381.0, 378.0, 36.0], shoonya_4sQ8ZMC8NCVBZI, 6472541]
