[1667, 1042]
[folio, [739.0, 70.0, 182.0, 36.0], Oe9Y6qxVyv, 5752607]
[paragraph, [74.0, 116.0, 868.0, 36.0], v_FVkFGnNO, 5752607]
[paragraph, [74.0, 152.0, 868.0, 36.0], v_FVkFGnNO, 5752607]
[paragraph, [74.0, 188.0, 868.0, 36.0], v_FVkFGnNO, 5752607]
[paragraph, [74.0, 224.0, 868.0, 36.0], v_FVkFGnNO, 5752607]
[paragraph, [74.0, 260.0, 868.0, 36.0], v_FVkFGnNO, 5752607]
[paragraph, [74.0, 296.0, 868.0, 36.0], v_FVkFGnNO, 5752607]
[paragraph, [74.0, 332.0, 868.0, 36.0], v_FVkFGnNO, 5752607]
[paragraph, [74.0, 368.0, 868.0, 36.0], v_FVkFGnNO, 5752607]
[paragraph, [74.0, 404.0, 868.0, 36.0], v_FVkFGnNO, 5752607]
[paragraph, [74.0, 440.0, 868.0, 36.0], v_FVkFGnNO, 5752607]
[paragraph, [74.0, 476.0, 868.0, 36.0], v_FVkFGnNO, 5752607]
[paragraph, [71.0, 517.0, 868.0, 36.0], PJMObmTwfu, 5752607]
[paragraph, [71.0, 553.0, 868.0, 36.0], PJMObmTwfu, 5752607]
[paragraph, [71.0, 589.0, 868.0, 36.0], PJMObmTwfu, 5752607]
[paragraph, [66.0, 666.0, 872.0, 36.0], -vafs0Khj2, 5752607]
[paragraph, [66.0, 702.0, 872.0, 36.0], -vafs0Khj2, 5752607]
[paragraph, [66.0, 738.0, 872.0, 36.0], -vafs0Khj2, 5752607]
[paragraph, [66.0, 774.0, 872.0, 36.0], -vafs0Khj2, 5752607]
[paragraph, [61.0, 823.0, 877.0, 36.0], w4Spw3ApuT, 5752607]
[paragraph, [61.0, 859.0, 877.0, 36.0], w4Spw3ApuT, 5752607]
[paragraph, [61.0, 895.0, 877.0, 36.0], w4Spw3ApuT, 5752607]
[paragraph, [81.0, 976.0, 851.0, 36.0], shoonya_1s2YNLOUDH8XCN, 5752607]
[paragraph, [81.0, 1012.0, 851.0, 36.0], shoonya_1s2YNLOUDH8XCN, 5752607]
[paragraph, [81.0, 1048.0, 851.0, 36.0], shoonya_1s2YNLOUDH8XCN, 5752607]
[paragraph, [81.0, 1084.0, 851.0, 36.0], shoonya_1s2YNLOUDH8XCN, 5752607]
[paragraph, [81.0, 1120.0, 851.0, 36.0], shoonya_1s2YNLOUDH8XCN, 5752607]
[paragraph, [81.0, 1156.0, 851.0, 36.0], shoonya_1s2YNLOUDH8XCN, 5752607]
[paragraph, [81.0, 1192.0, 851.0, 36.0], shoonya_1s2YNLOUDH8XCN, 5752607]
[paragraph, [81.0, 1228.0, 851.0, 36.0], shoonya_1s2YNLOUDH8XCN, 5752607]
[paragraph, [81.0, 1264.0, 851.0, 36.0], shoonya_1s2YNLOUDH8XCN, 5752607]
[paragraph, [81.0, 1300.0, 851.0, 36.0], shoonya_1s2YNLOUDH8XCN, 5752607]
[paragraph, [81.0, 1336.0, 851.0, 36.0], shoonya_1s2YNLOUDH8XCN, 5752607]
[paragraph, [81.0, 1372.0, 851.0, 36.0], shoonya_1s2YNLOUDH8XCN, 5752607]
[paragraph, [81.0, 1408.0, 851.0, 36.0], shoonya_1s2YNLOUDH8XCN, 5752607]
[paragraph, [81.0, 1444.0, 851.0, 36.0], shoonya_1s2YNLOUDH8XCN, 5752607]
[paragraph, [81.0, 1480.0, 851.0, 36.0], shoonya_1s2YNLOUDH8XCN, 5752607]
