[1606, 1056]
[folio, [441.0, 102.0, 158.0, 36.0], shoonya_2sXE4VWUIWHKZS, 5684226]
[paragraph, [103.0, 157.0, 848.0, 36.0], shoonya_0sPBCMV9BZCERD, 5684226]
[paragraph, [103.0, 193.0, 848.0, 36.0], shoonya_0sPBCMV9BZCERD, 5684226]
[paragraph, [103.0, 229.0, 848.0, 36.0], shoonya_0sPBCMV9BZCERD, 5684226]
[paragraph, [103.0, 265.0, 848.0, 36.0], shoonya_0sPBCMV9BZCERD, 5684226]
[paragraph, [103.0, 301.0, 848.0, 36.0], shoonya_0sPBCMV9BZCERD, 5684226]
[paragraph, [103.0, 337.0, 848.0, 36.0], shoonya_0sPBCMV9BZCERD, 5684226]
[paragraph, [103.0, 373.0, 848.0, 36.0], shoonya_0sPBCMV9BZCERD, 5684226]
[paragraph, [103.0, 409.0, 848.0, 36.0], shoonya_0sPBCMV9BZCERD, 5684226]
[paragraph, [103.0, 445.0, 848.0, 36.0], shoonya_0sPBCMV9BZCERD, 5684226]
[paragraph, [103.0, 481.0, 848.0, 36.0], shoonya_0sPBCMV9BZCERD, 5684226]
[paragraph, [103.0, 517.0, 848.0, 36.0], shoonya_0sPBCMV9BZCERD, 5684226]
[paragraph, [103.0, 553.0, 848.0, 36.0], shoonya_0sPBCMV9BZCERD, 5684226]
[paragraph, [103.0, 589.0, 848.0, 36.0], shoonya_0sPBCMV9BZCERD, 5684226]
[paragraph, [103.0, 625.0, 848.0, 36.0], shoonya_0sPBCMV9BZCERD, 5684226]
[paragraph, [103.0, 661.0, 848.0, 36.0], shoonya_0sPBCMV9BZCERD, 5684226]
[paragraph, [103.0, 697.0, 848.0, 36.0], shoonya_0sPBCMV9BZCERD, 5684226]
[paragraph, [103.0, 745.0, 852.0, 36.0], shoonya_1sTCL98IN4JOCZ, 5684226]
[paragraph, [103.0, 781.0, 852.0, 36.0], shoonya_1sTCL98IN4JOCZ, 5684226]
[paragraph, [103.0, 817.0, 852.0, 36.0], shoonya_1sTCL98IN4JOCZ, 5684226]
[paragraph, [103.0, 853.0, 852.0, 36.0], shoonya_1sTCL98IN4JOCZ, 5684226]
[paragraph, [103.0, 889.0, 852.0, 36.0], shoonya_1sTCL98IN4JOCZ, 5684226]
[paragraph, [103.0, 925.0, 852.0, 36.0], shoonya_1sTCL98IN4JOCZ, 5684226]
[paragraph, [103.0, 961.0, 852.0, 36.0], shoonya_1sTCL98IN4JOCZ, 5684226]
[paragraph, [103.0, 997.0, 852.0, 36.0], shoonya_1sTCL98IN4JOCZ, 5684226]
[paragraph, [103.0, 1033.0, 852.0, 36.0], shoonya_1sTCL98IN4JOCZ, 5684226]
[paragraph, [103.0, 1069.0, 852.0, 36.0], shoonya_1sTCL98IN4JOCZ, 5684226]
[paragraph, [103.0, 1105.0, 852.0, 36.0], shoonya_1sTCL98IN4JOCZ, 5684226]
[paragraph, [103.0, 1141.0, 852.0, 36.0], shoonya_1sTCL98IN4JOCZ, 5684226]
[paragraph, [103.0, 1177.0, 852.0, 36.0], shoonya_1sTCL98IN4JOCZ, 5684226]
[paragraph, [103.0, 1213.0, 852.0, 36.0], shoonya_1sTCL98IN4JOCZ, 5684226]
[paragraph, [103.0, 1249.0, 852.0, 36.0], shoonya_1sTCL98IN4JOCZ, 5684226]
[paragraph, [103.0, 1285.0, 852.0, 36.0], shoonya_1sTCL98IN4JOCZ, 5684226]
[paragraph, [103.0, 1321.0, 852.0, 36.0], shoonya_1sTCL98IN4JOCZ, 5684226]
[paragraph, [103.0, 1357.0, 852.0, 36.0], shoonya_1sTCL98IN4JOCZ, 5684226]
[paragraph, [103.0, 1393.0, 852.0, 36.0], shoonya_1sTCL98IN4JOCZ, 5684226]
[paragraph, [103.0, 1429.0, 852.0, 36.0], shoonya_1sTCL98IN4JOCZ, 5684226]
[paragraph, [103.0, 1465.0, 852.0, 36.0], shoonya_1sTCL98IN4JOCZ, 5684226]
