[2329, 1690]
[paragraph, [344.0, 195.0, 1172.0, 36.0], shoonya_3sJ62O68G8DZID, 5734531]
[paragraph, [344.0, 231.0, 1172.0, 36.0], shoonya_3sJ62O68G8DZID, 5734531]
[paragraph, [344.0, 267.0, 1172.0, 36.0], shoonya_3sJ62O68G8DZID, 5734531]
[paragraph, [344.0, 303.0, 1172.0, 36.0], shoonya_3sJ62O68G8DZID, 5734531]
[paragraph, [344.0, 339.0, 1172.0, 36.0], shoonya_3sJ62O68G8DZID, 5734531]
[paragraph, [344.0, 375.0, 1172.0, 36.0], shoonya_3sJ62O68G8DZID, 5734531]
[paragraph, [335.0, 467.0, 1181.0, 36.0], shoonya_1sWUD2866UOO08, 5734531]
[paragraph, [335.0, 503.0, 1181.0, 36.0], shoonya_1sWUD2866UOO08, 5734531]
[paragraph, [335.0, 539.0, 1181.0, 36.0], shoonya_1sWUD2866UOO08, 5734531]
[paragraph, [335.0, 575.0, 1181.0, 36.0], shoonya_1sWUD2866UOO08, 5734531]
[paragraph, [335.0, 611.0, 1181.0, 36.0], shoonya_1sWUD2866UOO08, 5734531]
[paragraph, [335.0, 647.0, 1181.0, 36.0], shoonya_1sWUD2866UOO08, 5734531]
[paragraph, [335.0, 683.0, 1181.0, 36.0], shoonya_1sWUD2866UOO08, 5734531]
[paragraph, [335.0, 719.0, 1181.0, 36.0], shoonya_1sWUD2866UOO08, 5734531]
[paragraph, [335.0, 755.0, 1181.0, 36.0], shoonya_1sWUD2866UOO08, 5734531]
[paragraph, [335.0, 791.0, 1181.0, 36.0], shoonya_1sWUD2866UOO08, 5734531]
[paragraph, [335.0, 827.0, 1181.0, 36.0], shoonya_1sWUD2866UOO08, 5734531]
[paragraph, [335.0, 863.0, 1181.0, 36.0], shoonya_1sWUD2866UOO08, 5734531]
[paragraph, [335.0, 899.0, 1181.0, 36.0], shoonya_1sWUD2866UOO08, 5734531]
[paragraph, [335.0, 935.0, 1181.0, 36.0], shoonya_1sWUD2866UOO08, 5734531]
[paragraph, [335.0, 971.0, 1181.0, 36.0], shoonya_1sWUD2866UOO08, 5734531]
[paragraph, [335.0, 1007.0, 1181.0, 36.0], shoonya_1sWUD2866UOO08, 5734531]
[paragraph, [326.0, 1108.0, 1178.0, 36.0], shoonya_0sA272FHY8GTKA, 5734531]
[paragraph, [326.0, 1144.0, 1178.0, 36.0], shoonya_0sA272FHY8GTKA, 5734531]
[paragraph, [326.0, 1180.0, 1178.0, 36.0], shoonya_0sA272FHY8GTKA, 5734531]
[paragraph, [326.0, 1216.0, 1178.0, 36.0], shoonya_0sA272FHY8GTKA, 5734531]
[paragraph, [326.0, 1252.0, 1178.0, 36.0], shoonya_0sA272FHY8GTKA, 5734531]
[paragraph, [326.0, 1288.0, 1178.0, 36.0], shoonya_0sA272FHY8GTKA, 5734531]
[paragraph, [326.0, 1324.0, 1178.0, 36.0], shoonya_0sA272FHY8GTKA, 5734531]
[paragraph, [326.0, 1360.0, 1178.0, 36.0], shoonya_0sA272FHY8GTKA, 5734531]
[paragraph, [326.0, 1396.0, 1178.0, 36.0], shoonya_0sA272FHY8GTKA, 5734531]
[paragraph, [326.0, 1432.0, 1178.0, 36.0], shoonya_0sA272FHY8GTKA, 5734531]
[paragraph, [326.0, 1468.0, 1178.0, 36.0], shoonya_0sA272FHY8GTKA, 5734531]
[paragraph, [326.0, 1504.0, 1178.0, 36.0], shoonya_0sA272FHY8GTKA, 5734531]
[paragraph, [326.0, 1540.0, 1178.0, 36.0], shoonya_0sA272FHY8GTKA, 5734531]
[paragraph, [326.0, 1576.0, 1178.0, 36.0], shoonya_0sA272FHY8GTKA, 5734531]
[paragraph, [326.0, 1612.0, 1178.0, 36.0], shoonya_0sA272FHY8GTKA, 5734531]
[paragraph, [326.0, 1648.0, 1178.0, 36.0], shoonya_0sA272FHY8GTKA, 5734531]
[paragraph, [326.0, 1684.0, 1178.0, 36.0], shoonya_0sA272FHY8GTKA, 5734531]
[paragraph, [326.0, 1720.0, 1178.0, 36.0], shoonya_0sA272FHY8GTKA, 5734531]
[paragraph, [326.0, 1756.0, 1178.0, 36.0], shoonya_0sA272FHY8GTKA, 5734531]
[paragraph, [326.0, 1792.0, 1178.0, 36.0], shoonya_0sA272FHY8GTKA, 5734531]
[paragraph, [326.0, 1828.0, 1178.0, 36.0], shoonya_0sA272FHY8GTKA, 5734531]
[paragraph, [326.0, 1864.0, 1178.0, 36.0], shoonya_0sA272FHY8GTKA, 5734531]
